Day,Date,Fassala-Mbera sim,Fassala-Mbera data,Fassala-Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2012-02-29,463,463,0.0,0,0,0.0,0,0,0.0,35,34,0.0294,42,43,0.0233,0,0,0.0,0,0,0.0,0.0012961762799740765,540,540,1543,540,0
1,2012-03-01,462,482,0.0415,0,0,0.0,0,0,0.0,35,34,0.0294,42,43,0.0233,0,0,0.0,0,0,0.0,0.014084507042253521,559,559,1562,539,0
2,2012-03-02,462,502,0.0797,0,0,0.0,0,0,0.0,35,34,0.0294,42,43,0.0233,0,0,0.0,0,0,0.0,0.02654867256637168,579,579,1582,539,0
3,2012-03-03,463,521,0.1113,0,0,0.0,0,0,0.0,35,33,0.0606,42,43,0.0233,0,0,0.0,0,0,0.0,0.038125,597,597,1600,540,0
4,2012-03-04,462,540,0.1444,0,0,0.0,0,0,0.0,35,33,0.0606,42,43,0.0233,0,0,0.0,0,0,0.0,0.05003088326127239,616,616,1619,539,0
5,2012-03-05,464,560,0.1714,0,0,0.0,0,0,0.0,35,33,0.0606,42,43,0.0233,0,0,0.0,0,0,0.0,0.06040268456375839,636,636,1639,541,0
6,2012-03-06,464,579,0.1986,0,0,0.0,0,0,0.0,35,32,0.0938,42,43,0.0233,0,0,0.0,0,0,0.0,0.07181653590826795,654,654,1657,541,0
7,2012-03-07,466,598,0.2207,0,0,0.0,0,0,0.0,35,32,0.0938,42,43,0.0233,0,0,0.0,0,0,0.0,0.081145584725537,673,673,1676,543,0
8,2012-03-08,468,626,0.2524,0,0,0.0,0,0,0.0,35,32,0.0938,42,43,0.0233,0,0,0.0,0,0,0.0,0.09507042253521127,701,701,1704,545,0
9,2012-03-09,469,653,0.2818,0,0,0.0,0,0,0.0,35,31,0.129,42,43,0.0233,0,0,0.0,0,0,0.0,0.1092485549132948,727,727,1730,546,0
10,2012-03-10,470,680,0.3088,0,0,0.0,0,0,0.0,34,31,0.0968,43,43,0.0,0,0,0.0,0,0,0.0,0.12122936824132043,754,754,1757,547,0
11,2012-03-11,472,707,0.3324,0,0,0.0,0,0,0.0,34,31,0.0968,43,43,0.0,0,0,0.0,0,0,0.0,0.13340807174887892,781,781,1784,549,0
12,2012-03-12,473,734,0.3556,0,0,0.0,0,0,0.0,33,30,0.1,43,43,0.0,1,0,0.0,0,0,0.0,0.1464088397790055,807,807,1810,550,0
13,2012-03-13,477,761,0.3732,0,0,0.0,0,0,0.0,33,30,0.1,43,43,0.0,1,0,0.0,0,0,0.0,0.1567773543821448,834,834,1837,554,0
14,2012-03-14,479,789,0.3929,0,0,0.0,0,0,0.0,33,29,0.1379,42,43,0.0233,1,0,0.0,1,0,0.0,0.17006437768240343,861,861,1864,556,0
15,2012-03-15,479,816,0.413,0,0,0.0,0,0,0.0,33,29,0.1379,42,43,0.0233,1,0,0.0,1,0,0.0,0.18191433104177684,888,888,1891,556,0
16,2012-03-16,481,843,0.4294,0,0,0.0,0,0,0.0,33,29,0.1379,42,43,0.0233,1,0,0.0,1,0,0.0,0.19238790406673617,915,915,1918,558,0
17,2012-03-17,488,870,0.4391,0,0,0.0,0,0,0.0,33,28,0.1786,42,43,0.0233,1,0,0.0,1,0,0.0,0.2006172839506173,941,941,1944,565,0
18,2012-03-18,491,897,0.4526,0,0,0.0,0,0,0.0,33,28,0.1786,42,43,0.0233,1,0,0.0,1,0,0.0,0.2100456621004566,968,968,1971,568,0
19,2012-03-19,492,925,0.4681,0,0,0.0,0,0,0.0,33,28,0.1786,42,43,0.0233,1,0,0.0,1,0,0.0,0.2206103051525763,996,996,1999,569,0
