#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
1,2/3/2020,689202,1537,1158,823,3,0,430,6,19,0.0,6,430
2,3/3/2020,688694,1711,1326,988,4,0,508,5,23,0.0,11,938
3,4/3/2020,688129,1873,1542,1175,4,0,565,5,28,0.0,16,1503
4,5/3/2020,687506,2095,1737,1381,4,0,623,8,34,0.0,24,2126
5,6/3/2020,686755,2359,2002,1602,5,0,751,8,38,0.0,32,2877
6,7/3/2020,685942,2644,2244,1888,5,0,813,10,46,0.0,42,3690
7,8/3/2020,684989,3038,2480,2210,6,0,954,14,57,0.0,56,4644
8,9/3/2020,683958,3376,2835,2548,6,0,1032,6,61,0.0,62,5676
9,10/3/2020,682697,3881,3184,2953,8,0,1261,17,74,0.0,79,6937
10,11/3/2020,681388,4319,3594,3412,10,0,1309,16,83,0.0,95,8246
11,12/3/2020,679879,4881,4018,3934,11,0,1510,19,93,0.0,114,9756
12,13/3/2020,678775,4931,4555,4449,13,0,1104,14,101,0.0,128,10860
13,14/3/2020,677534,5002,5068,5103,16,0,1241,22,109,0.0,150,12101
14,15/3/2020,676209,5128,5560,5807,19,0,1326,25,126,0.0,175,13427
15,16/3/2020,674745,5377,5987,6593,21,0,1465,31,146,0.0,206,14892
16,17/3/2020,673511,5257,6423,7507,25,0,1234,34,171,0.0,240,16126
17,18/3/2020,672148,5326,6767,8451,31,0,1363,35,187,0.0,275,17489
18,19/3/2020,670791,5345,7032,9520,35,0,1357,36,209,0.0,311,18846
19,20/3/2020,669346,5472,7138,10729,38,0,1445,49,242,0.0,360,20291
20,21/3/2020,668284,5193,7314,11893,39,0,1062,52,277,0.0,412,21353
21,22/3/2020,667258,4880,7449,13091,45,0,1026,60,313,0.0,472,22379
22,23/3/2020,666224,4621,7497,14331,50,0,1034,60,343,0.0,532,23413
23,24/3/2020,665689,3979,7436,15559,60,0,535,60,372,0.0,592,23948
24,25/3/2020,665136,3414,7339,16765,69,0,553,63,400,0.0,655,24501
25,26/3/2020,664608,2961,7044,18027,83,0,528,87,448,0.0,742,25029
26,27/3/2020,664138,2535,6665,19293,92,0,470,78,484,0.0,820,25499
27,28/3/2020,663696,2216,6178,20524,109,0,442,59,487,0.0,879,25941
28,29/3/2020,663252,2075,5565,21704,127,0,444,73,510,0.0,952,26385
29,30/3/2020,662864,1906,5052,22760,141,0,388,64,511,0.0,1016,26773
30,31/3/2020,662525,1714,4572,23757,155,0,339,62,519,0.0,1078,27112
31,1/4/2020,662187,1555,4235,24579,167,0,338,70,536,0.0,1148,27450
32,2/4/2020,661861,1465,3790,25418,189,0,326,56,536,0.0,1204,27776
33,3/4/2020,661599,1342,3450,26132,200,0,262,66,536,0.0,1270,28038
34,4/4/2020,661374,1194,3169,26770,216,0,225,52,513,0.0,1322,28263
35,5/4/2020,661177,1046,2913,27351,236,0,197,54,495,0.0,1376,28460
36,6/4/2020,660975,957,2681,27860,250,0,202,37,477,0.0,1413,28662
37,7/4/2020,660784,903,2450,28326,260,0,191,32,442,0.0,1445,28853
38,8/4/2020,660586,873,2229,28757,278,0,198,46,425,0.0,1491,29051
39,9/4/2020,660426,805,2028,29169,295,0,160,28,392,0.0,1519,29211
40,10/4/2020,660257,759,1842,29549,316,0,170,31,344,0.0,1550,29381
41,11/4/2020,660118,686,1727,29864,328,0,139,36,343,0.0,1586,29520
42,12/4/2020,659982,638,1569,30189,345,0,136,22,312,0.0,1608,29656
43,13/4/2020,659846,605,1462,30446,364,0,136,25,292,0.0,1633,29792
44,14/4/2020,659729,545,1355,30715,379,0,117,17,257,0.0,1650,29909
45,15/4/2020,659625,498,1261,30947,392,0,104,23,230,0.0,1673,30013
46,16/4/2020,659528,451,1170,31171,403,0,98,21,207,0.0,1694,30111
47,17/4/2020,659409,442,1065,31396,411,0,119,17,189,0.0,1711,30230
48,18/4/2020,659319,415,973,31598,418,0,90,21,183,0.0,1732,30320
49,19/4/2020,659242,397,901,31755,428,0,77,13,171,0.0,1745,30397
50,20/4/2020,659166,363,845,31912,437,0,76,10,158,0.0,1755,30473
51,21/4/2020,659102,321,788,32061,451,0,64,11,137,0.0,1766,30537
52,22/4/2020,659018,317,731,32197,460,0,84,5,116,0.0,1771,30621
53,23/4/2020,658972,284,681,32321,465,0,47,7,105,0.0,1778,30668
54,24/4/2020,658926,249,646,32434,468,0,47,10,97,0.0,1788,30715
55,25/4/2020,658878,222,601,32547,475,0,48,11,92,0.0,1799,30763
56,26/4/2020,658834,199,551,32660,479,0,44,7,83,0.0,1806,30807
57,27/4/2020,658785,199,496,32761,482,0,50,4,74,0.0,1810,30857
58,28/4/2020,658749,179,461,32851,483,0,36,6,75,0.0,1816,30893
59,29/4/2020,658714,163,416,32945,485,0,35,4,64,0.0,1820,30928
60,30/4/2020,658684,151,369,33031,488,0,31,6,60,0.0,1826,30959
61,1/5/2020,658653,131,351,33094,494,0,31,6,57,0.0,1832,30990
62,2/5/2020,658632,128,294,33172,497,0,21,4,49,0.0,1836,31011
63,3/5/2020,658608,118,280,33217,500,0,24,8,48,0.0,1844,31035
64,4/5/2020,658584,113,258,33266,502,0,24,4,45,0.0,1848,31059
65,5/5/2020,658558,103,252,33306,504,0,26,4,43,0.0,1852,31085
66,6/5/2020,658542,92,240,33344,505,0,16,2,38,0.0,1854,31101
67,7/5/2020,658519,91,209,33398,506,0,23,5,36,0.0,1859,31124
68,8/5/2020,658499,87,196,33434,507,0,20,2,35,0.0,1861,31144
69,9/5/2020,658479,85,181,33467,511,0,20,3,32,0.0,1864,31164
70,10/5/2020,658458,84,171,33498,512,0,22,4,31,0.0,1868,31186
71,11/5/2020,658438,82,173,33516,514,0,20,3,32,0.0,1871,31206
72,12/5/2020,658420,79,163,33547,514,0,18,2,31,0.0,1873,31224
73,13/5/2020,658409,68,153,33576,517,0,11,2,27,0.0,1875,31235
74,14/5/2020,658396,63,138,33607,519,0,13,2,26,0.0,1877,31248
75,15/5/2020,658378,63,135,33626,521,0,18,1,23,0.0,1878,31266
76,16/5/2020,658365,65,125,33646,522,0,14,3,21,0.0,1881,31280
77,17/5/2020,658353,65,123,33659,523,0,12,2,19,0.0,1883,31292
78,18/5/2020,658340,66,118,33676,523,0,13,3,20,0.0,1886,31305
79,19/5/2020,658326,55,115,33703,524,0,14,4,17,0.0,1890,31319
80,20/5/2020,658312,54,111,33722,524,0,14,2,17,0.0,1892,31333
81,21/5/2020,658304,50,108,33737,524,0,8,1,18,0.0,1893,31341
82,22/5/2020,658287,49,103,33760,524,0,17,0,18,0.0,1893,31358
83,23/5/2020,658277,46,95,33781,524,0,11,3,18,0.0,1896,31369
84,24/5/2020,658266,44,92,33797,524,0,11,1,18,0.0,1897,31380
85,25/5/2020,658260,42,90,33806,525,0,6,2,18,0.0,1899,31386
86,26/5/2020,658254,39,83,33822,525,0,6,0,15,0.0,1899,31392
87,27/5/2020,658245,38,83,33832,525,0,9,2,17,0.0,1901,31401
88,28/5/2020,658233,38,79,33847,526,0,12,0,14,0.0,1901,31413
89,29/5/2020,658225,37,70,33862,529,0,8,0,10,0.0,1901,31421
90,30/5/2020,658214,36,67,33877,529,0,11,0,9,0.0,1901,31432
91,31/5/2020,658203,38,64,33889,529,0,11,1,9,0.0,1902,31443
92,1/6/2020,658193,37,62,33900,531,0,10,1,5,0.0,1903,31453
93,2/6/2020,658183,39,59,33911,531,0,10,0,4,0.0,1903,31463
94,3/6/2020,658174,40,57,33921,531,0,9,0,3,0.0,1903,31472
95,4/6/2020,658167,43,51,33931,531,0,9,1,4,0.0,1904,31481
96,5/6/2020,658160,36,58,33937,532,0,7,1,4,0.0,1905,31488
97,6/6/2020,658155,32,57,33947,532,0,6,1,5,0.0,1906,31494
98,7/6/2020,658146,33,56,33956,532,0,9,0,5,0.0,1906,31503
99,8/6/2020,658138,31,55,33967,532,0,8,2,7,0.0,1908,31511
100,9/6/2020,658132,33,49,33976,533,0,8,0,5,0.0,1908,31519
101,10/6/2020,658129,26,51,33984,533,0,3,0,4,0.0,1908,31522
102,11/6/2020,658119,28,54,33989,533,0,11,1,5,0.0,1909,31533
103,12/6/2020,658114,27,54,33995,533,0,6,0,3,0.0,1909,31539
104,13/6/2020,658105,32,51,34001,534,0,11,0,2,0.0,1909,31550
105,14/6/2020,658100,31,50,34008,534,0,6,1,3,0.0,1910,31556
106,15/6/2020,658094,30,45,34020,534,0,7,1,4,0.0,1911,31563
107,16/6/2020,658084,33,43,34029,534,0,11,0,4,0.0,1911,31574
108,17/6/2020,658078,35,40,34036,534,0,9,0,4,0.0,1911,31583
109,18/6/2020,658071,33,44,34041,534,0,9,0,3,0.0,1911,31592
110,19/6/2020,658061,38,46,34044,534,0,13,0,2,0.0,1911,31605
111,20/6/2020,658055,39,47,34048,534,0,9,0,2,0.0,1911,31614
112,21/6/2020,658047,38,53,34051,534,0,10,1,3,0.0,1912,31624
113,22/6/2020,658044,34,52,34059,534,0,5,0,2,0.0,1912,31629
114,23/6/2020,658040,31,51,34067,534,0,6,0,2,0.0,1912,31635
115,24/6/2020,658036,29,50,34073,535,0,6,0,1,0.0,1912,31641
116,25/6/2020,658026,31,55,34076,535,0,10,0,1,0.0,1912,31651
117,26/6/2020,658018,31,57,34082,535,0,11,1,2,0.0,1913,31662
118,27/6/2020,658006,37,54,34091,535,0,14,1,3,0.0,1914,31676
119,28/6/2020,657998,41,52,34097,535,0,13,2,5,0.0,1916,31689
120,29/6/2020,657997,40,55,34096,535,0,6,0,5,0.0,1916,31695
121,30/6/2020,657988,47,60,34093,535,0,16,0,5,0.0,1916,31711
122,1/7/2020,657985,45,63,34095,535,0,10,0,4,0.0,1916,31721
123,2/7/2020,657980,46,63,34099,535,0,8,2,6,0.0,1918,31729
124,3/7/2020,657969,45,64,34110,535,0,12,1,5,0.0,1919,31741
125,4/7/2020,657960,43,71,34114,535,0,11,0,5,0.0,1919,31752
126,5/7/2020,657951,46,70,34121,535,0,14,1,5,0.0,1920,31766
127,6/7/2020,657946,47,64,34131,535,0,10,0,5,0.0,1920,31776
128,7/7/2020,657941,46,65,34135,536,0,11,1,4,0.0,1921,31787
129,8/7/2020,657930,53,66,34138,536,0,14,1,5,0.0,1922,31801
130,9/7/2020,657926,50,73,34138,536,0,10,1,6,0.0,1923,31811
131,10/7/2020,657918,59,72,34138,536,0,19,1,6,0.0,1924,31830
132,11/7/2020,657918,47,84,34138,536,0,9,0,5,0.0,1924,31839
133,12/7/2020,657918,45,85,34138,537,0,10,0,4,0.0,1924,31849
134,13/7/2020,657906,51,83,34146,537,0,16,2,6,0.0,1926,31865
135,14/7/2020,657894,60,77,34155,537,0,19,0,5,0.0,1926,31884
136,15/7/2020,657886,58,78,34164,537,0,15,1,5,0.0,1927,31899
137,16/7/2020,657873,65,72,34175,538,0,17,0,3,0.0,1927,31916
138,17/7/2020,657864,74,65,34182,538,0,21,0,3,0.0,1927,31937
139,18/7/2020,657847,77,77,34184,538,0,27,1,4,0.0,1928,31964
140,19/7/2020,657840,79,81,34185,538,0,22,0,4,0.0,1928,31986
141,20/7/2020,657824,85,83,34193,538,0,24,1,4,0.0,1929,32010
142,21/7/2020,657826,81,91,34187,538,0,14,0,3,0.0,1929,32024
