#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
1,2/3/2020,688886,1698,1276,891,0,0,449,1,17,0.0,1,449
2,3/3/2020,688344,1870,1502,1033,2,0,542,9,22,0.0,10,991
3,4/3/2020,687716,2065,1715,1252,3,0,628,3,24,0.0,13,1619
4,5/3/2020,687000,2329,1927,1492,3,0,716,7,31,0.0,20,2335
5,6/3/2020,686181,2625,2163,1778,4,0,819,8,36,0.0,28,3154
6,7/3/2020,685240,3021,2402,2082,6,0,941,12,45,0.0,40,4095
7,8/3/2020,684291,3334,2700,2418,8,0,949,6,45,0.0,46,5044
8,9/3/2020,683190,3693,3045,2814,9,0,1101,16,59,0.0,62,6145
9,10/3/2020,681922,4160,3394,3266,9,0,1268,7,62,0.0,69,7413
10,11/3/2020,680541,4578,3856,3765,11,0,1381,12,68,0.0,81,8794
11,12/3/2020,679091,4983,4335,4330,12,0,1450,20,82,0.0,101,10244
12,13/3/2020,677923,5063,4799,4951,15,0,1169,20,93,0.0,121,11413
13,14/3/2020,676707,5066,5324,5637,17,0,1216,26,112,0.0,147,12629
14,15/3/2020,675287,5256,5800,6389,19,0,1420,26,130,0.0,173,14049
15,16/3/2020,673788,5471,6193,7278,21,0,1500,32,151,0.0,205,15549
16,17/3/2020,672534,5426,6529,8239,23,0,1254,33,177,0.0,238,16803
17,18/3/2020,671314,5312,6803,9295,27,0,1220,40,202,0.0,278,18023
18,19/3/2020,670050,5232,7033,10407,29,0,1264,46,227,0.0,324,19287
19,20/3/2020,668652,5289,7253,11522,35,0,1398,48,261,0.0,372,20685
20,21/3/2020,667590,5072,7342,12700,47,0,1063,56,288,0.0,428,21748
21,22/3/2020,666594,4733,7476,13897,51,0,996,62,329,0.0,490,22744
22,23/3/2020,665513,4584,7457,15135,62,0,1081,53,355,0.0,543,23825
23,24/3/2020,664954,3932,7372,16423,70,0,559,69,386,0.0,612,24384
24,25/3/2020,664402,3385,7234,17651,79,0,552,71,432,0.0,683,24936
25,26/3/2020,663857,2948,6959,18899,88,0,545,67,456,0.0,750,25481
26,27/3/2020,663326,2576,6644,20107,98,0,532,79,490,0.0,829,26013
27,28/3/2020,662869,2317,6122,21334,109,0,457,74,516,0.0,903,26470
28,29/3/2020,662449,2099,5569,22515,119,0,420,80,545,0.0,983,26890
29,30/3/2020,662048,1903,5057,23611,132,0,401,67,560,0.0,1050,27291
30,31/3/2020,661637,1794,4592,24584,144,0,411,74,571,0.0,1124,27702
31,1/4/2020,661294,1633,4233,25427,164,0,343,67,572,0.0,1191,28045
32,2/4/2020,660988,1530,3868,26185,180,0,306,56,566,0.0,1247,28351
33,3/4/2020,660689,1402,3587,26868,205,0,299,81,579,0.0,1328,28650
34,4/4/2020,660430,1294,3298,27505,224,0,259,53,555,0.0,1381,28909
35,5/4/2020,660168,1197,3042,28098,246,0,262,59,536,0.0,1440,29171
36,6/4/2020,659925,1140,2820,28606,260,0,245,50,523,0.0,1490,29416
37,7/4/2020,659697,1043,2673,29067,271,0,228,51,521,0.0,1541,29644
38,8/4/2020,659515,953,2448,29543,292,0,182,35,480,0.0,1576,29826
39,9/4/2020,659330,891,2227,29995,308,0,185,31,432,0.0,1607,30011
40,10/4/2020,659153,821,2048,30405,324,0,177,32,398,0.0,1639,30188
41,11/4/2020,659007,740,1878,30791,335,0,147,33,372,0.0,1672,30335
42,12/4/2020,658865,684,1773,31082,347,0,143,32,358,0.0,1704,30478
43,13/4/2020,658730,647,1586,31424,364,0,135,26,322,0.0,1730,30613
44,14/4/2020,658616,577,1450,31727,381,0,114,20,291,0.0,1750,30727
45,15/4/2020,658503,529,1333,31986,400,0,114,14,255,0.0,1764,30841
46,16/4/2020,658361,515,1256,32203,416,0,142,12,218,0.0,1776,30983
47,17/4/2020,658261,496,1135,32433,426,0,100,26,204,0.0,1802,31083
48,18/4/2020,658164,457,1065,32626,439,0,97,14,181,0.0,1816,31180
49,19/4/2020,658075,435,983,32809,449,0,89,20,172,0.0,1836,31269
50,20/4/2020,658011,369,947,32968,456,0,64,15,161,0.0,1851,31333
51,21/4/2020,657925,345,881,33138,462,0,86,5,138,0.0,1856,31419
52,22/4/2020,657837,336,798,33313,467,0,88,12,137,0.0,1868,31507
53,23/4/2020,657782,303,740,33456,470,0,55,8,124,0.0,1876,31562
54,24/4/2020,657736,275,672,33590,478,0,46,5,105,0.0,1881,31608
