#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
1,2/3/2020,687418,1737,1317,875,2,0,495,5,25,0.0,5,495
2,3/3/2020,686827,1925,1548,1047,2,0,592,9,33,0.0,14,1087
3,4/3/2020,686129,2229,1727,1262,2,0,698,4,37,0.0,18,1785
4,5/3/2020,685421,2481,1955,1490,2,0,708,5,39,0.0,23,2493
5,6/3/2020,684602,2755,2220,1770,2,0,819,4,41,0.0,27,3312
6,7/3/2020,683707,3036,2516,2086,4,0,895,15,48,0.0,42,4207
7,8/3/2020,682652,3394,2882,2416,5,0,1055,12,57,0.0,54,5262
8,9/3/2020,681443,3878,3162,2861,5,0,1209,18,71,0.0,72,6471
9,10/3/2020,680163,4255,3632,3293,6,0,1280,18,85,0.0,90,7751
10,11/3/2020,678644,4805,4099,3793,8,0,1520,7,85,0.0,97,9271
11,12/3/2020,676991,5338,4598,4410,12,0,1653,17,93,0.0,114,10924
12,13/3/2020,675820,5325,5109,5080,15,0,1171,33,117,0.0,147,12095
13,14/3/2020,674462,5433,5651,5788,15,0,1359,27,140,0.0,174,13454
14,15/3/2020,673046,5513,6154,6618,18,0,1417,33,162,0.0,207,14871
15,16/3/2020,671532,5658,6619,7518,22,0,1514,44,194,0.0,251,16385
16,17/3/2020,670258,5582,6968,8510,31,0,1274,30,205,0.0,281,17659
17,18/3/2020,669008,5433,7318,9555,35,0,1250,41,231,0.0,322,18909
18,19/3/2020,667641,5459,7506,10700,43,0,1369,43,250,0.0,365,20278
19,20/3/2020,666226,5486,7593,11990,54,0,1415,53,271,0.0,418,21693
20,21/3/2020,665197,5108,7654,13322,68,0,1029,59,300,0.0,477,22722
21,22/3/2020,664120,4848,7758,14547,76,0,1078,67,340,0.0,544,23800
22,23/3/2020,663034,4645,7713,15873,84,0,1087,59,369,0.0,603,24887
23,24/3/2020,662479,4010,7612,17157,91,0,555,65,396,0.0,668,25442
24,25/3/2020,661912,3432,7437,18467,101,0,569,71,424,0.0,739,26011
25,26/3/2020,661357,3007,7093,19781,111,0,555,69,449,0.0,808,26566
26,27/3/2020,660847,2630,6722,21027,123,0,510,61,472,0.0,869,27076
27,28/3/2020,660393,2336,6302,22179,139,0,454,71,489,0.0,940,27530
28,29/3/2020,659961,2094,5760,23372,162,0,434,83,515,0.0,1023,27964
29,30/3/2020,659547,1942,5181,24500,179,0,414,67,523,0.0,1090,28378
30,31/3/2020,659163,1805,4688,25505,188,0,385,80,552,0.0,1170,28763
31,1/4/2020,658829,1651,4230,26424,215,0,335,80,539,0.0,1250,29098
32,2/4/2020,658513,1515,3836,27253,232,0,316,72,552,0.0,1322,29414
33,3/4/2020,658204,1438,3560,27899,248,0,309,61,558,0.0,1383,29723
34,4/4/2020,657916,1329,3295,28539,270,0,288,55,554,0.0,1438,30011
35,5/4/2020,657681,1207,3069,29103,289,0,235,52,541,0.0,1490,30246
36,6/4/2020,657445,1130,2819,29648,307,0,236,55,534,0.0,1545,30482
37,7/4/2020,657219,1054,2608,30140,328,0,226,38,504,0.0,1583,30708
38,8/4/2020,657040,932,2442,30595,340,0,179,49,481,0.0,1632,30887
39,9/4/2020,656841,894,2204,31045,365,0,199,37,450,0.0,1669,31086
40,10/4/2020,656649,829,2059,31413,399,0,192,24,385,0.0,1693,31278
41,11/4/2020,656500,750,1881,31800,418,0,150,19,330,0.0,1712,31428
42,12/4/2020,656327,725,1751,32116,430,0,173,24,305,0.0,1736,31601
43,13/4/2020,656173,678,1642,32405,451,0,155,25,270,0.0,1761,31756
44,14/4/2020,656056,610,1541,32679,463,0,118,22,254,0.0,1783,31874
45,15/4/2020,655926,562,1411,32972,478,0,130,24,223,0.0,1807,32004
46,16/4/2020,655810,533,1305,33212,489,0,116,16,204,0.0,1823,32120
47,17/4/2020,655704,498,1222,33426,499,0,107,26,198,0.0,1849,32227
48,18/4/2020,655603,468,1133,33638,507,0,101,18,186,0.0,1867,32328
49,19/4/2020,655504,455,1039,33833,518,0,99,23,185,0.0,1890,32427
50,20/4/2020,655420,399,1011,34000,519,0,84,14,181,0.0,1904,32511
51,21/4/2020,655344,373,923,34179,530,0,78,16,172,0.0,1920,32589
52,22/4/2020,655269,356,844,34348,532,0,75,16,165,0.0,1936,32664
53,23/4/2020,655208,316,783,34502,540,0,61,13,155,0.0,1949,32725
54,24/4/2020,655160,285,694,34659,551,0,48,7,129,0.0,1956,32773
55,25/4/2020,655107,248,644,34794,556,0,53,10,116,0.0,1966,32826
56,26/4/2020,655056,235,590,34902,566,0,51,7,105,0.0,1973,32877
57,27/4/2020,654998,223,546,35015,567,0,58,8,96,0.0,1981,32935
