#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
1,2/3/2020,687507,1504,1156,825,1,0,449,4,16,0.0,4,449
2,3/3/2020,687028,1658,1285,1021,1,0,479,3,18,0.0,7,928
3,4/3/2020,686502,1816,1499,1175,1,0,526,4,22,0.0,11,1454
4,5/3/2020,685866,2066,1681,1379,1,0,636,7,26,0.0,18,2090
5,6/3/2020,685147,2338,1881,1625,2,0,719,6,30,0.0,24,2809
6,7/3/2020,684327,2621,2175,1868,2,0,820,12,41,0.0,36,3629
7,8/3/2020,683427,2966,2404,2194,2,0,900,6,44,0.0,42,4529
8,9/3/2020,682382,3348,2730,2530,3,0,1045,14,52,0.0,56,5574
9,10/3/2020,681224,3781,3071,2913,4,0,1158,16,65,0.0,72,6732
10,11/3/2020,679913,4259,3445,3369,7,0,1311,13,72,0.0,85,8043
11,12/3/2020,678491,4685,3974,3833,10,0,1422,15,83,0.0,100,9465
12,13/3/2020,677401,4724,4437,4419,12,0,1090,17,97,0.0,117,10555
13,14/3/2020,676234,4766,4906,5070,17,0,1167,24,111,0.0,141,11722
14,15/3/2020,674866,4927,5397,5784,19,0,1368,22,125,0.0,163,13090
15,16/3/2020,673423,5195,5757,6596,22,0,1443,33,144,0.0,196,14533
16,17/3/2020,672235,5144,6138,7450,26,0,1188,28,159,0.0,224,15721
17,18/3/2020,671013,5057,6497,8394,32,0,1222,37,183,0.0,261,16943
18,19/3/2020,669685,5129,6768,9376,35,0,1328,37,207,0.0,298,18271
19,20/3/2020,668391,5132,6941,10490,39,0,1294,40,232,0.0,338,19565
20,21/3/2020,667378,4858,7054,11657,46,0,1013,40,247,0.0,378,20578
21,22/3/2020,666366,4612,7190,12772,53,0,1012,60,284,0.0,438,21590
22,23/3/2020,665284,4490,7184,13976,59,0,1082,52,314,0.0,490,22672
23,24/3/2020,664729,3853,7143,15204,64,0,556,51,344,0.0,541,23228
24,25/3/2020,664208,3377,6913,16422,73,0,521,67,382,0.0,608,23749
25,26/3/2020,663714,2884,6707,17603,85,0,494,59,395,0.0,667,24243
26,27/3/2020,663201,2521,6326,18850,95,0,514,61,418,0.0,728,24757
27,28/3/2020,662762,2226,5891,20013,101,0,439,68,456,0.0,796,25196
28,29/3/2020,662342,2020,5365,21152,114,0,420,62,465,0.0,858,25616
29,30/3/2020,661933,1867,4897,22168,128,0,409,58,474,0.0,916,26025
30,31/3/2020,661584,1712,4407,23151,139,0,349,77,485,0.0,993,26374
31,1/4/2020,661238,1585,4032,23990,148,0,346,56,495,0.0,1049,26720
32,2/4/2020,660951,1462,3655,24756,169,0,289,64,490,0.0,1113,27009
33,3/4/2020,660689,1333,3364,25425,182,0,262,50,500,0.0,1163,27271
34,4/4/2020,660421,1216,3113,26046,197,0,268,54,492,0.0,1217,27539
35,5/4/2020,660180,1124,2881,26589,219,0,241,45,488,0.0,1262,27780
36,6/4/2020,659981,1020,2645,27109,238,0,199,43,464,0.0,1305,27979
37,7/4/2020,659755,984,2436,27563,255,0,226,41,437,0.0,1346,28205
38,8/4/2020,659563,909,2270,27982,269,0,192,36,407,0.0,1382,28397
39,9/4/2020,659379,845,2121,28364,284,0,184,40,382,0.0,1422,28581
40,10/4/2020,659219,790,1973,28714,297,0,160,35,369,0.0,1457,28741
41,11/4/2020,659064,735,1839,29038,317,0,155,28,339,0.0,1485,28896
42,12/4/2020,658910,661,1751,29342,329,0,154,29,325,0.0,1514,29050
43,13/4/2020,658793,606,1597,29652,345,0,117,27,299,0.0,1541,29167
44,14/4/2020,658677,563,1457,29934,362,0,116,22,277,0.0,1563,29283
45,15/4/2020,658577,518,1277,30240,381,0,100,23,249,0.0,1586,29383
46,16/4/2020,658481,462,1210,30450,390,0,96,24,238,0.0,1610,29479
47,17/4/2020,658391,422,1098,30682,400,0,90,16,216,0.0,1626,29569
48,18/4/2020,658311,376,1034,30869,403,0,80,19,204,0.0,1645,29649
49,19/4/2020,658230,358,955,31038,412,0,81,15,188,0.0,1660,29730
50,20/4/2020,658150,336,869,31218,420,0,80,17,173,0.0,1677,29810
51,21/4/2020,658080,312,811,31363,427,0,70,19,168,0.0,1696,29880
52,22/4/2020,658028,287,738,31511,429,0,52,12,158,0.0,1708,29932
53,23/4/2020,657986,253,669,31648,437,0,42,6,137,0.0,1714,29974
54,24/4/2020,657939,229,613,31768,444,0,47,10,120,0.0,1724,30021
55,25/4/2020,657891,214,537,31899,452,0,49,10,105,0.0,1734,30070
56,26/4/2020,657848,204,504,31981,456,0,43,3,97,0.0,1737,30113
57,27/4/2020,657818,183,461,32070,461,0,30,8,88,0.0,1745,30143
58,28/4/2020,657781,173,403,32170,466,0,38,6,72,0.0,1751,30181
59,29/4/2020,657741,172,367,32244,469,0,40,9,71,0.0,1760,30221
60,30/4/2020,657718,141,349,32312,473,0,23,9,68,0.0,1769,30244
61,1/5/2020,657699,123,318,32377,476,0,19,4,60,0.0,1773,30263
62,2/5/2020,657673,111,293,32437,479,0,26,2,53,0.0,1775,30289
63,3/5/2020,657646,102,273,32491,481,0,27,5,49,0.0,1780,30316
64,4/5/2020,657623,105,253,32530,482,0,23,6,51,0.0,1786,30339
65,5/5/2020,657600,96,246,32569,482,0,23,1,46,0.0,1787,30362
66,6/5/2020,657581,92,227,32609,484,0,20,1,41,0.0,1788,30382
67,7/5/2020,657559,88,216,32643,487,0,22,2,37,0.0,1790,30404
68,8/5/2020,657540,85,191,32689,488,0,19,3,34,0.0,1793,30423
69,9/5/2020,657526,74,175,32725,493,0,14,2,27,0.0,1795,30437
70,10/5/2020,657518,65,160,32757,493,0,9,3,26,0.0,1798,30446
71,11/5/2020,657502,67,143,32786,495,0,16,5,26,0.0,1803,30462
72,12/5/2020,657487,65,136,32810,495,0,15,2,25,0.0,1805,30477
73,13/5/2020,657474,56,137,32831,495,0,14,0,22,0.0,1805,30491
74,14/5/2020,657463,50,123,32860,497,0,11,1,17,0.0,1806,30502
75,15/5/2020,657456,42,118,32878,499,0,7,0,14,0.0,1806,30509
76,16/5/2020,657447,46,109,32892,499,0,10,3,17,0.0,1809,30519
77,17/5/2020,657440,45,93,32915,500,0,8,0,14,0.0,1809,30527
78,18/5/2020,657436,35,92,32929,501,0,4,3,13,0.0,1812,30531
79,19/5/2020,657424,37,87,32944,501,0,12,3,16,0.0,1815,30543
80,20/5/2020,657416,34,86,32954,503,0,8,0,14,0.0,1815,30551
81,21/5/2020,657410,32,73,32973,505,0,7,3,15,0.0,1818,30558
82,22/5/2020,657400,32,63,32992,506,0,10,0,13,0.0,1818,30568
83,23/5/2020,657395,31,62,32998,507,0,5,1,13,0.0,1819,30573
84,24/5/2020,657389,27,59,33010,508,0,6,2,13,0.0,1821,30579
85,25/5/2020,657377,28,52,33026,510,0,12,0,10,0.0,1821,30591
86,26/5/2020,657368,30,52,33033,510,0,9,2,11,0.0,1823,30600
87,27/5/2020,657359,28,56,33040,510,0,10,0,10,0.0,1823,30610
88,28/5/2020,657353,30,52,33047,511,0,6,1,10,0.0,1824,30616
89,29/5/2020,657348,30,50,33054,511,0,5,0,8,0.0,1824,30621
90,30/5/2020,657343,32,44,33063,511,0,5,1,7,0.0,1825,30626
91,31/5/2020,657334,29,50,33069,511,0,9,0,5,0.0,1825,30635
92,1/6/2020,657328,29,42,33082,512,0,6,1,5,0.0,1826,30641
93,2/6/2020,657318,28,49,33086,512,0,11,0,5,0.0,1826,30652
94,3/6/2020,657309,30,47,33095,512,0,9,2,6,0.0,1828,30661
95,4/6/2020,657302,26,51,33102,512,0,8,0,5,0.0,1828,30669
96,5/6/2020,657301,22,49,33109,512,0,2,0,5,0.0,1828,30671
