time,ukr-lvivska,ukr-zakarpatska,ukr-ivano-frankivska,ukr-ternopilska,ukr-rivnenska,ukr-volynska,ukr-zhytomyrska,ukr-khmelnytska,ukr-vinnytska,ukr-chernivetska,ukr-kyiv,ukr-kyivska,ukr-chernihivska,ukr-sumska,ukr-cherkaska,ukr-poltavska,ukr-kharkivska,ukr-dnipropetrovska,ukr-kirovohradska,ukr-odeska,ukr-mykolaivska,ukr-khersonska,ukr-donetska,ukr-zaporizka,ukr-luhanska,ukr-autonomous_republic_of_crimea,poland,slovakia,romania,hungary,republic_of_moldova,czechia,bulgaria,latvia,lithuania,estonia,germany,austria,croatia,spain,italy,netherlands,ireland,belgium,france,finland,portugal,sweden,denmark,greece,cyprus,slovenia
10/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959,121,80,59,120,346,72,49,45,37,1173,77,25,202,171,116,107,79,68,63,61,41,33,30,20,11
11/2024,4,0,2,0,0,0,0,2,0,6,23,5,6,0,4,0,9,26,0,0,14,7,22,0,50,17,941,112,71,59,114,332,70,43,45,35,1126,77,18,188,154,108,95,74,65,59,51,41,29,30,20,11
12/2024,4,0,2,0,0,0,0,2,0,9,45,10,6,0,9,0,9,51,0,3,30,7,25,0,82,27,921,105,71,59,111,317,70,43,45,35,1094,74,18,172,144,103,95,69,65,54,48,41,29,30,20,11
1/2025,4,0,2,0,0,0,0,5,0,10,49,14,9,0,9,0,9,72,0,6,30,7,29,0,109,39,900,105,71,59,110,313,67,40,45,35,1071,71,18,172,136,103,91,65,61,54,48,37,29,30,20,11
2/2025,4,0,2,0,0,0,0,7,0,10,63,14,14,0,9,0,9,87,0,10,38,7,33,0,152,55,887,101,71,49,110,303,65,35,45,35,1038,67,18,164,120,101,87,65,61,54,48,37,29,30,20,11
3/2025,4,0,6,0,0,0,0,10,0,10,75,14,20,0,9,0,9,110,0,14,43,7,33,0,178,61,871,100,71,42,110,292,62,29,45,31,1019,63,18,159,117,94,87,65,61,54,48,34,29,30,20,11
4/2025,4,0,6,0,0,0,0,13,0,16,95,14,20,0,12,0,11,133,0,14,53,7,33,0,189,68,848,100,69,42,104,272,59,29,45,31,1019,63,18,149,110,94,87,65,50,51,48,34,29,30,20,11
5/2025,4,0,6,0,0,0,0,13,0,19,111,14,20,0,12,0,11,157,0,14,53,7,38,0,193,79,824,100,69,42,101,256,59,29,45,31,1015,63,18,149,103,94,82,65,50,51,48,30,29,30,20,11
6/2025,4,0,11,0,0,0,0,13,0,22,120,24,23,0,15,0,11,193,0,17,55,10,42,0,211,86,796,100,69,42,98,250,59,26,45,26,997,60,15,147,96,86,81,55,50,48,45,30,29,30,17,11
7/2025,8,0,11,0,0,0,0,13,0,26,138,26,32,0,20,0,11,217,0,19,63,10,53,0,243,98,778,100,69,38,94,232,59,23,40,26,980,58,15,139,94,80,70,53,39,48,45,20,25,24,17,11
