#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
1,2/3/2020,687578,1672,1268,855,1,0,454,7,16,0.0,7,454
2,3/3/2020,687019,1868,1438,1048,1,0,559,5,21,0.0,12,1013
3,4/3/2020,686389,2079,1663,1242,1,0,630,8,28,0.0,20,1643
4,5/3/2020,685669,2341,1883,1479,2,0,720,6,29,0.0,26,2363
5,6/3/2020,684819,2665,2128,1760,2,0,850,6,33,0.0,32,3213
6,7/3/2020,683918,2996,2393,2065,2,0,902,11,43,0.0,43,4115
7,8/3/2020,682896,3353,2725,2395,5,0,1022,9,48,0.0,52,5137
8,9/3/2020,681783,3728,3074,2782,7,0,1113,16,60,0.0,68,6250
9,10/3/2020,680524,4132,3525,3183,10,0,1259,19,75,0.0,87,7509
10,11/3/2020,679095,4656,3913,3699,11,0,1429,21,92,0.0,108,8938
11,12/3/2020,677482,5254,4358,4267,13,0,1613,17,101,0.0,125,10551
12,13/3/2020,676275,5233,4985,4866,15,0,1207,30,126,0.0,155,11758
13,14/3/2020,674985,5315,5523,5536,15,0,1290,19,141,0.0,174,13048
14,15/3/2020,673557,5461,6010,6327,19,0,1429,22,153,0.0,196,14477
15,16/3/2020,672041,5584,6581,7143,25,0,1516,19,158,0.0,215,15993
16,17/3/2020,670708,5608,6929,8099,30,0,1333,32,174,0.0,247,17326
17,18/3/2020,669322,5597,7236,9183,36,0,1386,55,209,0.0,302,18712
18,19/3/2020,667890,5620,7509,10312,43,0,1432,49,239,0.0,351,20144
19,20/3/2020,666433,5715,7627,11551,48,0,1458,48,273,0.0,399,21602
20,21/3/2020,665381,5318,7811,12809,55,0,1052,71,315,0.0,470,22654
21,22/3/2020,664224,5112,7845,14135,58,0,1158,51,347,0.0,521,23812
22,23/3/2020,663098,4828,7972,15413,63,0,1126,73,399,0.0,594,24938
23,24/3/2020,662530,4164,7854,16754,72,0,568,59,416,0.0,653,25506
24,25/3/2020,661967,3522,7694,18106,85,0,564,69,445,0.0,722,26070
25,26/3/2020,661449,2999,7446,19377,103,0,518,72,470,0.0,794,26588
26,27/3/2020,660930,2634,6993,20695,122,0,520,64,479,0.0,858,27108
27,28/3/2020,660474,2318,6455,21995,132,0,456,88,510,0.0,946,27564
28,29/3/2020,660027,2100,5919,23187,141,0,447,69,532,0.0,1015,28011
29,30/3/2020,659600,1929,5332,24358,155,0,427,62,553,0.0,1077,28438
30,31/3/2020,659188,1844,4787,25384,171,0,412,69,555,0.0,1146,28850
31,1/4/2020,658814,1699,4339,26331,191,0,374,57,548,0.0,1203,29224
32,2/4/2020,658502,1588,3897,27170,217,0,312,69,538,0.0,1272,29536
33,3/4/2020,658199,1436,3641,27861,237,0,304,73,551,0.0,1345,29840
34,4/4/2020,657915,1302,3332,28572,253,0,284,59,537,0.0,1404,30124
35,5/4/2020,657642,1208,3092,29162,270,0,273,65,521,0.0,1469,30397
36,6/4/2020,657399,1156,2841,29680,298,0,244,49,484,0.0,1518,30641
37,7/4/2020,657186,1053,2601,30217,317,0,214,53,471,0.0,1571,30855
38,8/4/2020,656997,969,2403,30671,334,0,189,40,451,0.0,1611,31044
39,9/4/2020,656779,911,2257,31075,352,0,219,45,438,0.0,1656,31263
40,10/4/2020,656598,838,2076,31498,364,0,181,24,413,0.0,1680,31444
41,11/4/2020,656445,780,1910,31863,376,0,153,36,389,0.0,1716,31597
42,12/4/2020,656280,764,1742,32195,393,0,165,22,351,0.0,1738,31762
43,13/4/2020,656130,707,1605,32525,407,0,150,14,311,0.0,1752,31912
44,14/4/2020,656001,668,1451,32829,425,0,129,29,278,0.0,1781,32041
45,15/4/2020,655880,609,1362,33085,438,0,121,25,259,0.0,1806,32162
46,16/4/2020,655767,553,1251,33352,451,0,113,16,235,0.0,1822,32275
47,17/4/2020,655669,507,1164,33572,462,0,98,13,209,0.0,1835,32373
48,18/4/2020,655578,451,1093,33775,477,0,91,15,186,0.0,1850,32464
49,19/4/2020,655484,426,1018,33959,487,0,94,14,168,0.0,1864,32558
50,20/4/2020,655390,408,945,34136,495,0,94,7,146,0.0,1871,32652
51,21/4/2020,655322,368,883,34301,500,0,68,9,133,0.0,1880,32720
52,22/4/2020,655254,343,813,34455,509,0,68,19,129,0.0,1899,32788
53,23/4/2020,655219,286,762,34593,514,0,35,13,125,0.0,1912,32823
54,24/4/2020,655173,267,687,34728,519,0,46,15,121,0.0,1927,32869
55,25/4/2020,655138,223,634,34852,527,0,35,10,114,0.0,1937,32904
56,26/4/2020,655091,194,571,34984,534,0,47,8,102,0.0,1945,32951
57,27/4/2020,655045,186,537,35070,536,0,46,13,105,0.0,1958,32997
58,28/4/2020,655012,159,493,35167,543,0,33,9,96,0.0,1967,33030
59,29/4/2020,654982,156,437,35255,544,0,30,9,95,0.0,1976,33060
60,30/4/2020,654947,147,396,35340,544,0,35,3,90,0.0,1979,33095
61,1/5/2020,654914,133,362,35415,550,0,33,3,76,0.0,1982,33128
62,2/5/2020,654892,128,332,35468,554,0,22,8,71,0.0,1990,33150
63,3/5/2020,654874,113,311,35519,557,0,18,6,68,0.0,1996,33168
64,4/5/2020,654851,102,289,35572,560,0,24,5,62,0.0,2001,33192
65,5/5/2020,654828,100,256,35627,563,0,24,7,57,0.0,2008,33216
66,6/5/2020,654810,95,218,35684,567,0,18,2,46,0.0,2010,33234
67,7/5/2020,654790,86,212,35717,569,0,21,2,44,0.0,2012,33255
68,8/5/2020,654771,76,199,35758,570,0,19,4,41,0.0,2016,33274
69,9/5/2020,654758,67,180,35796,573,0,13,4,36,0.0,2020,33287
70,10/5/2020,654736,77,158,35827,576,0,23,1,29,0.0,2021,33310
71,11/5/2020,654722,63,158,35854,577,0,14,4,27,0.0,2025,33324
72,12/5/2020,654706,66,141,35884,577,0,16,0,24,0.0,2025,33340
73,13/5/2020,654693,65,131,35907,578,0,13,2,23,0.0,2027,33353
74,14/5/2020,654677,60,129,35929,579,0,16,4,22,0.0,2031,33369
75,15/5/2020,654663,57,129,35945,580,0,14,2,23,0.0,2033,33383
76,16/5/2020,654658,50,129,35957,580,0,6,3,25,0.0,2036,33389
77,17/5/2020,654644,51,116,35983,580,0,15,2,25,0.0,2038,33404
78,18/5/2020,654632,50,112,36000,580,0,12,0,23,0.0,2038,33416
79,19/5/2020,654616,55,100,36020,583,0,16,0,17,0.0,2038,33432
80,20/5/2020,654608,48,99,36034,585,0,8,0,13,0.0,2038,33440
81,21/5/2020,654592,56,85,36054,587,0,18,0,7,0.0,2038,33458
82,22/5/2020,654587,52,79,36068,588,0,5,3,8,0.0,2041,33463
83,23/5/2020,654575,51,81,36079,588,0,12,1,7,0.0,2042,33475
84,24/5/2020,654563,51,81,36091,588,0,13,1,8,0.0,2043,33488
85,25/5/2020,654549,45,81,36111,588,0,14,1,7,0.0,2044,33502
86,26/5/2020,654538,38,86,36124,588,0,11,2,9,0.0,2046,33513
87,27/5/2020,654529,39,75,36143,588,0,9,0,8,0.0,2046,33522
88,28/5/2020,654524,33,74,36155,588,0,5,1,8,0.0,2047,33527
89,29/5/2020,654514,36,71,36165,588,0,10,0,8,0.0,2047,33537
90,30/5/2020,654499,45,60,36181,589,0,16,0,5,0.0,2047,33553
91,31/5/2020,654493,44,57,36191,589,0,7,1,6,0.0,2048,33560
92,1/6/2020,654478,49,58,36200,589,0,15,0,5,0.0,2048,33575
93,2/6/2020,654465,53,59,36208,589,0,13,0,4,0.0,2048,33588
94,3/6/2020,654456,53,62,36214,589,0,10,0,3,0.0,2048,33598
95,4/6/2020,654452,44,66,36223,589,0,5,0,2,0.0,2048,33603
96,5/6/2020,654444,38,68,36235,589,0,8,2,3,0.0,2050,33611
97,6/6/2020,654435,38,59,36253,589,0,9,1,4,0.0,2051,33620
98,7/6/2020,654432,30,64,36259,589,0,3,0,4,0.0,2051,33623
99,8/6/2020,654425,26,70,36264,589,0,9,0,4,0.0,2051,33632
100,9/6/2020,654422,23,64,36276,589,0,6,0,3,0.0,2051,33638
101,10/6/2020,654415,24,57,36288,590,0,8,0,2,0.0,2051,33646
102,11/6/2020,654401,35,50,36298,590,0,14,1,3,0.0,2052,33660
103,12/6/2020,654392,37,50,36305,590,0,11,2,5,0.0,2054,33671
104,13/6/2020,654386,39,50,36309,590,0,9,1,5,0.0,2055,33680
105,14/6/2020,654382,37,47,36318,590,0,6,1,6,0.0,2056,33686
106,15/6/2020,654372,36,48,36328,590,0,11,0,5,0.0,2056,33697
107,16/6/2020,654362,39,49,36334,590,0,10,0,4,0.0,2056,33707
108,17/6/2020,654354,41,47,36342,590,0,9,0,3,0.0,2056,33716
109,18/6/2020,654348,42,51,36343,590,0,9,0,3,0.0,2056,33725
110,19/6/2020,654342,35,55,36352,590,0,6,2,5,0.0,2058,33731
111,20/6/2020,654335,35,53,36360,591,0,9,0,3,0.0,2058,33740
112,21/6/2020,654337,28,51,36367,591,0,2,1,4,0.0,2059,33742
113,22/6/2020,654326,31,55,36371,591,0,14,0,4,0.0,2059,33756
114,23/6/2020,654321,29,59,36374,591,0,8,1,5,0.0,2060,33764
115,24/6/2020,654309,34,55,36384,592,0,14,1,5,0.0,2061,33778
116,25/6/2020,654305,38,49,36390,592,0,9,1,4,0.0,2062,33787
117,26/6/2020,654299,36,50,36397,592,0,7,0,3,0.0,2062,33794
118,27/6/2020,654290,38,58,36396,592,0,14,2,5,0.0,2064,33808
119,28/6/2020,654275,47,56,36404,592,0,17,0,5,0.0,2064,33825
120,29/6/2020,654268,46,56,36411,593,0,10,1,5,0.0,2065,33835
121,30/6/2020,654260,43,65,36413,593,0,9,0,5,0.0,2065,33844
122,1/7/2020,654252,43,68,36418,593,0,13,2,7,0.0,2067,33857
123,2/7/2020,654240,48,62,36431,593,0,13,0,7,0.0,2067,33870
124,3/7/2020,654233,45,65,36438,593,0,11,0,6,0.0,2067,33881
125,4/7/2020,654224,46,66,36444,594,0,12,0,5,0.0,2067,33893
126,5/7/2020,654210,49,66,36455,594,0,15,0,4,0.0,2067,33908
127,6/7/2020,654199,51,65,36464,595,0,15,1,4,0.0,2068,33923
128,7/7/2020,654191,50,67,36471,595,0,12,0,2,0.0,2068,33935
129,8/7/2020,654186,46,74,36472,596,0,9,0,1,0.0,2068,33944
130,9/7/2020,654181,47,72,36478,596,0,14,0,1,0.0,2068,33958
131,10/7/2020,654169,53,69,36487,596,0,14,0,1,0.0,2068,33972
132,11/7/2020,654160,54,76,36488,596,0,16,4,5,0.0,2072,33988
133,12/7/2020,654156,53,74,36495,596,0,11,1,5,0.0,2073,33999
134,13/7/2020,654153,49,76,36500,596,0,12,0,5,0.0,2073,34011
135,14/7/2020,654142,50,84,36501,597,0,20,1,5,0.0,2074,34031
136,15/7/2020,654130,59,78,36509,598,0,19,0,4,0.0,2074,34050
137,16/7/2020,654105,80,80,36511,598,0,33,0,4,0.0,2074,34083
