#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
1,2/3/2020,688852,1413,1107,782,1,0,408,7,21,0.0,7,408
2,3/3/2020,688375,1543,1289,946,2,0,477,3,23,0.0,10,885
3,4/3/2020,687785,1817,1427,1123,3,0,590,2,23,0.0,12,1475
4,5/3/2020,687193,2012,1622,1324,4,0,593,3,24,0.0,15,2068
5,6/3/2020,686529,2226,1841,1554,5,0,665,6,27,0.0,21,2733
6,7/3/2020,685707,2548,2105,1789,6,0,822,14,38,0.0,35,3555
7,8/3/2020,684799,2912,2336,2101,7,0,908,12,45,0.0,47,4463
8,9/3/2020,683833,3255,2628,2432,7,0,966,12,55,0.0,59,5429
9,10/3/2020,682712,3652,2983,2801,7,0,1121,12,67,0.0,71,6550
10,11/3/2020,681564,4005,3351,3226,9,0,1148,11,75,0.0,82,7698
11,12/3/2020,680171,4497,3779,3698,10,0,1393,20,92,0.0,102,9091
12,13/3/2020,679118,4528,4234,4263,12,0,1053,20,108,0.0,122,10144
13,14/3/2020,677953,4568,4758,4862,14,0,1165,25,126,0.0,147,11309
14,15/3/2020,676654,4734,5194,5556,17,0,1300,21,132,0.0,168,12609
15,16/3/2020,675307,4953,5542,6332,21,0,1348,23,141,0.0,191,13957
16,17/3/2020,674195,4917,5851,7167,25,0,1112,40,170,0.0,231,15069
17,18/3/2020,673005,4869,6214,8037,30,0,1190,27,177,0.0,258,16259
18,19/3/2020,671771,4866,6450,9034,34,0,1234,35,195,0.0,293,17493
19,20/3/2020,670441,4921,6670,10086,37,0,1330,42,221,0.0,335,18823
20,21/3/2020,669509,4661,6788,11152,45,0,932,49,247,0.0,384,19755
21,22/3/2020,668515,4475,6818,12296,51,0,994,47,270,0.0,431,20749
22,23/3/2020,667563,4272,6869,13392,59,0,952,48,293,0.0,479,21701
23,24/3/2020,667032,3641,6904,14514,64,0,531,53,326,0.0,532,22232
24,25/3/2020,666531,3069,6803,15685,67,0,501,62,362,0.0,594,22733
25,26/3/2020,666024,2693,6489,16870,79,0,507,53,376,0.0,647,23240
26,27/3/2020,665561,2323,6132,18048,91,0,463,71,398,0.0,718,23703
27,28/3/2020,665139,2095,5676,19146,99,0,422,72,437,0.0,790,24125
28,29/3/2020,664764,1881,5209,20190,111,0,375,64,459,0.0,854,24500
29,30/3/2020,664391,1728,4744,21171,121,0,373,60,468,0.0,914,24873
30,31/3/2020,664038,1607,4305,22072,133,0,354,66,488,0.0,980,25227
31,1/4/2020,663717,1478,3907,22906,147,0,321,62,492,0.0,1042,25548
32,2/4/2020,663431,1388,3568,23606,162,0,286,79,515,0.0,1121,25834
33,3/4/2020,663188,1250,3311,24233,173,0,243,60,530,0.0,1181,26077
34,4/4/2020,662941,1182,2973,24865,194,0,247,67,533,0.0,1248,26324
35,5/4/2020,662720,1101,2746,25379,209,0,221,48,501,0.0,1296,26545
36,6/4/2020,662523,978,2545,25882,227,0,197,37,478,0.0,1333,26742
37,7/4/2020,662319,933,2303,26345,255,0,204,32,433,0.0,1365,26946
38,8/4/2020,662157,804,2156,26768,270,0,162,33,409,0.0,1398,27108
39,9/4/2020,661975,790,1961,27148,281,0,182,39,381,0.0,1437,27290
40,10/4/2020,661825,740,1775,27513,302,0,150,33,356,0.0,1470,27440
41,11/4/2020,661674,679,1651,27836,315,0,151,30,341,0.0,1500,27591
42,12/4/2020,661545,625,1519,28136,330,0,129,21,307,0.0,1521,27720
43,13/4/2020,661419,597,1374,28420,345,0,126,22,283,0.0,1543,27846
44,14/4/2020,661294,546,1319,28638,358,0,125,19,253,0.0,1562,27971
45,15/4/2020,661189,501,1230,28863,372,0,105,20,235,0.0,1582,28076
46,16/4/2020,661100,447,1145,29079,384,0,90,13,211,0.0,1595,28166
47,17/4/2020,661008,432,1041,29276,398,0,92,14,185,0.0,1609,28258
48,18/4/2020,660916,423,955,29452,409,0,93,11,161,0.0,1620,28351
49,19/4/2020,660817,394,904,29622,418,0,100,17,152,0.0,1637,28451
50,20/4/2020,660754,355,843,29780,423,0,63,7,134,0.0,1644,28514
51,21/4/2020,660681,341,782,29922,429,0,74,9,122,0.0,1653,28588
52,22/4/2020,660615,312,719,30073,436,0,66,17,109,0.0,1670,28654
53,23/4/2020,660563,272,694,30188,438,0,52,8,106,0.0,1678,28706
54,24/4/2020,660517,249,635,30310,444,0,46,5,94,0.0,1683,28752
55,25/4/2020,660465,228,592,30422,448,0,52,6,88,0.0,1689,28804
56,26/4/2020,660424,211,525,30543,452,0,41,6,79,0.0,1695,28845
57,27/4/2020,660391,192,471,30644,457,0,33,8,72,0.0,1703,28878
58,28/4/2020,660359,165,434,30738,459,0,32,7,64,0.0,1710,28910
59,29/4/2020,660325,149,408,30813,460,0,34,4,57,0.0,1714,28944
60,30/4/2020,660300,137,371,30886,461,0,25,10,59,0.0,1724,28969
61,1/5/2020,660277,127,332,30957,462,0,23,7,59,0.0,1731,28992
62,2/5/2020,660251,124,306,31010,464,0,26,8,60,0.0,1739,29018
63,3/5/2020,660235,100,288,31066,466,0,16,3,57,0.0,1742,29034
64,4/5/2020,660207,102,269,31106,471,0,28,5,52,0.0,1747,29062
65,5/5/2020,660187,96,240,31158,474,0,20,4,47,0.0,1751,29082
66,6/5/2020,660168,82,233,31198,474,0,19,5,47,0.0,1756,29101
67,7/5/2020,660143,88,212,31238,474,0,25,1,42,0.0,1757,29126
68,8/5/2020,660128,81,200,31272,474,0,16,4,41,0.0,1761,29142
69,9/5/2020,660112,76,180,31309,478,0,16,2,34,0.0,1763,29158
70,10/5/2020,660093,80,158,31345,479,0,19,1,29,0.0,1764,29177
71,11/5/2020,660078,69,154,31374,480,0,15,0,25,0.0,1764,29192
72,12/5/2020,660062,67,147,31399,480,0,16,2,26,0.0,1766,29208
73,13/5/2020,660041,72,148,31414,480,0,22,0,23,0.0,1766,29230
74,14/5/2020,660015,78,138,31440,484,0,28,2,18,0.0,1768,29258
75,15/5/2020,660005,70,135,31461,484,0,10,5,19,0.0,1773,29268
76,16/5/2020,659989,65,132,31483,486,0,16,1,16,0.0,1774,29284
77,17/5/2020,659982,53,126,31508,486,0,8,1,13,0.0,1775,29292
78,18/5/2020,659975,48,109,31537,486,0,7,2,15,0.0,1777,29299
79,19/5/2020,659966,46,103,31554,486,0,10,0,14,0.0,1777,29309
80,20/5/2020,659962,40,93,31573,487,0,5,3,14,0.0,1780,29314
81,21/5/2020,659957,31,96,31583,488,0,6,1,13,0.0,1781,29320
82,22/5/2020,659945,35,90,31596,489,0,12,2,13,0.0,1783,29332
83,23/5/2020,659941,28,88,31609,489,0,4,0,13,0.0,1783,29336
84,24/5/2020,659928,36,79,31622,490,0,13,3,14,0.0,1786,29349
85,25/5/2020,659922,33,76,31634,490,0,7,1,15,0.0,1787,29356
86,26/5/2020,659914,36,68,31647,490,0,8,2,15,0.0,1789,29364
87,27/5/2020,659902,39,64,31660,490,0,13,1,13,0.0,1790,29377
88,28/5/2020,659895,40,59,31671,490,0,7,0,11,0.0,1790,29384
89,29/5/2020,659888,39,61,31676,491,0,7,0,10,0.0,1790,29391
90,30/5/2020,659882,32,63,31687,491,0,6,0,10,0.0,1790,29397
91,31/5/2020,659876,24,68,31694,493,0,6,2,10,0.0,1792,29403
92,1/6/2020,659868,28,59,31706,494,0,8,0,8,0.0,1792,29411
93,2/6/2020,659858,28,58,31716,495,0,12,0,5,0.0,1792,29423
94,3/6/2020,659850,27,57,31726,495,0,8,1,4,0.0,1793,29431
95,4/6/2020,659840,32,51,31737,495,0,10,1,4,0.0,1794,29441
96,5/6/2020,659830,34,51,31745,495,0,10,0,4,0.0,1794,29451
97,6/6/2020,659823,34,50,31753,495,0,8,0,2,0.0,1794,29459
98,7/6/2020,659813,36,48,31763,495,0,10,2,4,0.0,1796,29469
99,8/6/2020,659804,39,49,31768,495,0,9,0,4,0.0,1796,29478
100,9/6/2020,659798,31,53,31778,495,0,6,0,4,0.0,1796,29484
101,10/6/2020,659789,31,56,31784,495,0,9,0,3,0.0,1796,29493
102,11/6/2020,659784,28,58,31790,495,0,5,0,3,0.0,1796,29498
103,12/6/2020,659770,33,60,31797,495,0,14,0,3,0.0,1796,29512
104,13/6/2020,659761,31,62,31806,495,0,10,0,2,0.0,1796,29522
105,14/6/2020,659753,37,58,31812,495,0,9,1,3,0.0,1797,29531
106,15/6/2020,659749,31,63,31817,495,0,5,1,3,0.0,1798,29536
107,16/6/2020,659740,35,59,31826,495,0,9,0,3,0.0,1798,29545
108,17/6/2020,659734,35,53,31837,496,0,7,0,2,0.0,1798,29552
109,18/6/2020,659725,35,49,31850,496,0,9,2,4,0.0,1800,29561
110,19/6/2020,659720,33,50,31856,496,0,7,0,4,0.0,1800,29568
111,20/6/2020,659712,36,47,31864,496,0,8,1,5,0.0,1801,29576
112,21/6/2020,659704,36,51,31867,497,0,12,2,5,0.0,1803,29588
113,22/6/2020,659698,34,53,31873,497,0,6,1,6,0.0,1804,29594
114,23/6/2020,659686,43,48,31881,497,0,13,0,6,0.0,1804,29607
115,24/6/2020,659684,40,50,31884,497,0,6,1,7,0.0,1805,29613
116,25/6/2020,659670,51,46,31891,497,0,17,0,6,0.0,1805,29630
117,26/6/2020,659662,49,51,31896,497,0,8,0,6,0.0,1805,29638
118,27/6/2020,659650,53,47,31906,499,0,14,0,3,0.0,1805,29652
119,28/6/2020,659641,46,53,31916,499,0,10,1,2,0.0,1806,29662
120,29/6/2020,659635,43,54,31924,499,0,8,0,2,0.0,1806,29670
121,30/6/2020,659629,34,66,31927,499,0,8,0,2,0.0,1806,29678
122,1/7/2020,659619,40,58,31939,499,0,12,1,3,0.0,1807,29690
123,2/7/2020,659612,39,56,31949,499,0,8,1,4,0.0,1808,29698
124,3/7/2020,659605,42,55,31952,501,0,11,0,2,0.0,1808,29709
125,4/7/2020,659600,38,58,31958,501,0,10,0,2,0.0,1808,29719
126,5/7/2020,659591,41,56,31965,502,0,13,1,2,0.0,1809,29732
127,6/7/2020,659591,46,55,31961,502,0,10,0,2,0.0,1809,29742
128,7/7/2020,659589,42,52,31970,502,0,8,0,2,0.0,1809,29750
129,8/7/2020,659582,47,56,31968,502,0,15,0,2,0.0,1809,29765
130,9/7/2020,659577,43,65,31968,502,0,11,0,2,0.0,1809,29776
131,10/7/2020,659569,46,61,31977,502,0,14,0,2,0.0,1809,29790
132,11/7/2020,659563,44,67,31979,502,0,12,0,1,0.0,1809,29802
133,12/7/2020,659558,43,70,31982,502,0,11,1,1,0.0,1810,29813
134,13/7/2020,659560,44,69,31980,502,0,9,1,2,0.0,1811,29822
135,14/7/2020,659554,47,69,31984,501,0,12,1,3,0.0,1812,29834
136,15/7/2020,659561,47,72,31974,501,0,12,1,4,0.0,1813,29846
137,16/7/2020,659547,62,69,31976,501,0,22,1,5,0.0,1814,29868
138,17/7/2020,659534,70,72,31978,501,0,23,2,5,0.0,1816,29891
139,18/7/2020,659529,65,81,31979,501,0,16,1,6,0.0,1817,29907
140,19/7/2020,659521,61,92,31980,501,0,15,0,6,0.0,1817,29922
141,20/7/2020,659506,68,94,31986,501,0,21,1,6,0.0,1818,29943
142,21/7/2020,659501,77,88,31988,501,0,22,0,6,0.0,1818,29965
143,22/7/2020,659491,83,93,31987,501,0,20,0,6,0.0,1818,29985
144,23/7/2020,659482,78,101,31992,502,0,23,0,5,0.0,1818,30008
145,24/7/2020,659467,78,115,31992,503,0,27,2,6,0.0,1820,30035
146,25/7/2020,659457,93,112,31990,503,0,29,0,5,0.0,1820,30064
147,26/7/2020,659446,103,110,31993,503,0,26,1,6,0.0,1821,30090
148,27/7/2020,659438,92,126,31995,504,0,19,0,4,0.0,1821,30109
149,28/7/2020,659427,104,120,32000,504,0,30,1,5,0.0,1822,30139
150,29/7/2020,659399,109,136,32007,504,0,37,2,7,0.0,1824,30176
151,30/7/2020,659384,119,142,32006,504,0,31,0,7,0.0,1824,30207
152,31/7/2020,659376,109,154,32011,505,0,22,4,9,0.0,1828,30229
153,1/8/2020,659363,104,164,32019,505,0,25,1,9,0.0,1829,30254
154,2/8/2020,659362,103,162,32022,506,0,24,1,9,0.0,1830,30278
155,3/8/2020,659352,105,160,32032,506,0,28,0,9,0.0,1830,30306
156,4/8/2020,659341,106,173,32029,506,0,29,1,10,0.0,1831,30335
157,5/8/2020,659329,106,169,32044,507,0,26,0,8,0.0,1831,30361
158,6/8/2020,659323,99,167,32059,507,0,28,2,10,0.0,1833,30389
159,7/8/2020,659317,115,159,32057,507,0,36,0,9,0.0,1833,30425
160,8/8/2020,659312,121,147,32067,508,0,29,1,6,0.0,1834,30454
161,9/8/2020,659321,121,141,32064,508,0,24,1,7,0.0,1835,30478
162,10/8/2020,659312,122,158,32055,508,0,35,2,9,0.0,1837,30513
163,11/8/2020,659295,123,167,32062,508,0,37,2,11,0.0,1839,30550
164,12/8/2020,659296,124,169,32057,509,0,31,1,10,0.0,1840,30581
165,13/8/2020,659291,143,165,32047,509,0,41,0,9,0.0,1840,30622
166,14/8/2020,659282,151,165,32048,509,0,34,1,10,0.0,1841,30656
167,15/8/2020,659267,169,167,32041,511,0,52,2,9,0.0,1843,30708
168,16/8/2020,659262,185,177,32019,512,0,55,1,8,0.0,1844,30763
169,17/8/2020,659250,194,191,32007,513,0,48,0,6,0.0,1844,30811
170,18/8/2020,659239,193,218,31992,513,0,52,2,7,0.0,1846,30863
171,19/8/2020,659232,204,221,31985,513,0,48,3,10,0.0,1849,30911
172,20/8/2020,659229,212,224,31977,513,0,52,0,9,0.0,1849,30963
173,21/8/2020,659225,188,263,31966,513,0,45,1,10,0.0,1850,31008
174,22/8/2020,659223,219,265,31935,513,0,69,2,12,0.0,1852,31077
175,23/8/2020,659205,230,267,31938,515,0,63,1,10,0.0,1853,31140
176,24/8/2020,659194,233,269,31943,516,0,56,2,11,0.0,1855,31196
177,25/8/2020,659181,240,280,31938,516,0,61,3,14,0.0,1858,31257
178,26/8/2020,659151,260,281,31947,516,0,72,1,15,0.0,1859,31329
179,27/8/2020,659126,253,316,31942,518,0,68,1,14,0.0,1860,31397
180,28/8/2020,659125,249,327,31935,519,0,49,1,13,0.0,1861,31446
181,29/8/2020,659105,255,332,31943,520,0,66,0,11,0.0,1861,31512
182,30/8/2020,659106,266,330,31933,520,0,66,3,12,0.0,1864,31578
183,31/8/2020,659084,266,339,31947,519,0,65,2,13,0.0,1866,31643
184,1/9/2020,659073,263,339,31960,520,0,64,2,14,0.0,1868,31707
185,2/9/2020,659082,255,350,31948,520,0,54,3,17,0.0,1871,31761
186,3/9/2020,659092,245,372,31926,520,0,57,4,19,0.0,1875,31818
187,4/9/2020,659111,229,384,31911,520,0,51,4,22,0.0,1879,31869
188,5/9/2020,659082,247,381,31925,520,0,77,2,24,0.0,1881,31946
189,6/9/2020,659094,244,381,31916,520,0,58,4,25,0.0,1885,32004
190,7/9/2020,659085,249,371,31926,524,0,68,1,20,0.0,1886,32072
191,8/9/2020,659084,244,378,31924,525,0,62,3,19,0.0,1889,32134
192,9/9/2020,659102,250,378,31899,526,0,54,4,22,0.0,1893,32188
193,10/9/2020,659096,243,396,31893,527,0,72,4,23,0.0,1897,32260
194,11/9/2020,659086,246,401,31895,527,0,64,7,30,0.0,1904,32324
195,12/9/2020,659077,243,394,31912,529,0,67,4,30,0.0,1908,32391
196,13/9/2020,659072,249,384,31921,529,0,60,5,32,0.0,1913,32451
197,14/9/2020,659083,245,375,31921,531,0,61,3,30,0.0,1916,32512
198,15/9/2020,659078,264,353,31926,534,0,74,9,34,0.0,1925,32586
199,16/9/2020,659076,276,376,31891,536,0,86,1,31,0.0,1926,32672
200,17/9/2020,659093,277,390,31858,537,0,68,3,30,0.0,1929,32740
201,18/9/2020,659116,273,400,31827,539,0,64,4,31,0.0,1933,32804
202,19/9/2020,659117,277,398,31821,542,0,77,4,29,0.0,1937,32881
203,20/9/2020,659125,287,397,31802,544,0,76,1,26,0.0,1938,32957
204,21/9/2020,659119,312,389,31788,547,0,90,3,26,0.0,1941,33047
205,22/9/2020,659129,314,412,31753,547,0,80,1,26,0.0,1942,33127
206,23/9/2020,659149,300,417,31739,550,0,63,6,26,0.0,1948,33190
207,24/9/2020,659194,278,429,31702,552,0,55,3,25,0.0,1951,33245
208,25/9/2020,659250,277,417,31658,553,0,63,3,24,0.0,1954,33308
209,26/9/2020,659273,271,410,31646,555,0,67,1,20,0.0,1955,33375
210,27/9/2020,659304,264,411,31621,555,0,66,3,22,0.0,1958,33441
211,28/9/2020,659349,250,401,31598,557,0,51,1,19,0.0,1959,33492
212,29/9/2020,659398,232,401,31566,558,0,51,4,21,0.0,1963,33543
213,30/9/2020,659456,216,405,31519,559,0,52,7,23,0.0,1970,33595
214,1/10/2020,659505,218,384,31489,559,0,50,2,22,0.0,1972,33645
215,2/10/2020,659547,243,347,31458,560,0,69,2,20,0.0,1974,33714
216,3/10/2020,659601,227,343,31423,561,0,57,4,20,0.0,1978,33771
217,4/10/2020,659655,217,330,31392,561,0,49,0,19,0.0,1978,33820
218,5/10/2020,659714,206,326,31347,562,0,52,1,18,0.0,1979,33872
219,6/10/2020,659762,216,321,31293,563,0,56,2,18,0.0,1981,33928
220,7/10/2020,659802,227,320,31243,563,0,68,4,16,0.0,1985,33996
221,8/10/2020,659885,236,311,31160,563,0,53,5,18,0.0,1990,34049
222,9/10/2020,659989,221,321,31061,563,0,42,4,22,0.0,1994,34091
223,10/10/2020,660045,225,318,31004,563,0,59,1,18,0.0,1995,34150
224,11/10/2020,660105,226,323,30938,563,0,65,3,21,0.0,1998,34215
225,12/10/2020,660175,231,328,30858,563,0,65,6,26,0.0,2004,34280
226,13/10/2020,660247,231,325,30788,564,0,62,4,27,0.0,2008,34342
227,14/10/2020,660291,258,327,30715,564,0,76,2,28,0.0,2010,34418
228,15/10/2020,660348,255,354,30633,565,0,64,1,25,0.0,2011,34482
229,16/10/2020,660406,262,354,30565,568,0,73,1,22,0.0,2012,34555
230,17/10/2020,660480,271,362,30474,568,0,65,2,22,0.0,2014,34620
231,18/10/2020,660561,263,381,30381,569,0,67,4,23,0.0,2018,34687
232,19/10/2020,660626,288,380,30292,569,0,88,1,23,0.0,2019,34775
233,20/10/2020,660701,297,381,30205,571,0,73,0,19,0.0,2019,34848
234,21/10/2020,660746,313,383,30141,572,0,82,1,16,0.0,2020,34930
235,22/10/2020,660795,327,380,30081,572,0,88,0,11,0.0,2020,35018
236,23/10/2020,660854,340,380,30006,575,0,89,2,10,0.0,2022,35107
237,24/10/2020,660918,331,407,29924,575,0,81,2,10,0.0,2024,35188
238,25/10/2020,660967,338,410,29865,575,0,85,3,12,0.0,2027,35273
239,26/10/2020,661018,344,409,29808,576,0,80,3,14,0.0,2030,35353
240,27/10/2020,661073,364,433,29708,577,0,104,6,18,0.0,2036,35457
241,28/10/2020,661132,374,428,29643,578,0,88,3,19,0.0,2039,35545
242,29/10/2020,661202,365,443,29567,578,0,88,3,22,0.0,2042,35633
243,30/10/2020,661274,345,471,29486,579,0,76,3,22,0.0,2045,35709
