time,ukr-lvivska,ukr-zakarpatska,ukr-ivano-frankivska,ukr-ternopilska,ukr-rivnenska,ukr-volynska,ukr-zhytomyrska,ukr-khmelnytska,ukr-vinnytska,ukr-chernivetska,ukr-kyiv,ukr-kyivska,ukr-chernihivska,ukr-sumska,ukr-cherkaska,ukr-poltavska,ukr-kharkivska,ukr-dnipropetrovska,ukr-kirovohradska,ukr-odeska,ukr-mykolaivska,ukr-khersonska,ukr-donetska,ukr-zaporizka,ukr-luhanska,ukr-autonomous_republic_of_crimea,poland,slovakia,romania,hungary,republic_of_moldova,czechia,bulgaria,latvia,lithuania,estonia,germany,austria,croatia,spain,italy,netherlands,ireland,belgium,france,finland,portugal,sweden,denmark,greece,cyprus,slovenia
10/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,121,83,62,123,346,73,48,44,37,1170,77,25,203,172,115,108,80,69,65,61,41,34,30,18,12
11/2024,0,0,7,0,0,5,17,0,0,11,19,6,0,0,0,4,11,46,0,3,0,5,15,0,0,11,941,121,83,62,120,335,62,48,38,33,1153,72,25,177,161,101,93,73,64,63,61,41,34,30,18,8
12/2024,4,0,7,0,0,5,56,0,0,35,46,6,0,0,0,4,11,63,0,5,0,13,17,0,0,21,914,116,83,62,118,311,62,48,34,33,1114,72,25,167,156,98,91,73,56,63,57,41,34,30,18,8
1/2025,10,0,7,6,2,8,81,0,0,46,54,13,0,0,0,4,14,84,0,7,0,13,17,3,0,32,906,114,81,58,116,300,59,48,34,30,1089,69,25,156,147,92,91,73,56,59,51,35,34,27,18,8
2/2025,10,0,7,6,5,10,97,0,0,59,56,17,0,0,0,8,20,101,0,9,0,16,20,3,0,47,904,109,78,58,114,287,53,48,34,27,1073,67,25,139,137,92,88,73,53,58,51,35,34,27,18,4
3/2025,10,0,10,6,5,12,114,0,0,69,83,24,0,0,0,8,23,112,0,11,0,16,31,3,0,51,877,105,78,58,112,277,50,48,34,24,1056,65,25,132,137,88,77,70,53,54,51,35,34,27,18,4
4/2025,11,0,10,6,9,12,146,0,0,80,106,24,0,0,0,8,23,122,0,13,0,19,34,3,0,62,854,105,74,56,110,266,50,47,33,24,1024,65,25,130,126,83,74,70,50,54,51,35,34,27,18,4
5/2025,13,0,11,6,9,12,174,0,0,89,122,24,0,0,0,8,23,125,0,20,0,19,39,3,0,71,838,103,74,56,103,257,50,47,30,24,996,65,25,130,119,83,69,69,50,54,49,35,34,27,18,4
6/2025,17,0,11,6,9,12,189,0,0,101,149,30,0,0,0,8,27,137,0,27,0,19,45,3,0,78,811,99,74,54,96,245,46,47,30,20,981,65,21,120,116,83,67,69,50,52,45,35,34,27,18,4
7/2025,17,0,14,6,9,12,200,0,0,101,168,30,0,0,0,8,29,141,0,29,0,19,48,3,0,87,792,94,74,54,94,245,44,47,30,20,970,65,21,116,112,83,64,66,50,52,45,35,34,27,18,4
8/2025,28,0,14,6,14,12,216,0,0,106,181,34,0,0,0,8,29,155,0,31,0,22,53,7,0,87,779,94,69,54,94,240,44,44,25,16,954,65,21,111,112,79,59,66,47,52,37,35,32,23,18,4
9/2025,28,0,16,6,14,12,237,0,0,112,206,34,0,0,0,8,29,159,0,33,0,22,57,7,0,92,754,89,69,54,92,234,44,44,25,16,933,65,21,107,112,79,55,64,47,52,37,35,32,23,18,4
10/2025,28,0,16,6,17,12,246,0,0,118,215,34,0,0,0,8,34,161,3,40,0,27,66,7,0,101,745,80,66,54,85,228,39,44,25,16,924,65,21,105,112,79,46,64,42,52,37,35,32,23,15,4
11/2025,28,0,21,6,17,12,257,0,0,129,227,34,0,0,0,8,36,177,3,40,0,31,76,7,0,101,733,80,66,54,85,217,37,44,23,16,913,65,21,100,112,70,36,59,38,52,37,35,32,23,15,4
12/2025,32,0,29,6,17,12,266,0,0,133,236,37,0,0,0,8,36,177,11,46,0,31,80,7,0,104,724,80,66,54,85,213,37,40,23,13,904,65,17,100,109,70,36,51,38,52,37,35,26,23,7,4
1/2026,32,0,32,6,17,12,276,0,0,145,244,37,0,0,0,8,36,179,11,48,0,32,80,7,0,104,716,80,66,52,83,201,37,40,23,13,894,65,17,100,109,70,36,48,37,52,37,35,26,23,7,4
2/2026,32,0,36,6,24,17,301,0,0,162,267,41,0,0,0,8,36,185,11,53,0,32,82,7,0,114,693,75,59,52,78,184,37,40,20,13,869,60,17,97,104,70,34,44,37,48,37,35,26,23,7,4
3/2026,32,0,36,6,27,18,305,0,0,166,284,45,0,0,0,8,36,187,11,54,0,32,82,7,0,114,676,75,56,52,77,180,37,40,18,9,865,59,17,97,104,70,34,44,37,48,37,35,26,23,7,4
4/2026,36,0,36,6,27,18,308,0,0,168,292,49,0,0,0,8,40,200,11,54,0,32,82,10,0,117,668,72,56,47,77,178,33,36,18,9,862,59,17,89,104,70,34,44,37,44,37,35,26,20,7,4
5/2026,36,0,40,11,27,20,315,0,0,177,307,56,0,0,0,8,40,207,11,54,0,32,85,10,0,126,653,68,56,44,77,169,33,36,18,9,855,57,17,85,99,70,31,40,37,37,37,30,26,20,7,4
6/2026,36,0,40,14,30,20,322,0,0,189,320,62,0,0,0,8,40,214,11,54,0,32,85,10,0,126,640,68,53,44,77,157,33,36,18,9,848,57,17,80,99,68,31,40,37,31,37,27,26,20,7,4
7/2026,36,0,40,14,34,23,327,0,0,194,327,62,0,0,0,8,40,219,11,56,0,32,85,10,0,129,633,65,49,44,75,152,33,36,18,9,843,54,17,75,99,68,31,40,37,31,37,27,26,20,7,4
8/2026,36,0,40,14,34,29,336,0,0,196,337,62,0,0,0,8,40,219,11,58,0,32,87,10,0,133,623,65,49,44,73,150,33,36,18,9,834,48,17,75,95,68,29,40,37,31,37,27,26,20,7,4
9/2026,41,0,45,14,34,29,346,0,0,197,356,62,0,0,0,8,40,223,11,58,0,32,92,10,0,135,604,65,49,44,73,149,33,36,18,9,824,48,12,71,93,68,29,35,37,31,32,27,26,20,7,4
10/2026,41,0,45,16,34,29,348,0,0,206,368,64,0,0,0,8,40,223,11,60,0,32,99,10,0,144,592,59,49,44,73,140,33,36,18,7,822,48,5,71,90,68,29,35,37,31,32,25,24,20,7,4
11/2026,41,0,45,16,34,29,352,0,0,222,373,64,0,0,0,8,40,230,11,64,0,32,103,10,0,144,587,59,49,44,69,124,33,36,18,7,818,48,5,68,90,64,25,35,37,31,32,25,24,20,7,4
12/2026,41,0,45,16,38,29,360,0,0,227,379,64,0,0,0,8,40,230,14,70,0,33,103,10,0,152,581,59,45,44,63,119,33,36,18,7,810,48,5,68,82,64,25,35,36,31,32,25,24,20,4,4
1/2027,46,0,45,16,40,29,374,0,0,230,382,64,0,0,0,8,40,232,14,70,0,33,103,10,0,156,578,55,43,44,63,116,33,31,18,7,796,48,5,68,82,62,25,35,36,31,32,25,24,20,4,4
