Day,Date,Fassala-Mbera sim,Fassala-Mbera data,Fassala-Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2012-02-29,463,463,0.0,0,0,0.0,0,0,0.0,34,34,0.0,43,43,0.0,0,0,0.0,0,0,0.0,0.0,540,540,1543,540,0
1,2012-03-01,463,482,0.0394,0,0,0.0,0,0,0.0,34,34,0.0,43,43,0.0,0,0,0.0,0,0,0.0,0.012163892445582587,559,559,1562,540,0
2,2012-03-02,462,502,0.0797,0,0,0.0,0,0,0.0,34,34,0.0,43,43,0.0,0,0,0.0,0,0,0.0,0.025284450063211124,579,579,1582,539,0
3,2012-03-03,461,521,0.1152,0,0,0.0,0,0,0.0,34,33,0.0303,43,43,0.0,0,0,0.0,0,0,0.0,0.038125,597,597,1600,538,0
4,2012-03-04,459,540,0.15,0,0,0.0,0,0,0.0,34,33,0.0303,43,43,0.0,0,0,0.0,0,0,0.0,0.0506485484867202,616,616,1619,536,0
5,2012-03-05,459,560,0.1804,0,0,0.0,0,0,0.0,34,33,0.0303,43,43,0.0,0,0,0.0,0,0,0.0,0.06223306894447834,636,636,1639,536,0
6,2012-03-06,459,579,0.2073,0,0,0.0,0,0,0.0,34,32,0.0625,43,43,0.0,0,0,0.0,0,0,0.0,0.07362703681351841,654,654,1657,536,0
7,2012-03-07,461,598,0.2291,0,0,0.0,0,0,0.0,34,32,0.0625,43,43,0.0,0,0,0.0,0,0,0.0,0.08293556085918855,673,673,1676,538,0
8,2012-03-08,463,626,0.2604,0,0,0.0,0,0,0.0,34,32,0.0625,42,43,0.0233,0,0,0.0,1,0,0.0,0.09800469483568075,701,701,1704,540,0
9,2012-03-09,464,653,0.2894,0,0,0.0,0,0,0.0,34,31,0.0968,42,43,0.0233,0,0,0.0,1,0,0.0,0.11213872832369942,727,727,1730,541,0
10,2012-03-10,464,680,0.3176,0,0,0.0,0,0,0.0,34,31,0.0968,42,43,0.0233,0,0,0.0,1,0,0.0,0.12578258394991462,754,754,1757,541,0
11,2012-03-11,465,707,0.3423,0,0,0.0,0,0,0.0,33,31,0.0645,42,43,0.0233,1,0,0.0,1,0,0.0,0.1384529147982063,781,781,1784,542,0
12,2012-03-12,472,734,0.3569,0,0,0.0,0,0,0.0,33,30,0.1,42,43,0.0233,1,0,0.0,1,0,0.0,0.14806629834254142,807,807,1810,549,0
13,2012-03-13,473,761,0.3784,0,0,0.0,0,0,0.0,33,30,0.1,42,43,0.0233,1,0,0.0,1,0,0.0,0.16004354926510614,834,834,1837,550,0
14,2012-03-14,477,789,0.3954,0,0,0.0,0,0,0.0,33,29,0.1379,42,43,0.0233,1,0,0.0,1,0,0.0,0.17113733905579398,861,861,1864,554,0
15,2012-03-15,480,816,0.4118,0,0,0.0,0,0,0.0,33,29,0.1379,42,43,0.0233,1,0,0.0,1,0,0.0,0.18138551031200423,888,888,1891,557,0
16,2012-03-16,486,843,0.4235,0,0,0.0,0,0,0.0,33,29,0.1379,42,43,0.0233,1,0,0.0,1,0,0.0,0.1897810218978102,915,915,1918,563,0
