time,ukr-lvivska,ukr-zakarpatska,ukr-ivano-frankivska,ukr-ternopilska,ukr-rivnenska,ukr-volynska,ukr-zhytomyrska,ukr-khmelnytska,ukr-vinnytska,ukr-chernivetska,ukr-kyiv,ukr-kyivska,ukr-chernihivska,ukr-sumska,ukr-cherkaska,ukr-poltavska,ukr-kharkivska,ukr-dnipropetrovska,ukr-kirovohradska,ukr-odeska,ukr-mykolaivska,ukr-khersonska,ukr-donetska,ukr-zaporizka,ukr-luhanska,ukr-autonomous_republic_of_crimea,poland,slovakia,romania,hungary,republic_of_moldova,czechia,bulgaria,latvia,lithuania,estonia,germany,austria,croatia,spain,italy,netherlands,ireland,belgium,france,finland,portugal,sweden,denmark,greece,cyprus,slovenia
10/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,121,81,59,121,346,73,48,43,36,1170,79,25,203,170,114,108,79,67,63,61,41,34,30,19,11
11/2024,7,9,0,0,0,0,0,0,0,0,8,4,0,0,0,0,8,2,7,0,0,0,47,0,0,77,925,114,80,57,121,336,73,48,39,28,1109,76,25,194,166,108,107,77,67,61,55,41,29,25,19,11
12/2024,13,12,0,6,0,0,0,0,0,0,27,8,0,1,0,0,16,2,10,0,0,4,75,0,0,100,903,112,78,57,115,329,73,47,37,28,1095,76,25,191,162,100,104,73,53,61,55,41,29,20,15,7
1/2025,15,23,0,9,0,0,0,0,0,0,27,20,0,1,0,0,16,9,16,0,0,4,89,7,0,144,896,110,76,50,112,320,73,47,34,28,1062,76,25,180,150,100,101,69,53,61,52,34,29,20,15,7
2/2025,19,37,0,12,0,0,0,0,0,0,31,25,0,4,0,0,19,9,28,0,0,4,125,7,0,187,874,110,73,50,109,311,73,44,34,25,1031,76,25,166,145,97,98,58,51,61,43,34,29,18,11,7
3/2025,22,50,0,12,0,0,0,0,0,0,39,38,0,7,0,0,23,9,34,0,0,4,153,7,0,227,855,110,70,50,109,300,70,41,31,25,1008,73,25,153,132,93,95,52,46,61,40,34,26,18,11,7
4/2025,22,50,0,12,0,0,0,0,0,0,39,52,0,10,0,0,23,9,41,0,0,4,188,7,0,270,820,110,65,50,109,294,70,38,31,25,976,73,25,153,118,93,91,52,46,61,37,34,26,18,11,7
5/2025,30,57,0,12,0,0,0,0,0,0,42,63,0,15,0,0,25,9,47,0,0,7,204,7,0,300,809,105,65,50,109,278,67,33,31,25,962,73,25,146,107,91,88,47,43,61,34,34,26,18,11,4
6/2025,38,60,0,12,0,0,0,0,0,0,55,68,0,15,0,0,31,9,50,0,0,9,221,7,0,314,792,102,61,50,109,269,67,33,31,25,961,73,21,143,102,85,85,47,38,61,34,34,26,14,6,2
7/2025,38,61,0,12,0,0,0,0,0,0,66,76,0,18,0,0,44,9,57,0,0,9,239,8,0,335,781,102,61,50,109,263,67,30,24,25,946,73,11,142,94,77,80,47,37,56,32,33,26,14,6,2
8/2025,38,61,0,14,0,0,0,0,0,0,66,84,0,20,0,0,47,9,57,0,0,9,261,11,0,354,763,102,61,50,107,260,67,28,20,25,930,73,11,142,86,74,80,47,37,56,32,30,26,14,6,2
9/2025,42,65,0,14,0,0,0,0,0,0,68,98,0,20,0,0,47,9,63,0,0,9,294,11,0,393,733,100,55,50,107,244,65,28,20,22,913,73,11,138,72,74,79,47,37,56,27,30,26,12,6,2
10/2025,42,72,0,16,0,0,0,0,0,0,71,98,0,20,0,0,47,18,68,0,0,9,306,11,0,440,726,100,55,41,105,228,65,28,20,22,886,73,11,131,72,74,74,42,34,56,27,30,22,12,6,2
11/2025,46,72,0,16,0,0,0,0,0,0,78,100,0,20,0,0,47,18,72,0,0,9,323,11,0,467,715,96,55,41,105,219,65,28,20,18,868,70,7,131,70,74,74,40,34,56,23,30,22,12,6,2
12/2025,46,75,0,16,0,0,0,0,0,0,78,100,0,20,0,0,50,18,72,0,0,9,332,11,0,506,707,96,55,41,105,204,65,28,19,18,844,70,7,128,70,71,74,40,34,56,23,30,22,12,6,2
1/2026,51,77,0,21,0,0,0,0,0,0,80,100,0,24,0,0,61,18,75,0,0,9,347,11,0,529,695,91,52,41,100,202,65,24,19,18,826,70,7,126,70,61,71,37,32,55,23,30,22,12,6,2
2/2026,55,77,0,21,0,0,0,0,0,0,84,105,0,24,0,0,70,18,75,0,0,9,363,11,0,546,682,91,52,41,100,189,61,24,19,18,822,70,7,126,65,56,71,34,28,51,23,30,22,12,6,2
3/2026,60,80,0,21,0,0,0,0,0,0,96,107,0,24,0,0,74,18,83,0,0,9,373,11,0,576,672,88,50,41,100,181,59,24,19,18,802,62,7,123,63,52,67,34,24,51,19,30,22,12,6,2
4/2026,66,90,0,25,0,0,0,0,0,0,96,113,0,24,0,0,79,18,83,0,0,9,399,17,0,604,651,85,50,41,96,168,56,24,17,18,787,62,7,113,57,47,67,31,24,51,19,24,22,12,6,2
5/2026,68,90,0,27,0,0,0,0,0,0,100,113,0,24,0,0,84,18,83,0,0,9,420,19,0,620,637,83,50,41,94,160,56,24,17,15,779,58,7,113,57,45,67,27,24,48,19,22,22,12,6,2
6/2026,75,90,0,29,0,0,0,0,0,0,105,113,0,24,0,0,84,18,86,0,0,9,433,19,0,646,627,80,47,41,92,149,52,24,17,12,769,53,7,113,57,45,64,27,24,48,19,22,20,12,6,2
7/2026,78,90,0,32,0,0,0,0,0,0,105,113,0,26,0,0,84,18,86,0,0,9,451,19,0,663,612,80,47,41,89,140,49,22,17,11,761,53,7,113,57,45,64,25,24,48,19,22,20,12,6,2
8/2026,78,90,0,35,0,0,0,0,0,0,105,117,0,26,0,0,86,18,86,0,0,9,463,19,0,685,600,80,47,41,86,135,49,22,17,11,744,53,7,113,53,45,64,25,24,46,19,22,20,12,6,2
9/2026,78,90,0,35,0,0,0,0,0,0,108,117,0,26,0,0,86,18,93,0,0,9,483,21,0,697,587,80,47,41,86,128,49,22,13,8,739,50,7,113,53,45,60,25,24,46,16,20,20,12,6,2
10/2026,81,92,0,41,0,0,0,0,0,0,108,117,0,26,0,0,86,21,101,0,0,9,488,24,0,711,582,80,47,38,80,122,46,22,13,8,731,50,7,111,53,45,52,25,24,46,16,17,20,12,6,2
11/2026,84,94,0,41,0,0,0,0,0,0,108,117,0,26,0,0,92,21,101,0,0,9,509,24,0,725,561,80,39,38,80,119,43,22,13,8,728,50,7,109,53,42,52,25,24,43,16,17,20,12,6,2
12/2026,86,94,0,41,0,0,0,0,0,0,111,117,0,26,0,0,92,21,101,0,0,9,516,24,0,728,554,80,39,38,80,116,41,22,13,8,728,50,7,109,53,42,52,25,21,43,16,17,20,12,6,2
1/2027,98,97,0,41,0,0,0,0,0,0,111,117,0,30,0,0,100,21,101,0,0,9,524,24,0,739,546,75,39,38,80,111,34,18,13,8,722,50,7,106,53,38,52,25,21,39,16,17,20,12,6,2
2/2027,98,102,0,41,0,0,0,0,0,0,111,117,0,30,0,0,103,21,106,0,0,9,534,24,0,747,539,75,35,38,80,107,34,18,10,8,722,50,7,101,53,35,47,25,21,39,16,17,20,12,6,2
3/2027,98,105,0,51,0,0,0,0,0,0,111,122,0,30,0,0,103,21,115,0,0,9,546,24,0,763,529,75,35,38,70,99,34,18,8,8,714,50,7,98,48,35,42,25,21,39,12,17,20,12,6,2
4/2027,98,110,0,54,0,0,0,0,0,0,111,122,0,30,0,0,107,21,115,0,0,9,551,24,0,777,524,75,32,38,67,94,34,18,8,8,708,50,7,93,48,31,42,25,21,39,12,17,20,12,6,2
