#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
1,2/3/2020,688576,1384,1095,757,1,0,385,0,13,0.0,0,385
2,3/3/2020,688069,1585,1249,908,2,0,507,7,17,0.0,7,892
3,4/3/2020,687562,1768,1400,1080,3,0,507,2,17,0.0,9,1399
4,5/3/2020,686972,1954,1602,1282,3,0,590,3,19,0.0,12,1989
5,6/3/2020,686287,2225,1780,1518,3,0,685,9,26,0.0,21,2674
6,7/3/2020,685530,2499,2003,1774,7,0,757,7,29,0.0,28,3431
7,8/3/2020,684657,2810,2281,2058,7,0,873,8,35,0.0,36,4304
8,9/3/2020,683721,3095,2601,2388,8,0,937,10,44,0.0,46,5241
9,10/3/2020,682599,3554,2898,2751,11,0,1122,14,54,0.0,60,6363
10,11/3/2020,681395,4004,3235,3167,12,0,1204,18,68,0.0,78,7567
11,12/3/2020,680049,4434,3703,3614,13,0,1347,8,72,0.0,86,8914
12,13/3/2020,679087,4379,4187,4147,13,0,962,23,91,0.0,109,9876
13,14/3/2020,677956,4483,4659,4702,13,0,1131,25,113,0.0,134,11007
14,15/3/2020,676737,4559,5138,5362,17,0,1219,26,132,0.0,160,12226
15,16/3/2020,675363,4813,5504,6113,20,0,1374,20,143,0.0,180,13600
16,17/3/2020,674247,4780,5812,6948,26,0,1116,25,151,0.0,205,14716
17,18/3/2020,673020,4788,6124,7851,30,0,1227,28,163,0.0,233,15943
18,19/3/2020,671847,4729,6383,8823,31,0,1174,43,195,0.0,276,17117
19,20/3/2020,670508,4920,6495,9858,32,0,1340,44,223,0.0,320,18457
20,21/3/2020,669524,4720,6582,10946,41,0,985,48,244,0.0,368,19442
21,22/3/2020,668536,4542,6632,12052,51,0,988,53,272,0.0,421,20430
22,23/3/2020,667612,4316,6707,13124,54,0,924,64,319,0.0,485,21354
23,24/3/2020,667057,3752,6676,14269,59,0,555,55,354,0.0,540,21909
24,25/3/2020,666580,3168,6579,15419,67,0,478,64,395,0.0,604,22387
25,26/3/2020,666135,2675,6334,16587,82,0,445,47,399,0.0,651,22832
26,27/3/2020,665681,2380,5906,17755,91,0,454,61,424,0.0,712,23286
27,28/3/2020,665262,2096,5529,18824,102,0,419,75,453,0.0,787,23705
28,29/3/2020,664854,1903,5073,19862,121,0,408,53,449,0.0,840,24113
29,30/3/2020,664471,1763,4624,20819,136,0,383,71,464,0.0,911,24496
30,31/3/2020,664107,1678,4183,21691,154,0,364,53,460,0.0,964,24860
31,1/4/2020,663777,1548,3812,22508,168,0,330,60,470,0.0,1024,25190
32,2/4/2020,663490,1418,3497,23228,180,0,287,50,469,0.0,1074,25477
33,3/4/2020,663214,1307,3208,23885,199,0,276,69,473,0.0,1143,25753
34,4/4/2020,662967,1207,2966,24460,213,0,248,61,478,0.0,1204,26001
35,5/4/2020,662746,1071,2765,25000,231,0,222,52,469,0.0,1256,26223
36,6/4/2020,662535,989,2551,25489,249,0,211,39,455,0.0,1295,26434
37,7/4/2020,662354,893,2380,25918,268,0,181,33,428,0.0,1328,26615
38,8/4/2020,662139,864,2207,26320,283,0,215,34,401,0.0,1362,26830
39,9/4/2020,661971,786,2066,26687,303,0,169,34,383,0.0,1396,26999
40,10/4/2020,661802,767,1879,27048,317,0,169,30,347,0.0,1426,27168
41,11/4/2020,661651,724,1735,27369,334,0,151,36,335,0.0,1462,27319
42,12/4/2020,661525,659,1593,27690,346,0,127,24,304,0.0,1486,27446
43,13/4/2020,661398,621,1455,27977,362,0,127,20,271,0.0,1506,27573
44,14/4/2020,661262,574,1386,28224,367,0,136,19,252,0.0,1525,27709
45,15/4/2020,661127,563,1281,28462,380,0,136,13,223,0.0,1538,27845
46,16/4/2020,661019,516,1195,28691,392,0,109,23,211,0.0,1561,27954
47,17/4/2020,660929,476,1094,28908,406,0,91,16,188,0.0,1577,28045
48,18/4/2020,660841,440,1041,29081,410,0,88,18,188,0.0,1595,28133
49,19/4/2020,660766,398,971,29253,425,0,75,19,170,0.0,1614,28208
50,20/4/2020,660687,365,907,29419,435,0,79,12,150,0.0,1626,28287
51,21/4/2020,660613,349,820,29589,442,0,74,15,140,0.0,1641,28361
52,22/4/2020,660551,310,770,29735,447,0,62,9,128,0.0,1650,28423
53,23/4/2020,660506,277,708,29872,450,0,45,14,122,0.0,1664,28468
54,24/4/2020,660459,239,661,30000,454,0,47,11,116,0.0,1675,28515
55,25/4/2020,660402,228,598,30127,458,0,57,11,110,0.0,1686,28572
56,26/4/2020,660362,214,535,30233,469,0,40,3,90,0.0,1689,28612
57,27/4/2020,660328,184,510,30316,475,0,34,8,84,0.0,1697,28646
58,28/4/2020,660296,167,453,30418,479,0,32,10,79,0.0,1707,28678
59,29/4/2020,660267,142,428,30494,482,0,29,6,74,0.0,1713,28707
60,30/4/2020,660236,126,382,30581,488,0,31,7,65,0.0,1720,28738
61,1/5/2020,660217,114,350,30641,491,0,19,9,66,0.0,1729,28757
62,2/5/2020,660194,108,318,30698,495,0,23,2,60,0.0,1731,28780
63,3/5/2020,660171,110,285,30751,496,0,23,4,55,0.0,1735,28803
64,4/5/2020,660143,107,253,30810,500,0,28,2,47,0.0,1737,28831
65,5/5/2020,660122,100,232,30858,501,0,21,5,41,0.0,1742,28852
66,6/5/2020,660108,89,209,30906,501,0,14,3,39,0.0,1745,28866
67,7/5/2020,660082,96,187,30942,506,0,26,1,32,0.0,1746,28892
68,8/5/2020,660069,80,190,30967,507,0,13,6,34,0.0,1752,28905
69,9/5/2020,660054,78,178,30993,510,0,15,2,33,0.0,1754,28920
70,10/5/2020,660033,80,171,31019,510,0,21,4,34,0.0,1758,28941
71,11/5/2020,660024,70,157,31048,514,0,9,5,33,0.0,1763,28950
72,12/5/2020,660010,63,157,31067,516,0,14,4,32,0.0,1767,28964
73,13/5/2020,659995,54,156,31091,517,0,15,2,32,0.0,1769,28979
74,14/5/2020,659984,56,141,31114,518,0,12,5,32,0.0,1774,28991
75,15/5/2020,659976,50,134,31134,519,0,10,2,32,0.0,1776,29001
76,16/5/2020,659971,46,114,31161,521,0,6,3,29,0.0,1779,29007
77,17/5/2020,659960,39,114,31178,522,0,11,2,29,0.0,1781,29018
78,18/5/2020,659951,40,104,31195,523,0,10,2,24,0.0,1783,29028
79,19/5/2020,659940,38,97,31214,524,0,11,0,21,0.0,1783,29039
80,20/5/2020,659930,39,90,31228,526,0,10,2,17,0.0,1785,29049
81,21/5/2020,659924,39,87,31237,526,0,6,1,18,0.0,1786,29055
82,22/5/2020,659919,30,89,31248,527,0,6,1,15,0.0,1787,29061
83,23/5/2020,659907,34,77,31267,528,0,12,0,13,0.0,1787,29073
84,24/5/2020,659899,35,70,31281,528,0,8,1,13,0.0,1788,29081
85,25/5/2020,659889,36,66,31294,528,0,10,1,14,0.0,1789,29091
86,26/5/2020,659882,33,60,31310,528,0,7,0,12,0.0,1789,29098
87,27/5/2020,659879,30,50,31323,531,0,3,0,8,0.0,1789,29101
88,28/5/2020,659868,36,50,31328,531,0,13,0,7,0.0,1789,29114
89,29/5/2020,659857,39,55,31331,531,0,12,0,7,0.0,1789,29126
90,30/5/2020,659843,45,52,31341,532,0,15,0,4,0.0,1789,29141
91,31/5/2020,659837,42,53,31348,533,0,6,2,4,0.0,1791,29147
92,1/6/2020,659829,32,61,31358,533,0,8,1,4,0.0,1792,29155
93,2/6/2020,659820,34,56,31370,533,0,10,1,5,0.0,1793,29165
