time,ukr-lvivska,ukr-zakarpatska,ukr-ivano-frankivska,ukr-ternopilska,ukr-rivnenska,ukr-volynska,ukr-zhytomyrska,ukr-khmelnytska,ukr-vinnytska,ukr-chernivetska,ukr-kyiv,ukr-kyivska,ukr-chernihivska,ukr-sumska,ukr-cherkaska,ukr-poltavska,ukr-kharkivska,ukr-dnipropetrovska,ukr-kirovohradska,ukr-odeska,ukr-mykolaivska,ukr-khersonska,ukr-donetska,ukr-zaporizka,ukr-luhanska,ukr-autonomous_republic_of_crimea,poland,slovakia,romania,hungary,republic_of_moldova,czechia,bulgaria,latvia,lithuania,estonia,germany,austria,croatia,spain,italy,netherlands,ireland,belgium,france,finland,portugal,sweden,denmark,greece,cyprus,slovenia
10/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957,122,80,60,120,349,75,48,43,36,1170,77,27,202,173,115,107,79,70,62,63,40,35,31,20,11
11/2024,4,0,0,11,10,4,0,5,0,3,25,33,0,0,0,0,0,0,0,0,0,31,20,2,0,0,932,119,80,60,118,346,71,45,39,30,1144,77,27,187,162,112,87,79,60,62,58,40,35,31,16,7
12/2024,10,0,0,14,10,7,3,12,0,7,47,58,0,0,0,0,0,0,0,0,0,61,26,5,0,3,905,119,80,60,115,342,68,41,33,24,1123,74,27,174,159,109,81,79,60,62,51,40,32,31,16,4
1/2025,10,0,0,17,20,15,3,12,0,20,67,81,0,0,0,0,0,0,0,0,0,82,33,5,0,3,884,119,80,60,115,329,60,41,33,24,1103,74,27,156,156,109,74,79,50,62,51,40,32,31,13,2
2/2025,10,0,0,27,20,15,3,12,0,26,81,95,0,0,0,0,0,0,0,0,0,115,35,8,0,6,866,116,80,60,112,323,60,41,33,22,1089,74,27,151,146,97,72,72,50,62,51,40,29,31,13,2
3/2025,10,0,0,33,28,15,8,14,0,52,89,115,0,0,0,0,0,0,0,0,0,156,43,13,4,6,830,111,74,58,109,297,60,41,33,20,1075,69,23,148,140,97,64,69,44,62,49,38,29,31,13,2
4/2025,10,0,0,36,28,18,8,14,0,55,92,137,0,0,0,0,0,0,0,3,0,174,46,20,4,6,818,105,71,58,102,294,57,33,33,20,1064,69,23,145,137,97,61,69,44,62,49,38,29,28,13,2
5/2025,10,0,0,42,32,18,11,24,0,62,101,150,0,0,0,0,0,0,0,8,0,198,49,27,7,11,797,102,71,58,95,287,57,29,33,20,1055,66,20,138,131,97,58,67,40,62,39,38,24,23,13,2
6/2025,14,0,0,42,36,18,11,27,0,70,112,166,0,0,0,0,0,0,0,8,0,213,49,31,7,15,787,102,71,56,93,279,57,29,29,20,1042,66,20,129,131,92,58,65,36,62,36,38,20,23,10,2
7/2025,17,0,0,47,36,18,13,27,0,83,123,185,0,0,0,0,0,0,0,8,0,241,49,34,7,19,762,99,69,56,90,266,57,29,26,20,1025,64,20,118,126,92,58,65,36,62,36,38,16,23,10,2
