#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
1,2/3/2020,689255,1534,1160,814,3,0,438,1,15,0.0,1,438
2,3/3/2020,688732,1717,1326,988,3,0,523,6,21,0.0,7,961
3,4/3/2020,688187,1860,1535,1181,3,0,545,6,27,0.0,13,1506
4,5/3/2020,687585,2043,1724,1411,3,0,602,11,35,0.0,24,2108
5,6/3/2020,686848,2323,1963,1629,3,0,737,5,38,0.0,29,2845
6,7/3/2020,686019,2653,2192,1899,3,0,829,10,45,0.0,39,3674
7,8/3/2020,685132,2992,2455,2184,3,0,887,9,53,0.0,48,4561
8,9/3/2020,684084,3366,2784,2529,3,0,1048,10,60,0.0,58,5609
9,10/3/2020,682932,3747,3143,2940,4,0,1152,8,62,0.0,66,6761
10,11/3/2020,681661,4188,3497,3414,6,0,1272,15,72,0.0,81,8033
11,12/3/2020,680230,4694,3906,3929,7,0,1432,18,79,0.0,99,9465
12,13/3/2020,679117,4782,4326,4534,7,0,1113,15,88,0.0,114,10578
13,14/3/2020,677900,4857,4827,5170,12,0,1217,18,93,0.0,132,11795
14,15/3/2020,676613,4944,5355,5841,13,0,1288,33,117,0.0,165,13083
15,16/3/2020,675203,5198,5690,6662,13,0,1410,19,130,0.0,184,14493
16,17/3/2020,674096,5052,6085,7515,18,0,1107,35,148,0.0,219,15600
17,18/3/2020,672925,4980,6385,8457,19,0,1171,31,166,0.0,250,16771
18,19/3/2020,671700,4875,6666,9506,19,0,1226,31,182,0.0,281,17997
19,20/3/2020,670370,4996,6778,10598,24,0,1330,40,209,0.0,321,19327
20,21/3/2020,669368,4726,6909,11734,29,0,1002,43,234,0.0,364,20329
21,22/3/2020,668358,4526,6966,12882,34,0,1011,46,259,0.0,410,21340
22,23/3/2020,667346,4388,6904,14091,37,0,1012,52,294,0.0,462,22352
23,24/3/2020,666865,3770,6874,15208,49,0,481,56,321,0.0,518,22833
24,25/3/2020,666360,3230,6690,16431,55,0,505,58,352,0.0,576,23338
25,26/3/2020,665883,2717,6549,17553,64,0,477,66,377,0.0,642,23815
26,27/3/2020,665425,2338,6212,18718,73,0,458,70,410,0.0,712,24273
27,28/3/2020,664985,2099,5741,19857,84,0,440,49,422,0.0,761,24713
28,29/3/2020,664580,1899,5218,20975,94,0,405,62,436,0.0,823,25118
29,30/3/2020,664201,1742,4686,22030,107,0,379,51,443,0.0,874,25497
30,31/3/2020,663849,1595,4263,22940,119,0,353,70,479,0.0,944,25850
31,1/4/2020,663527,1511,3849,23744,135,0,322,59,489,0.0,1003,26172
