time,ukr-lvivska,ukr-zakarpatska,ukr-ivano-frankivska,ukr-ternopilska,ukr-rivnenska,ukr-volynska,ukr-zhytomyrska,ukr-khmelnytska,ukr-vinnytska,ukr-chernivetska,ukr-kyiv,ukr-kyivska,ukr-chernihivska,ukr-sumska,ukr-cherkaska,ukr-poltavska,ukr-kharkivska,ukr-dnipropetrovska,ukr-kirovohradska,ukr-odeska,ukr-mykolaivska,ukr-khersonska,ukr-donetska,ukr-zaporizka,ukr-luhanska,ukr-autonomous_republic_of_crimea,poland,slovakia,romania,hungary,republic_of_moldova,czechia,bulgaria,latvia,lithuania,estonia,germany,austria,croatia,spain,italy,netherlands,ireland,belgium,france,finland,portugal,sweden,denmark,greece,cyprus,slovenia
10/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,122,83,61,123,349,73,50,45,35,1169,77,25,203,172,114,108,82,67,64,63,43,33,30,19,11
11/2024,7,7,0,0,0,0,0,0,10,0,0,23,0,6,13,0,35,49,0,14,0,0,2,1,0,11,940,122,76,61,109,336,73,44,36,27,1140,73,25,192,163,113,85,82,65,58,58,37,26,30,19,11
12/2024,9,7,0,0,0,0,0,0,25,0,0,30,0,6,25,0,65,89,0,17,0,0,5,12,0,20,913,120,76,59,106,324,73,44,36,27,1116,65,25,183,154,102,78,79,62,53,55,33,26,30,19,11
1/2025,14,7,0,0,0,0,0,0,25,0,0,34,0,6,37,0,96,133,0,19,0,0,5,19,0,24,888,119,72,59,104,312,73,44,32,27,1087,65,25,179,139,95,74,77,62,53,55,33,26,30,19,11
2/2025,19,7,0,0,0,0,0,0,28,0,0,40,0,10,48,0,120,161,0,23,0,0,8,19,0,39,868,117,69,59,100,301,73,44,32,27,1077,65,23,164,130,95,70,73,59,50,50,29,26,30,15,11
3/2025,24,7,0,0,0,0,0,0,28,0,2,41,0,10,53,0,131,188,0,29,0,0,8,19,0,39,860,112,69,59,100,296,71,44,32,27,1058,65,23,164,130,95,69,70,59,50,42,29,26,24,15,11
4/2025,24,7,0,0,0,0,0,0,32,0,4,45,0,10,67,0,153,204,0,31,0,0,8,24,0,50,843,112,69,59,98,282,69,44,29,27,1050,61,23,153,126,90,65,68,59,50,42,25,26,24,15,11
5/2025,27,7,0,0,0,0,0,0,34,0,7,45,0,13,78,0,180,252,0,33,0,0,11,28,0,50,825,111,67,57,96,271,66,44,24,23,1008,61,23,153,126,86,65,68,56,50,36,25,26,24,12,11
6/2025,28,7,0,0,0,0,0,0,46,0,12,52,0,13,80,0,196,297,0,35,0,0,11,28,0,54,817,110,67,53,94,269,61,44,20,23,967,57,23,149,124,86,58,64,56,46,36,23,26,24,12,11
7/2025,28,7,0,0,0,0,0,0,49,0,12,52,0,13,101,0,219,321,0,40,0,0,11,28,0,54,803,110,67,53,94,248,61,44,20,23,950,54,23,149,124,86,58,55,56,46,33,19,26,19,12,11
8/2025,28,10,0,0,0,0,0,0,54,0,15,52,0,13,113,0,235,349,0,48,0,0,11,28,0,61,792,110,67,51,88,236,58,44,20,21,933,54,23,142,118,86,58,52,56,43,28,19,23,17,12,11
9/2025,28,10,0,0,0,0,0,0,63,0,17,52,0,13,128,0,256,370,0,50,3,0,14,28,0,68,774,110,67,48,86,221,56,44,20,21,914,48,23,135,116,86,58,49,53,43,28,19,23,17,12,8
10/2025,34,10,0,0,0,0,0,0,70,0,17,57,0,13,130,0,260,411,0,55,7,0,15,28,0,71,772,107,64,45,85,219,56,44,20,21,883,48,23,132,106,86,53,47,52,39,28,19,23,13,12,4
11/2025,37,14,0,0,0,0,0,0,73,0,17,67,0,13,135,0,274,439,0,55,7,0,15,31,0,74,758,107,61,45,85,214,56,44,20,21,858,45,23,129,106,83,43,47,52,39,25,19,19,13,12,4
12/2025,40,14,0,0,0,0,0,0,76,0,17,67,0,17,139,0,283,449,0,55,7,0,15,37,0,81,752,104,61,42,85,210,56,40,20,21,850,45,23,122,106,77,43,44,52,39,23,19,19,13,12,4
1/2026,42,14,0,0,0,0,0,0,78,0,18,69,0,17,141,0,305,463,0,58,7,0,20,43,0,85,730,102,61,40,82,208,55,40,20,21,845,45,23,118,99,71,41,44,47,39,21,19,19,13,12,4
2/2026,42,14,0,0,0,0,0,0,78,0,18,69,0,17,148,0,323,479,0,58,7,0,31,43,0,87,712,102,61,40,82,201,55,40,20,21,836,45,23,116,92,71,41,44,36,39,21,19,19,13,12,4
3/2026,47,14,0,0,0,0,0,0,78,0,18,71,0,17,152,0,340,499,0,58,7,0,31,43,0,89,699,97,61,40,82,197,55,40,20,17,817,45,21,114,91,71,41,44,36,39,21,19,19,13,12,4
4/2026,51,14,0,0,0,0,0,0,81,0,21,74,0,22,164,0,354,516,0,59,7,0,31,43,0,101,688,93,61,37,81,185,52,40,20,17,806,45,21,102,85,71,38,41,36,39,21,19,19,13,7,4
5/2026,58,14,0,0,0,0,0,0,81,0,21,76,0,22,168,0,374,523,0,60,7,0,31,43,0,107,677,90,57,37,80,181,52,40,20,14,799,45,21,96,85,71,36,35,36,39,21,19,19,13,7,4
6/2026,58,14,0,0,0,0,0,0,85,0,23,79,0,24,168,0,406,544,0,64,7,0,31,43,0,115,645,90,57,33,76,181,50,38,20,14,790,45,21,88,80,71,33,35,36,39,17,16,19,13,7,4
7/2026,61,14,0,0,0,0,0,0,89,0,23,79,0,24,168,0,417,565,0,66,7,0,31,48,0,118,638,87,57,29,74,181,50,38,20,10,769,45,21,85,80,66,33,35,36,39,17,16,19,13,7,4
8/2026,65,14,0,0,0,0,0,0,89,0,23,81,0,26,177,0,435,569,0,71,7,0,31,51,0,118,620,83,57,29,69,172,50,36,20,10,765,45,21,85,80,63,31,35,36,39,17,16,19,13,7,4
9/2026,75,14,0,0,0,0,0,0,93,0,23,83,0,28,191,0,443,579,0,71,7,0,31,51,0,118,612,79,51,29,69,158,50,34,20,10,755,41,19,85,80,63,31,35,36,39,17,16,19,13,7,4
10/2026,78,14,0,0,0,0,0,0,97,0,23,83,0,28,191,0,463,596,0,77,7,0,31,51,0,124,592,76,51,29,63,158,50,34,20,10,738,41,19,79,80,63,31,35,36,35,17,16,19,13,7,4
11/2026,86,14,0,0,0,0,0,0,98,0,23,83,0,31,191,0,471,602,0,80,7,0,31,51,0,131,584,68,51,29,60,158,50,31,20,10,732,41,19,72,80,63,31,35,36,34,17,16,19,13,7,4
12/2026,86,14,0,0,0,0,0,0,98,0,26,83,0,38,197,0,489,610,0,80,7,0,31,54,0,131,566,68,51,29,60,152,47,24,20,10,724,41,19,72,80,60,31,35,36,34,17,16,19,13,7,4
1/2027,86,17,0,0,0,0,0,0,100,0,26,83,0,38,199,0,502,627,0,88,7,0,31,54,0,131,553,68,51,29,58,150,47,24,20,10,707,41,19,72,80,60,31,35,36,32,17,16,16,7,7,4
2/2027,86,17,0,0,0,0,0,0,100,0,28,83,0,38,205,0,509,632,0,89,7,0,31,54,0,131,546,68,51,29,57,144,45,24,20,10,705,41,19,72,80,60,31,35,36,32,14,16,16,7,7,4
3/2027,91,21,0,0,0,0,0,0,104,0,28,83,0,38,205,0,521,640,0,89,7,0,31,54,0,131,534,68,46,29,57,144,45,24,20,10,700,37,19,72,77,60,31,35,36,32,14,16,12,7,7,4
4/2027,94,21,0,0,0,0,0,0,109,0,28,83,0,38,209,0,538,645,0,89,7,0,31,54,0,131,517,65,46,28,57,140,45,24,20,10,700,33,19,72,72,60,31,35,36,32,14,16,12,7,7,4
5/2027,100,21,0,0,0,0,0,0,109,0,33,85,0,38,214,0,546,655,0,89,7,0,31,54,0,131,509,59,46,28,57,135,40,24,20,10,692,33,19,72,70,60,29,35,36,32,14,16,12,7,7,4
