time,ukr-lvivska,ukr-zakarpatska,ukr-ivano-frankivska,ukr-ternopilska,ukr-rivnenska,ukr-volynska,ukr-zhytomyrska,ukr-khmelnytska,ukr-vinnytska,ukr-chernivetska,ukr-kyiv,ukr-kyivska,ukr-chernihivska,ukr-sumska,ukr-cherkaska,ukr-poltavska,ukr-kharkivska,ukr-dnipropetrovska,ukr-kirovohradska,ukr-odeska,ukr-mykolaivska,ukr-khersonska,ukr-donetska,ukr-zaporizka,ukr-luhanska,ukr-autonomous_republic_of_crimea,poland,slovakia,romania,hungary,republic_of_moldova,czechia,bulgaria,latvia,lithuania,estonia,germany,austria,croatia,spain,italy,netherlands,ireland,belgium,france,finland,portugal,sweden,denmark,greece,cyprus,slovenia
6/2027,100,21,0,0,0,0,0,0,109,0,37,85,0,38,215,0,550,668,0,89,7,0,31,54,0,131,505,59,46,28,57,134,36,24,20,10,681,33,19,72,68,60,29,35,36,32,14,16,12,7,7,4
7/2027,103,21,0,0,0,0,0,0,109,0,37,89,0,38,222,0,556,673,0,91,7,0,31,54,0,131,499,59,43,28,55,127,36,24,20,10,676,33,15,72,68,60,29,35,36,32,14,16,12,7,7,4
8/2027,106,21,0,0,0,0,0,0,109,0,41,89,0,38,224,0,559,676,0,94,7,0,31,54,0,131,496,56,43,28,55,125,32,24,20,10,673,33,15,72,68,60,29,35,36,32,14,16,12,4,7,4
9/2027,106,21,0,0,0,0,0,0,109,0,41,89,0,38,226,0,563,676,0,97,7,0,31,54,0,131,492,56,43,28,52,123,32,24,20,10,673,33,15,72,68,60,29,35,36,32,14,16,12,4,7,4
10/2027,106,21,0,0,0,0,0,0,109,0,44,89,0,42,235,0,576,683,0,102,7,0,31,54,0,131,482,56,43,28,47,114,29,20,20,10,666,33,15,72,68,60,29,32,36,32,14,16,12,4,7,4
11/2027,106,21,0,0,0,0,0,0,109,0,44,89,0,42,235,0,576,685,0,104,7,0,31,54,0,131,482,56,43,28,45,114,29,20,20,10,664,33,15,72,68,60,29,32,36,32,14,16,12,4,7,4
12/2027,106,21,0,0,0,0,0,0,109,0,46,89,0,42,244,0,578,689,0,104,7,0,31,54,0,131,480,56,43,28,45,105,27,20,20,10,660,33,15,72,68,60,29,32,36,32,14,16,12,4,7,4
1/2028,109,21,0,0,0,0,0,0,109,0,46,89,0,42,244,0,592,692,0,104,7,0,31,58,0,131,466,56,40,28,45,105,27,20,20,10,657,33,15,72,68,56,29,32,36,32,14,16,12,4,7,4
2/2028,109,21,0,0,0,0,0,0,109,0,46,89,0,42,244,0,601,692,0,112,7,0,31,58,0,138,457,56,40,28,41,105,27,20,20,10,657,33,15,65,68,56,29,32,36,32,14,16,12,0,7,4
3/2028,109,21,0,0,0,0,0,0,109,0,46,89,0,42,246,0,608,692,0,117,7,0,31,58,0,138,450,56,40,28,36,103,27,20,20,10,657,33,15,65,68,56,29,32,36,32,14,16,12,0,7,4
4/2028,109,21,0,0,0,0,0,0,109,0,46,89,0,42,246,0,611,694,0,117,7,0,31,58,0,138,447,56,40,28,36,103,27,20,20,10,655,33,15,65,68,56,29,32,36,32,14,16,12,0,7,4
5/2028,109,21,0,0,0,0,0,0,109,0,49,97,0,42,246,0,618,697,0,117,7,0,31,58,0,138,442,56,40,28,36,103,24,20,20,8,652,33,11,65,68,56,25,32,36,32,14,16,12,0,7,4
