Day,Date,Fassala-Mbera sim,Fassala-Mbera data,Fassala-Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2012-02-29,463,463,0.0,0,0,0.0,0,0,0.0,34,34,0.0,43,43,0.0,0,0,0.0,0,0,0.0,0.0,540,540,1543,540,0
1,2012-03-01,463,482,0.0394,0,0,0.0,0,0,0.0,34,34,0.0,43,43,0.0,0,0,0.0,0,0,0.0,0.012163892445582587,559,559,1562,540,0
2,2012-03-02,463,502,0.0777,0,0,0.0,0,0,0.0,34,34,0.0,43,43,0.0,0,0,0.0,0,0,0.0,0.02465233881163085,579,579,1582,540,0
3,2012-03-03,463,521,0.1113,0,0,0.0,0,0,0.0,34,33,0.0303,43,43,0.0,0,0,0.0,0,0,0.0,0.036875,597,597,1600,540,0
4,2012-03-04,461,540,0.1463,0,0,0.0,0,0,0.0,34,33,0.0303,43,43,0.0,0,0,0.0,0,0,0.0,0.04941321803582458,616,616,1619,538,0
5,2012-03-05,462,560,0.175,0,0,0.0,0,0,0.0,34,33,0.0303,43,43,0.0,0,0,0.0,0,0,0.0,0.06040268456375839,636,636,1639,539,0
6,2012-03-06,463,579,0.2003,0,0,0.0,0,0,0.0,34,32,0.0625,43,43,0.0,0,0,0.0,0,0,0.0,0.0712130356065178,654,654,1657,540,0
7,2012-03-07,465,598,0.2224,0,0,0.0,0,0,0.0,34,32,0.0625,43,43,0.0,0,0,0.0,0,0,0.0,0.0805489260143198,673,673,1676,542,0
8,2012-03-08,466,626,0.2556,0,0,0.0,0,0,0.0,34,32,0.0625,43,43,0.0,0,0,0.0,0,0,0.0,0.09507042253521127,701,701,1704,543,0
9,2012-03-09,469,653,0.2818,0,0,0.0,0,0,0.0,34,31,0.0968,43,43,0.0,0,0,0.0,0,0,0.0,0.10809248554913295,727,727,1730,546,0
10,2012-03-10,471,680,0.3074,0,0,0.0,0,0,0.0,34,31,0.0968,43,43,0.0,0,0,0.0,0,0,0.0,0.12066021627774616,754,754,1757,548,0
11,2012-03-11,471,707,0.3338,0,0,0.0,0,0,0.0,34,31,0.0968,43,43,0.0,0,0,0.0,0,0,0.0,0.13396860986547085,781,781,1784,548,0
12,2012-03-12,473,734,0.3556,0,0,0.0,0,0,0.0,34,30,0.1333,42,43,0.0233,1,0,0.0,0,0,0.0,0.14751381215469614,807,807,1810,550,0
13,2012-03-13,473,761,0.3784,0,0,0.0,0,0,0.0,34,30,0.1333,42,43,0.0233,1,0,0.0,0,0,0.0,0.16004354926510614,834,834,1837,550,0
14,2012-03-14,474,789,0.3992,0,0,0.0,0,0,0.0,34,29,0.1724,42,43,0.0233,1,0,0.0,0,0,0.0,0.17274678111587982,861,861,1864,551,0
15,2012-03-15,475,816,0.4179,0,0,0.0,0,0,0.0,34,29,0.1724,42,43,0.0233,1,0,0.0,0,0,0.0,0.18402961396086726,888,888,1891,552,0
16,2012-03-16,482,843,0.4282,0,0,0.0,0,0,0.0,34,29,0.1724,42,43,0.0233,1,0,0.0,0,0,0.0,0.19186652763295098,915,915,1918,559,0
