time,source,destination,E/D-age-gender-origin,legal_status-employment-property_in_ukraine-sizeE-sizeD
1, poland, zakarpatska, E-9-m-zakarpatska, tp-True-2-1-3
1, poland, zakarpatska, E-4-f-zakarpatska, tp-True-2-1-3
1, poland, zakarpatska, E-4-f-zakarpatska, tp-True-2-1-3
1, poland, zakarpatska, E-41-m-zakarpatska, tp-True-2-1-3
1, czechia, poltavska, E-36-f-poltavska, tp-True-0-3-0
1, czechia, poltavska, E-59-f-poltavska, tp-True-0-3-0
1, czechia, poltavska, E-16-m-poltavska, tp-True-0-3-0
1, germany, mykolaivska, E-22-m-mykolaivska, tp-True-1-2-1
1, germany, mykolaivska, E-38-f-mykolaivska, tp-True-1-2-1
1, germany, mykolaivska, E-12-m-mykolaivska, tp-True-1-2-1
1, germany, mykolaivska, E-26-f-mykolaivska, tp-True-0-2-0
1, germany, mykolaivska, E-12-m-mykolaivska, tp-True-0-2-0
1, italy, kyiv, E-20-m-kyiv, tp-False-5-1-4
1, italy, kyiv, E-56-f-kyiv, tp-False-5-1-4
1, italy, kyiv, E-86-m-kyiv, tp-False-5-1-4
1, italy, kyiv, E-72-m-kyiv, tp-False-5-1-4
1, italy, kyiv, E-54-f-kyiv, tp-False-5-1-4
1, portugal, donetska, E-4-f-donetska, tp-True-3-2-1
1, portugal, donetska, E-9-m-donetska, tp-True-3-2-1
1, portugal, donetska, E-62-f-donetska, tp-True-3-2-1
2, czechia, poltavska, E-28-m-poltavska, tp-True-0-2-3
2, czechia, poltavska, E-24-m-poltavska, tp-True-0-2-3
2, czechia, poltavska, E-30-m-poltavska, tp-True-0-2-3
2, czechia, poltavska, E-20-m-poltavska, tp-True-0-2-3
2, czechia, poltavska, E-65-m-poltavska, tp-True-0-2-3
2, lithuania, donetska, E-26-f-donetska, tp-True-5-2-1
2, lithuania, donetska, E-42-f-donetska, tp-True-5-2-1
2, lithuania, donetska, E-62-f-donetska, tp-True-5-2-1
2, germany, mykolaivska, E-35-f-mykolaivska, tp-True-0-3-0
2, germany, mykolaivska, E-79-f-mykolaivska, tp-True-0-3-0
2, germany, mykolaivska, E-24-f-mykolaivska, tp-True-0-3-0
2, germany, mykolaivska, E-60-f-mykolaivska, tp-True-5-1-2
2, germany, mykolaivska, E-13-m-mykolaivska, tp-True-5-1-2
2, germany, mykolaivska, E-64-m-mykolaivska, tp-True-5-1-2
2, spain, sumska, E-55-f-sumska, tp-True-5-3-1
2, spain, sumska, E-58-m-sumska, tp-True-5-3-1
2, spain, sumska, E-31-f-sumska, tp-True-5-3-1
2, spain, sumska, E-55-f-sumska, tp-True-5-3-1
3, poland, zakarpatska, E-8-f-zakarpatska, tp-True-5-1-1
3, poland, zakarpatska, E-7-f-zakarpatska, tp-True-5-1-1
3, germany, mykolaivska, E-29-f-mykolaivska, tp-True-3-3-2
3, germany, mykolaivska, E-70-m-mykolaivska, tp-True-3-3-2
3, germany, mykolaivska, E-23-m-mykolaivska, tp-True-3-3-2
3, germany, mykolaivska, E-22-m-mykolaivska, tp-True-3-3-2
3, germany, mykolaivska, E-15-m-mykolaivska, tp-True-3-3-2
3, italy, kyiv, E-10-m-kyiv, tp-True-3-1-2
