Day,Date,Fassala-Mbera sim,Fassala-Mbera data,Fassala-Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2012-02-29,463,463,0.0,0,0,0.0,0,0,0.0,34,34,0.0,43,43,0.0,0,0,0.0,0,0,0.0,0.0,540,540,1543,540,0
1,2012-03-01,462,482,0.0415,0,0,0.0,0,0,0.0,34,34,0.0,43,43,0.0,0,0,0.0,0,0,0.0,0.012804097311139564,559,559,1562,539,0
2,2012-03-02,461,502,0.0817,0,0,0.0,0,0,0.0,34,34,0.0,43,43,0.0,0,0,0.0,0,0,0.0,0.025916561314791402,579,579,1582,538,0
3,2012-03-03,461,521,0.1152,0,0,0.0,0,0,0.0,34,33,0.0303,43,43,0.0,0,0,0.0,0,0,0.0,0.038125,597,597,1600,538,0
4,2012-03-04,463,540,0.1426,0,0,0.0,0,0,0.0,34,33,0.0303,43,43,0.0,0,0,0.0,0,0,0.0,0.04817788758492897,616,616,1619,540,0
5,2012-03-05,466,560,0.1679,0,0,0.0,0,0,0.0,34,33,0.0303,43,43,0.0,0,0,0.0,0,0,0.0,0.057962172056131786,636,636,1639,543,0
6,2012-03-06,467,579,0.1934,0,0,0.0,0,0,0.0,34,32,0.0625,43,43,0.0,0,0,0.0,0,0,0.0,0.0687990343995172,654,654,1657,544,0
7,2012-03-07,468,598,0.2174,0,0,0.0,0,0,0.0,34,32,0.0625,43,43,0.0,0,0,0.0,0,0,0.0,0.07875894988066826,673,673,1676,545,0
8,2012-03-08,468,626,0.2524,0,0,0.0,0,0,0.0,34,32,0.0625,43,43,0.0,0,0,0.0,0,0,0.0,0.09389671361502347,701,701,1704,545,0
9,2012-03-09,468,653,0.2833,0,0,0.0,0,0,0.0,34,31,0.0968,43,43,0.0,0,0,0.0,0,0,0.0,0.10867052023121387,727,727,1730,545,0
10,2012-03-10,471,680,0.3074,0,0,0.0,0,0,0.0,33,31,0.0645,44,43,0.0233,0,0,0.0,0,0,0.0,0.12066021627774616,754,754,1757,548,0
11,2012-03-11,473,707,0.331,0,0,0.0,0,0,0.0,33,31,0.0645,44,43,0.0233,0,0,0.0,0,0,0.0,0.132847533632287,781,781,1784,550,0
12,2012-03-12,475,734,0.3529,0,0,0.0,0,0,0.0,33,30,0.1,44,43,0.0233,0,0,0.0,0,0,0.0,0.1453038674033149,807,807,1810,552,0
13,2012-03-13,478,761,0.3719,0,0,0.0,0,0,0.0,33,30,0.1,44,43,0.0233,0,0,0.0,0,0,0.0,0.1562329885683179,834,834,1837,555,0
14,2012-03-14,480,789,0.3916,0,0,0.0,0,0,0.0,32,29,0.1034,45,43,0.0465,0,0,0.0,0,0,0.0,0.1684549356223176,861,861,1864,557,0
15,2012-03-15,483,816,0.4081,0,0,0.0,0,0,0.0,32,29,0.1034,45,43,0.0465,0,0,0.0,0,0,0.0,0.1787414066631412,888,888,1891,560,0
16,2012-03-16,484,843,0.4259,0,0,0.0,0,0,0.0,32,29,0.1034,45,43,0.0465,0,0,0.0,0,0,0.0,0.1897810218978102,915,915,1918,561,0
17,2012-03-17,487,870,0.4402,0,0,0.0,0,0,0.0,32,28,0.1429,45,43,0.0465,0,0,0.0,0,0,0.0,0.2001028806584362,941,941,1944,564,0
18,2012-03-18,490,897,0.4537,0,0,0.0,0,0,0.0,32,28,0.1429,45,43,0.0465,0,0,0.0,0,0,0.0,0.20953830542871638,968,968,1971,567,0
19,2012-03-19,494,925,0.4659,0,0,0.0,0,0,0.0,32,28,0.1429,45,43,0.0465,0,0,0.0,0,0,0.0,0.21860930465232617,996,996,1999,571,0
20,2012-03-20,502,952,0.4727,0,0,0.0,0,0,0.0,32,27,0.1852,45,43,0.0465,0,0,0.0,0,0,0.0,0.22567901234567903,1022,1022,2025,579,0
21,2012-03-21,509,979,0.4801,0,0,0.0,0,0,0.0,32,27,0.1852,45,43,0.0465,0,0,0.0,0,0,0.0,0.2324561403508772,1049,1049,2052,586,0
22,2012-03-22,513,1006,0.4901,0,39,1.0,0,15,1.0,32,27,0.1852,45,43,0.0465,0,0,0.0,0,0,0.0,0.25972808251289264,1130,1130,2133,590,0
23,2012-03-23,519,1033,0.4976,5,79,0.9367,5,31,0.8387,32,26,0.2308,45,43,0.0465,0,0,0.0,0,0,0.0,0.28081264108352144,1212,1212,2215,606,0
24,2012-03-24,524,1060,0.5057,11,119,0.9076,7,47,0.8511,32,26,0.2308,45,43,0.0465,0,0,0.0,0,0,0.0,0.30113141862489123,1295,1295,2298,619,0
25,2012-03-25,528,1088,0.5147,16,119,0.8655,11,47,0.766,32,26,0.2308,45,43,0.0465,0,0,0.0,0,0,0.0,0.3039552880481513,1323,1323,2326,632,0
26,2012-03-26,536,1115,0.5193,22,119,0.8151,16,47,0.6596,32,25,0.28,45,43,0.0465,0,0,0.0,0,0,0.0,0.304421768707483,1349,1349,2352,651,0
27,2012-03-27,543,1142,0.5245,28,119,0.7647,19,47,0.5957,32,25,0.28,45,43,0.0465,0,0,0.0,0,0,0.0,0.30559058427910885,1376,1376,2379,667,0
28,2012-03-28,547,1169,0.5321,37,119,0.6891,20,48,0.5833,32,24,0.3333,45,43,0.0465,0,0,0.0,0,0,0.0,0.3083956774729842,1403,1403,2406,681,0
29,2012-03-29,555,1176,0.5281,45,119,0.6218,28,48,0.4167,32,24,0.3333,45,43,0.0465,0,0,0.0,0,0,0.0,0.3004558640696229,1410,1410,2413,705,0
30,2012-03-30,559,1183,0.5275,49,119,0.5882,34,48,0.2917,32,24,0.3333,45,43,0.0465,0,0,0.0,0,0,0.0,0.29669421487603304,1417,1417,2420,719,0
31,2012-03-31,562,1191,0.5281,58,119,0.5126,41,48,0.1458,31,23,0.3478,45,43,0.0465,1,0,0.0,0,0,0.0,0.29171817058096416,1424,1424,2427,738,0
32,2012-04-01,567,1198,0.5267,70,119,0.4118,43,48,0.1042,31,28,0.1071,45,44,0.0227,1,1,0.0,0,0,0.0,0.28226136829168375,1438,1438,2441,757,0
33,2012-04-02,572,1213,0.5284,81,119,0.3193,48,48,0.0,46,34,0.3529,48,44,0.0909,1,3,0.6667,35,1,34.0,0.296551724137931,1462,1462,2465,831,0
34,2012-04-03,579,1229,0.5289,90,119,0.2437,50,49,0.0204,48,39,0.2308,49,45,0.0889,1,5,0.8,52,2,25.0,0.29987956643918107,1488,1488,2491,869,0
35,2012-04-04,586,1244,0.5289,101,119,0.1513,56,49,0.1429,49,44,0.1136,49,46,0.0652,1,7,0.8571,65,3,20.6667,0.3017892644135189,1512,1512,2515,907,0
36,2012-04-05,594,1260,0.5286,120,119,0.0084,61,49,0.2449,49,49,0.0,49,47,0.0426,1,9,0.8889,71,4,16.75,0.29763779527559053,1537,1537,2540,945,0
37,2012-04-06,596,1275,0.5325,135,119,0.1345,69,49,0.4082,50,54,0.0741,49,48,0.0208,1,11,0.9091,76,5,14.2,0.312402496099844,1561,1561,2564,976,0
38,2012-04-07,605,1291,0.5314,153,119,0.2857,75,49,0.5306,53,59,0.1017,52,49,0.0612,1,13,0.9231,86,6,13.3333,0.32715334105832367,1586,1586,2589,1025,0
39,2012-04-08,615,1306,0.5291,162,119,0.3613,83,49,0.6939,56,64,0.125,52,50,0.04,1,15,0.9333,94,7,12.4286,0.33639494833524686,1610,1610,2613,1063,0
40,2012-04-09,627,1322,0.5257,174,123,0.4146,91,49,0.8571,58,69,0.1594,53,51,0.0392,1,17,0.9412,106,8,12.25,0.34632853898561694,1639,1639,2642,1110,0
41,2012-04-10,634,1337,0.5258,183,126,0.4524,93,50,0.86,59,74,0.2027,55,52,0.0577,1,19,0.9474,122,9,12.5556,0.35655430711610486,1667,1667,2670,1147,0
42,2012-04-11,642,1353,0.5255,195,130,0.5,99,50,0.98,66,79,0.1646,56,53,0.0566,1,21,0.9524,127,10,11.7,0.3623564283067803,1696,1696,2699,1186,0
43,2012-04-12,645,1368,0.5285,206,133,0.5489,99,50,0.98,66,84,0.2143,57,53,0.0755,1,23,0.9565,133,11,11.0909,0.3710091743119266,1722,1722,2725,1207,0
44,2012-04-13,651,1384,0.5296,213,137,0.5547,99,50,0.98,67,89,0.2472,58,54,0.0741,1,25,0.96,141,12,10.75,0.3765432098765432,1751,1751,2754,1230,0
45,2012-04-14,656,1399,0.5311,229,140,0.6357,99,50,0.98,72,94,0.234,59,55,0.0727,1,27,0.963,148,13,10.3846,0.38403451995685006,1778,1778,2781,1264,0
46,2012-04-15,662,1415,0.5322,239,143,0.6713,99,50,0.98,73,99,0.2626,60,56,0.0714,1,29,0.9655,152,14,9.8571,0.3894624421502314,1806,1806,2809,1286,0
47,2012-04-16,665,1427,0.534,246,147,0.6735,99,50,0.98,75,104,0.2788,61,57,0.0702,2,31,0.9355,159,15,9.6,0.39378969654199014,1831,1831,2834,1307,0
48,2012-04-17,674,1439,0.5316,256,150,0.7067,99,50,0.98,75,110,0.3182,62,58,0.069,2,33,0.9394,171,16,9.6875,0.40048968170689053,1856,1856,2859,1339,0
49,2012-04-18,678,1451,0.5327,263,154,0.7078,99,51,0.9412,75,115,0.3478,63,59,0.0678,3,35,0.9143,174,17,9.2353,0.4031195840554593,1882,1882,2885,1355,0
50,2012-04-19,686,1463,0.5311,267,157,0.7006,99,51,0.9412,75,120,0.375,64,60,0.0667,3,37,0.9189,188,18,9.4444,0.40838776211756617,1906,1906,2909,1382,0
51,2012-04-20,700,1475,0.5254,274,161,0.7019,99,51,0.9412,77,125,0.384,65,61,0.0656,3,39,0.9231,193,19,9.1579,0.40831629175187456,1931,1931,2934,1411,0
52,2012-04-21,703,1488,0.5276,278,164,0.6951,99,51,0.9412,79,130,0.3923,68,62,0.0968,3,41,0.9268,201,20,9.05,0.4133153092260899,1956,1956,2959,1431,0
53,2012-04-22,707,1500,0.5287,285,168,0.6964,99,51,0.9412,83,135,0.3852,68,62,0.0968,3,43,0.9302,207,21,8.8571,0.41635936976198457,1980,1980,2983,1452,0
54,2012-04-23,714,1512,0.5278,292,171,0.7076,99,51,0.9412,84,140,0.4,69,63,0.0952,3,45,0.9333,213,22,8.6818,0.41968739607582306,2004,2004,3007,1474,0
55,2012-04-24,724,1524,0.5249,302,175,0.7257,99,51,0.9412,86,145,0.4069,69,64,0.0781,3,47,0.9362,222,23,8.6522,0.42282321899736147,2029,2029,3032,1505,0
56,2012-04-25,731,1536,0.5241,307,178,0.7247,99,52,0.9038,90,150,0.4,71,65,0.0923,3,48,0.9375,230,24,8.5833,0.424738219895288,2053,2053,3056,1531,0
57,2012-04-26,739,1548,0.5226,313,182,0.7198,99,52,0.9038,92,155,0.4065,72,66,0.0909,3,50,0.94,233,25,8.32,0.4255111976630964,2078,2078,3081,1551,0
58,2012-04-27,750,1560,0.5192,320,185,0.7297,99,52,0.9038,96,160,0.4,74,67,0.1045,3,52,0.9423,241,26,8.2692,0.42737520128824474,2102,2102,3105,1583,0
59,2012-04-28,759,1572,0.5172,328,188,0.7447,98,52,0.8846,98,165,0.4061,77,68,0.1324,3,54,0.9444,243,27,8.0,0.4288910194950463,2126,2126,3129,1606,0
60,2012-04-29,766,1585,0.5167,336,192,0.75,97,52,0.8654,99,170,0.4176,80,69,0.1594,3,56,0.9464,249,28,7.8929,0.4323296354992076,2152,2152,3155,1630,0
61,2012-04-30,771,1597,0.5172,338,195,0.7333,97,52,0.8654,99,175,0.4343,81,70,0.1571,3,58,0.9483,257,29,7.8621,0.43535703051273983,2176,2176,3179,1646,0
62,2012-05-01,779,1609,0.5158,338,199,0.6985,97,52,0.8654,101,178,0.4326,83,70,0.1857,3,60,0.95,268,30,7.9333,0.43705092158700404,2198,2198,3201,1669,0
63,2012-05-02,783,1621,0.517,338,202,0.6733,97,52,0.8654,102,180,0.4333,83,71,0.169,3,62,0.9516,273,31,7.8065,0.4376163873370577,2219,2219,3222,1679,0
64,2012-05-03,787,1633,0.5181,337,206,0.6359,96,53,0.8113,102,182,0.4396,83,71,0.169,3,64,0.9531,280,31,8.0323,0.43848288621646625,2240,2240,3243,1688,0
65,2012-05-04,798,1637,0.5125,337,209,0.6124,96,53,0.8113,104,184,0.4348,83,72,0.1528,3,66,0.9545,286,32,7.9375,0.4355036855036855,2253,2253,3256,1707,0
66,2012-05-05,804,1641,0.5101,337,213,0.5822,96,53,0.8113,105,186,0.4355,84,72,0.1667,3,68,0.9559,290,33,7.7879,0.4340776996023249,2266,2266,3269,1719,0
67,2012-05-06,807,1644,0.5091,337,216,0.5602,96,53,0.8113,105,189,0.4444,84,73,0.1507,3,70,0.9571,295,34,7.6765,0.43388177940280315,2279,2279,3282,1727,0
68,2012-05-07,814,1648,0.5061,337,220,0.5318,96,53,0.8113,106,191,0.445,86,73,0.1781,3,72,0.9583,294,35,7.4,0.4309559939301973,2292,2292,3295,1736,0
69,2012-05-08,823,1652,0.5018,337,223,0.5112,96,53,0.8113,108,193,0.4404,88,74,0.1892,3,74,0.9595,294,36,7.1667,0.4274486094316808,2305,2305,3308,1749,0
70,2012-05-09,833,1656,0.497,337,227,0.4846,96,53,0.8113,110,195,0.4359,89,74,0.2027,4,76,0.9474,294,37,6.9459,0.42306534176452876,2318,2318,3321,1763,0
71,2012-05-10,836,1659,0.4961,337,230,0.4652,96,54,0.7778,111,197,0.4365,89,75,0.1867,4,78,0.9487,294,38,6.7368,0.4205158968206359,2331,2331,3334,1767,0
72,2012-05-11,842,1663,0.4937,337,233,0.4464,96,54,0.7778,112,199,0.4372,92,75,0.2267,4,80,0.95,294,39,6.5385,0.4190077704722056,2343,2343,3346,1777,0
73,2012-05-12,843,1667,0.4943,335,237,0.4135,96,54,0.7778,115,202,0.4307,94,75,0.2533,4,82,0.9512,295,40,6.375,0.4175595238095238,2357,2357,3360,1782,0
74,2012-05-13,849,1670,0.4916,335,240,0.3958,96,54,0.7778,115,204,0.4363,97,76,0.2763,4,84,0.9524,295,41,6.1951,0.41577698695136417,2369,2369,3372,1791,0
75,2012-05-14,853,1674,0.4904,334,244,0.3689,96,54,0.7778,117,206,0.432,97,76,0.2763,4,86,0.9535,295,42,6.0238,0.41299852289512556,2382,2382,3385,1796,0
76,2012-05-15,859,1678,0.4881,334,247,0.3522,96,54,0.7778,118,208,0.4327,99,77,0.2857,4,88,0.9545,295,43,5.8605,0.41082989994114183,2395,2395,3398,1805,0
77,2012-05-16,863,1682,0.4869,334,251,0.3307,96,54,0.7778,119,210,0.4333,100,77,0.2987,4,90,0.9556,295,44,5.7045,0.40897097625329815,2408,2408,3411,1811,0
78,2012-05-17,865,1685,0.4866,333,254,0.311,96,55,0.7455,122,212,0.4245,103,78,0.3205,5,92,0.9457,294,45,5.5333,0.40625,2421,2421,3424,1818,0
79,2012-05-18,871,1689,0.4843,333,258,0.2907,96,55,0.7455,122,215,0.4326,108,78,0.3846,5,94,0.9468,296,46,5.4348,0.4060500290866783,2435,2435,3438,1831,0
80,2012-05-19,872,1693,0.4849,333,258,0.2907,96,55,0.7455,126,217,0.4194,110,79,0.3924,5,96,0.9479,298,47,5.3404,0.40632250580046403,2445,2445,3448,1840,0
81,2012-05-20,879,1696,0.4817,333,259,0.2857,96,55,0.7455,127,219,0.4201,113,79,0.4304,5,97,0.9485,298,48,5.2083,0.4050925925925926,2453,2453,3456,1851,0
82,2012-05-21,885,1700,0.4794,332,259,0.2819,96,55,0.7455,127,221,0.4253,113,80,0.4125,5,99,0.9495,298,49,5.0816,0.40363531448355455,2463,2463,3466,1856,0
83,2012-05-22,889,1704,0.4783,332,260,0.2769,96,55,0.7455,129,223,0.4215,113,80,0.4125,5,101,0.9505,297,50,4.94,0.40218642117376296,2473,2473,3476,1861,0
84,2012-05-23,894,1708,0.4766,332,260,0.2769,96,55,0.7455,133,226,0.4115,113,81,0.3951,5,103,0.9515,297,51,4.8235,0.4003441353599082,2484,2484,3487,1870,0
85,2012-05-24,903,1711,0.4722,332,261,0.272,96,55,0.7455,137,228,0.3991,113,81,0.3951,5,105,0.9524,297,52,4.7115,0.39702517162471396,2493,2493,3496,1883,0
86,2012-05-25,908,1715,0.4706,332,261,0.272,96,56,0.7143,141,230,0.387,112,82,0.3659,5,107,0.9533,297,53,4.6038,0.3943541488451668,2504,2504,3507,1891,0
87,2012-05-26,912,1719,0.4695,331,262,0.2634,96,56,0.7143,142,232,0.3879,112,82,0.3659,5,109,0.9541,297,54,4.5,0.393232868922377,2514,2514,3517,1895,0
88,2012-05-27,919,1723,0.4666,331,262,0.2634,95,56,0.6964,146,234,0.3761,113,83,0.3614,5,111,0.955,297,55,4.4,0.39070031187978455,2524,2524,3527,1906,0
89,2012-05-28,924,1726,0.4647,331,263,0.2586,95,56,0.6964,149,236,0.3686,115,83,0.3855,5,113,0.9558,297,56,4.3036,0.3894230769230769,2533,2533,3536,1916,0
90,2012-05-29,928,1730,0.4636,331,263,0.2586,95,56,0.6964,153,239,0.3598,115,84,0.369,6,115,0.9478,297,57,4.2105,0.3876515365097265,2544,2544,3547,1925,0
91,2012-05-30,933,1734,0.4619,329,264,0.2462,95,56,0.6964,153,241,0.3651,115,84,0.369,6,117,0.9487,297,58,4.1207,0.38628057351700873,2554,2554,3557,1928,0
92,2012-05-31,939,1737,0.4594,329,264,0.2462,95,56,0.6964,155,243,0.3621,115,85,0.3529,7,119,0.9412,296,59,4.0169,0.3839035333707235,2563,2563,3566,1936,0
93,2012-06-01,945,1741,0.4572,328,265,0.2377,95,57,0.6667,158,245,0.3551,115,85,0.3529,7,121,0.9421,296,60,3.9333,0.3813251327928432,2574,2574,3577,1944,0
94,2012-06-02,951,1745,0.455,327,265,0.234,95,57,0.6667,160,247,0.3522,118,86,0.3721,8,123,0.935,295,61,3.8361,0.37970448843044324,2584,2584,3587,1954,0
95,2012-06-03,954,1749,0.4545,328,266,0.2331,95,57,0.6667,163,250,0.348,119,86,0.3837,8,125,0.936,294,62,3.7419,0.3790994997220678,2595,2595,3598,1961,0
96,2012-06-04,966,1757,0.4502,339,266,0.2744,95,57,0.6667,166,252,0.3413,121,87,0.3908,8,127,0.937,294,62,3.7419,0.38022708391027416,2608,2608,3611,1989,0
97,2012-06-05,974,1766,0.4485,339,267,0.2697,95,57,0.6667,175,254,0.311,122,87,0.4023,8,129,0.938,294,63,3.6667,0.3772752344180916,2623,2623,3626,2007,0
98,2012-06-06,980,1774,0.4476,339,267,0.2697,95,57,0.6667,179,256,0.3008,121,87,0.3908,9,131,0.9313,294,64,3.5938,0.37565265182742513,2636,2636,3639,2017,0
