time,source,destination,E/D-age-gender-origin,legal_status-employment-property_in_ukraine-sizeE-sizeD
8, netherlands, dnipropetrovska, E-51-['female']-dnipropetrovska, tp-True-2-2-0
8, netherlands, dnipropetrovska, E-18-['male']-dnipropetrovska, tp-True-2-2-0
8, belgium, donetska, E-17-['male']-donetska, tp-True-1-1-1
8, belgium, donetska, E-12-['female']-donetska, tp-True-1-1-1
9, slovakia, vinnytska, E-4-['female']-vinnytska, tp-True-5-1-3
9, slovakia, vinnytska, E-46-['female']-vinnytska, tp-True-5-1-3
9, slovakia, vinnytska, E-42-['female']-vinnytska, tp-True-5-1-3
9, slovakia, vinnytska, E-26-['female']-vinnytska, tp-True-5-1-3
9, czechia, lvivska, E-59-['female']-lvivska, tp-True-5-2-0
9, czechia, lvivska, E-52-['female']-lvivska, tp-True-5-2-0
10, poland, kyivska, E-0-['male']-kyivska, tp-True-5-3-0
10, poland, kyivska, E-46-['female']-kyivska, tp-True-5-3-0
10, poland, kyivska, E-88-['female']-kyivska, tp-True-5-3-0
10, poland, kyivska, E-2-['female']-kyivska, tp-True-5-1-2
10, poland, kyivska, E-6-['male']-kyivska, tp-True-5-1-2
10, poland, kyivska, E-24-['female']-kyivska, tp-True-5-1-2
10, czechia, lvivska, E-20-['female']-lvivska, tp-True-5-1-2
10, czechia, lvivska, E-46-['female']-lvivska, tp-True-5-1-2
10, czechia, lvivska, E-0-['male']-lvivska, tp-True-5-1-2
10, germany, vinnytska, E-60-['male']-vinnytska, tp-True-1-1-1
10, germany, vinnytska, E-43-['male']-vinnytska, tp-True-1-1-1
10, spain, ivano-frankivska, E-21-['female']-ivano-frankivska, tp-True-0-2-2
10, spain, ivano-frankivska, E-59-['female']-ivano-frankivska, tp-True-0-2-2
10, spain, ivano-frankivska, E-23-['female']-ivano-frankivska, tp-True-0-2-2
10, spain, ivano-frankivska, E-19-['female']-ivano-frankivska, tp-True-0-2-2
10, italy, ivano-frankivska, E-36-['female']-ivano-frankivska, tp-True-0-3-2
10, italy, ivano-frankivska, E-67-['male']-ivano-frankivska, tp-True-0-3-2
10, italy, ivano-frankivska, E-16-['male']-ivano-frankivska, tp-True-0-3-2
10, italy, ivano-frankivska, E-45-['female']-ivano-frankivska, tp-True-0-3-2
10, italy, ivano-frankivska, E-53-['male']-ivano-frankivska, tp-True-0-3-2
11, poland, kyivska, E-0-['male']-kyivska, tp-True-2-2-1
11, poland, kyivska, E-52-['female']-kyivska, tp-True-2-2-1
11, poland, kyivska, E-6-['male']-kyivska, tp-True-2-2-1
