time,source,destination,E/D-age-gender-origin,legal_status-employment-property_in_ukraine-sizeE-sizeD
1, poland, vinnytska, E-33-m-vinnytska, tp-True-5-1-2
1, poland, vinnytska, E-29-f-vinnytska, tp-True-5-1-2
1, poland, vinnytska, E-15-f-vinnytska, tp-True-5-1-2
1, poland, vinnytska, E-89-f-vinnytska, tp-True-0-1-0
1, germany, donetska, E-57-f-donetska, tp-True-2-4-3
1, germany, donetska, E-31-m-donetska, tp-True-2-4-3
1, germany, donetska, E-40-f-donetska, tp-True-2-4-3
1, germany, donetska, E-2-m-donetska, tp-True-2-4-3
1, germany, donetska, E-30-m-donetska, tp-True-2-4-3
1, germany, donetska, E-0-f-donetska, tp-True-2-4-3
1, germany, donetska, E-7-f-donetska, tp-True-2-4-3
1, ireland, cherkaska, E-61-f-cherkaska, tp-True-5-1-2
1, ireland, cherkaska, E-1-m-cherkaska, tp-True-5-1-2
1, ireland, cherkaska, E-62-f-cherkaska, tp-True-5-1-2
2, poland, vinnytska, E-45-m-vinnytska, tp-True-5-4-0
2, poland, vinnytska, E-9-m-vinnytska, tp-True-5-4-0
2, poland, vinnytska, E-61-f-vinnytska, tp-True-5-4-0
2, poland, vinnytska, E-81-f-vinnytska, tp-True-5-4-0
2, czechia, poltavska, E-36-f-poltavska, tp-True-5-1-1
2, czechia, poltavska, E-1-f-poltavska, tp-True-5-1-1
2, czechia, poltavska, E-52-m-poltavska, tp-True-5-1-1
2, czechia, poltavska, E-21-f-poltavska, tp-True-5-1-1
2, ireland, cherkaska, E-12-f-cherkaska, tp-True-5-2-0
2, ireland, cherkaska, E-33-f-cherkaska, tp-True-5-2-0
3, poland, vinnytska, E-20-m-vinnytska, tp-True-5-1-3
3, poland, vinnytska, E-18-f-vinnytska, tp-True-5-1-3
3, poland, vinnytska, E-46-m-vinnytska, tp-True-5-1-3
3, poland, vinnytska, E-57-f-vinnytska, tp-True-5-1-3
