time,ukr-lvivska,ukr-zakarpatska,ukr-ivano-frankivska,ukr-ternopilska,ukr-rivnenska,ukr-volynska,ukr-zhytomyrska,ukr-khmelnytska,ukr-vinnytska,ukr-chernivetska,ukr-kyiv,ukr-kyivska,ukr-chernihivska,ukr-sumska,ukr-cherkaska,ukr-poltavska,ukr-kharkivska,ukr-dnipropetrovska,ukr-kirovohradska,ukr-odeska,ukr-mykolaivska,ukr-khersonska,ukr-donetska,ukr-zaporizka,ukr-luhanska,ukr-autonomous_republic_of_crimea,poland,slovakia,romania,hungary,republic_of_moldova,czechia,bulgaria,latvia,lithuania,estonia,germany,austria,croatia,spain,italy,netherlands,ireland,belgium,france,finland,portugal,sweden,denmark,greece,cyprus,slovenia
10/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961,121,84,62,122,346,72,48,43,36,1171,77,26,203,171,117,107,81,68,62,61,41,34,30,18,12
11/2024,7,4,39,0,5,0,40,0,0,21,2,0,0,0,12,14,0,0,0,3,0,6,3,15,7,3,921,120,81,60,119,325,66,48,43,32,1140,72,26,189,160,105,100,78,68,62,57,34,27,30,18,12
12/2024,10,5,65,0,9,2,71,0,0,45,6,0,0,0,16,22,0,0,0,9,6,6,8,33,10,3,890,110,81,60,113,301,66,44,43,32,1124,68,26,181,142,101,97,73,66,62,56,34,27,27,12,12
1/2025,18,5,95,0,9,2,94,0,0,51,13,0,0,0,18,27,0,0,0,10,6,10,8,46,10,3,867,110,81,58,112,295,62,39,40,32,1097,68,26,176,129,99,92,73,66,62,56,34,24,27,12,12
2/2025,20,14,107,0,12,4,100,5,0,60,13,0,0,0,27,35,0,0,0,13,6,10,14,59,10,3,861,110,81,58,109,286,62,39,40,30,1085,65,24,168,118,90,90,69,64,57,47,34,24,27,12,12
3/2025,23,14,136,0,12,9,108,10,0,64,17,0,0,0,31,41,0,0,0,17,6,12,16,66,13,3,853,110,81,54,105,282,60,39,40,30,1056,65,24,162,111,86,87,67,59,52,47,31,24,27,12,12
4/2025,34,14,150,0,12,9,128,10,0,74,20,0,0,0,31,50,0,0,0,19,6,17,21,75,16,3,833,110,81,54,103,272,55,36,36,30,1042,65,24,153,102,86,80,62,59,52,47,31,24,24,12,12
5/2025,37,14,154,0,14,9,138,10,0,85,20,0,0,0,36,50,0,0,0,19,6,20,24,75,16,3,823,110,81,54,103,261,52,36,36,30,1038,63,24,153,102,81,77,59,59,52,47,31,24,24,12,12
6/2025,37,14,178,0,14,11,147,14,0,107,24,0,0,0,41,63,0,0,0,19,6,20,28,91,16,5,814,103,79,50,103,239,52,36,36,26,1021,63,21,140,90,76,77,58,57,48,47,31,24,24,12,12
7/2025,37,14,200,0,14,11,156,14,0,108,27,0,0,0,49,73,0,0,0,24,6,21,37,98,19,9,805,99,75,47,98,238,51,36,36,24,1006,63,17,130,85,68,77,53,57,48,47,31,21,21,12,12
