time,ukr-lvivska,ukr-zakarpatska,ukr-ivano-frankivska,ukr-ternopilska,ukr-rivnenska,ukr-volynska,ukr-zhytomyrska,ukr-khmelnytska,ukr-vinnytska,ukr-chernivetska,ukr-kyiv,ukr-kyivska,ukr-chernihivska,ukr-sumska,ukr-cherkaska,ukr-poltavska,ukr-kharkivska,ukr-dnipropetrovska,ukr-kirovohradska,ukr-odeska,ukr-mykolaivska,ukr-khersonska,ukr-donetska,ukr-zaporizka,ukr-luhanska,ukr-autonomous_republic_of_crimea,poland,slovakia,romania,hungary,republic_of_moldova,czechia,bulgaria,latvia,lithuania,estonia,germany,austria,croatia,spain,italy,netherlands,ireland,belgium,france,finland,portugal,sweden,denmark,greece,cyprus,slovenia
8/2025,47,17,219,0,14,11,183,14,0,116,29,0,0,0,49,86,0,0,0,25,6,21,37,104,23,9,778,99,75,45,97,230,51,36,36,24,987,63,17,117,79,68,67,53,57,48,44,31,21,17,12,12
9/2025,47,23,230,0,14,11,205,14,0,126,30,0,0,0,51,90,0,0,0,29,6,21,39,106,23,9,756,97,75,45,93,220,51,35,36,24,978,63,17,113,77,66,67,51,57,48,38,31,21,17,12,12
10/2025,47,23,244,0,18,14,224,14,0,128,34,0,0,0,55,90,0,0,0,33,6,21,39,114,23,13,737,97,71,43,89,218,51,33,36,24,964,59,17,113,69,62,67,51,54,48,38,31,21,17,12,12
11/2025,52,23,260,0,18,14,235,19,0,145,38,0,0,0,58,93,0,0,0,33,6,21,39,118,23,13,726,95,71,43,89,201,51,29,31,24,950,59,17,110,65,59,67,51,54,43,38,31,21,17,12,12
12/2025,55,23,274,0,18,19,239,19,0,152,38,0,0,0,58,96,0,0,0,33,6,23,42,126,23,17,722,89,67,43,89,194,49,29,31,21,945,59,17,107,60,59,64,48,49,43,38,31,18,17,12,12
1/2026,63,23,295,0,18,19,256,23,0,152,40,0,0,0,58,103,0,0,0,35,6,24,48,127,23,17,705,83,67,43,87,194,48,27,27,21,930,59,17,100,59,59,60,42,49,39,38,31,18,17,12,12
2/2026,63,28,305,0,18,19,268,30,0,156,40,0,0,0,65,103,0,0,0,37,6,24,51,127,27,17,693,80,67,43,85,190,48,27,27,21,923,59,17,100,59,52,60,39,49,32,33,27,18,17,12,12
3/2026,64,28,316,0,22,25,284,30,0,163,45,0,0,0,68,108,0,0,0,39,6,24,51,127,27,19,677,75,65,38,83,183,48,27,27,21,917,55,17,95,59,49,59,39,43,32,33,27,18,17,12,12
4/2026,68,28,326,0,22,25,301,30,0,167,47,0,0,0,68,112,0,0,0,39,6,24,51,127,30,19,660,75,65,36,83,179,48,27,27,21,907,55,17,91,59,49,55,39,43,32,33,24,18,17,12,12
5/2026,70,28,342,0,25,29,313,30,0,186,47,0,0,0,68,112,0,0,0,39,6,24,51,127,30,19,648,73,65,36,83,160,48,27,27,21,893,52,17,91,59,49,53,39,39,32,33,24,18,17,12,12
6/2026,70,28,359,0,25,29,326,30,0,191,47,0,0,0,68,119,0,0,0,39,6,24,51,131,30,19,635,72,65,36,83,155,48,27,27,21,877,52,17,84,55,49,53,39,39,32,33,24,18,17,12,12
7/2026,70,28,370,0,25,29,338,30,0,194,47,0,0,0,68,121,0,0,0,39,8,24,51,131,30,19,623,69,65,36,83,152,48,27,27,21,869,52,17,82,55,49,53,39,39,32,33,24,18,17,10,12
8/2026,72,28,385,0,25,29,349,33,0,204,47,0,0,0,68,128,0,0,0,42,8,24,51,131,30,24,612,66,60,36,80,142,48,27,25,21,858,52,17,75,55,49,53,39,39,29,33,24,17,17,10,12
9/2026,78,32,393,0,25,32,365,33,0,206,47,0,0,0,70,128,0,0,0,52,8,25,54,131,30,24,596,66,60,36,70,140,47,27,25,21,850,52,17,75,55,47,47,36,36,29,29,24,17,17,10,12
10/2026,78,32,402,0,25,35,383,33,0,206,47,0,0,0,70,128,0,0,0,54,8,25,54,131,30,24,578,66,60,36,68,140,47,27,25,21,841,52,17,75,55,47,47,36,33,29,29,24,17,17,10,12
11/2026,78,32,419,0,25,35,400,33,0,208,47,0,0,0,70,132,0,0,0,54,8,25,54,131,30,24,561,64,60,36,68,138,47,27,25,21,826,52,17,71,55,47,47,36,33,29,29,24,17,17,10,12
12/2026,78,32,427,0,25,38,429,33,0,210,51,0,0,0,70,132,0,0,0,54,8,25,54,131,30,28,532,61,56,32,68,136,47,27,25,21,821,52,17,71,55,47,47,36,30,29,29,24,17,17,10,12
1/2027,78,34,443,0,25,38,442,33,0,213,56,0,0,0,70,134,0,0,0,54,8,25,54,135,35,28,519,61,56,31,68,133,47,23,25,21,809,52,17,69,51,47,47,36,30,29,27,19,13,17,10,12
2/2027,78,34,454,0,25,38,454,33,0,213,56,0,0,0,70,136,0,0,0,54,8,31,54,135,35,31,507,61,53,31,68,133,41,23,25,21,798,52,17,67,51,47,47,36,30,29,27,19,13,17,10,12
3/2027,81,34,462,0,25,38,460,33,0,217,56,0,0,0,74,136,0,0,0,57,8,31,55,135,35,37,501,61,47,31,65,129,41,23,22,21,790,52,17,67,51,43,47,35,30,29,27,19,13,17,10,12
4/2027,81,34,469,0,25,41,485,33,0,217,56,0,0,0,77,136,0,0,0,59,8,31,55,138,35,37,476,58,47,31,63,129,41,23,22,18,790,52,17,67,51,40,47,35,27,29,27,19,9,17,10,12
5/2027,81,34,473,0,25,41,504,33,0,217,56,0,0,0,77,136,0,0,0,59,8,31,55,138,35,37,457,58,47,31,63,129,41,23,22,18,786,52,17,67,51,40,47,35,27,29,27,19,9,17,10,12
6/2027,81,34,476,0,25,44,512,33,0,219,57,0,0,0,77,136,0,0,0,60,8,31,55,138,35,37,449,58,47,30,62,127,41,23,22,18,783,52,17,67,51,40,47,35,24,29,27,19,9,17,10,12
7/2027,81,34,476,0,29,44,527,33,0,219,57,0,0,0,77,136,0,0,0,60,8,33,58,138,35,37,434,58,47,30,62,127,39,23,22,18,783,48,17,67,51,40,47,35,24,29,27,19,9,17,10,9
8/2027,82,34,482,0,29,44,536,33,0,219,57,0,0,0,77,136,0,0,0,60,8,36,58,145,38,37,425,56,47,30,62,127,36,23,22,16,779,48,17,67,46,40,46,35,24,29,27,16,9,17,10,9
9/2027,82,34,483,0,29,44,545,33,0,224,57,0,0,0,77,136,0,0,0,60,8,40,58,145,38,37,416,56,47,30,62,122,32,23,22,16,778,48,17,67,46,40,46,35,24,29,27,16,9,17,10,9
10/2027,82,34,486,0,29,44,556,33,0,226,61,0,0,0,77,136,0,0,0,60,8,40,58,145,38,37,405,56,47,30,62,120,32,19,22,16,775,48,17,67,46,40,46,35,24,29,27,16,9,17,10,9
11/2027,82,34,497,0,29,44,566,33,0,226,61,0,0,0,77,136,0,0,0,60,8,42,58,145,42,37,395,56,47,30,62,120,30,19,22,16,764,48,17,67,46,40,46,35,24,29,27,12,9,17,10,9
12/2027,82,34,504,0,29,44,567,33,0,228,64,0,0,0,77,136,0,0,0,60,8,42,61,145,42,37,394,56,47,27,62,118,30,19,22,16,757,48,17,67,46,40,46,32,24,29,27,12,9,17,10,9
1/2028,82,34,514,0,29,44,579,33,0,228,64,0,0,0,77,136,0,0,0,60,8,42,63,145,42,37,382,53,47,27,62,118,30,19,22,16,754,48,15,67,46,40,46,32,24,29,27,12,5,17,10,9
2/2028,82,34,514,0,29,44,582,33,0,228,64,0,0,0,81,136,0,0,0,63,8,42,63,145,42,37,379,53,47,27,59,118,30,19,22,16,754,48,15,67,46,36,46,32,24,29,27,12,5,17,10,9
3/2028,82,34,518,0,29,44,588,33,0,230,64,0,0,0,81,139,0,0,0,65,8,42,63,145,42,37,373,51,47,27,57,116,30,19,22,16,752,48,15,64,46,36,46,32,24,29,27,12,5,17,10,9
4/2028,84,34,518,0,29,44,602,33,0,233,64,0,0,0,81,139,0,0,0,71,8,42,63,147,46,37,359,51,47,27,51,113,30,19,20,14,752,48,15,64,46,36,46,32,24,29,27,8,5,17,10,9
5/2028,91,34,525,0,29,44,614,33,0,236,64,0,0,0,81,139,0,0,0,71,8,46,63,147,46,37,347,51,47,27,51,110,26,19,13,14,745,48,15,64,46,36,46,32,24,29,27,8,5,17,10,9
