#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
1,2/3/2020,689281,1620,1261,811,1,0,460,2,16,0.0,2,460
2,3/3/2020,688722,1811,1456,984,1,0,559,3,17,0.0,5,1019
3,4/3/2020,688084,2027,1681,1181,1,0,639,4,21,0.0,9,1658
4,5/3/2020,687393,2237,1921,1421,2,0,691,6,23,0.0,15,2349
5,6/3/2020,686565,2550,2138,1719,2,0,828,2,22,0.0,17,3177
6,7/3/2020,685630,2913,2408,2021,2,0,936,12,32,0.0,29,4113
7,8/3/2020,684593,3279,2739,2358,5,0,1037,13,41,0.0,42,5150
8,9/3/2020,683494,3672,3077,2726,5,0,1099,6,47,0.0,48,6249
9,10/3/2020,682209,4153,3474,3132,6,0,1286,10,55,0.0,58,7535
10,11/3/2020,680777,4706,3836,3647,8,0,1432,17,65,0.0,75,8967
11,12/3/2020,679325,5123,4332,4184,10,0,1452,17,78,0.0,92,10419
12,13/3/2020,678135,5086,4942,4800,11,0,1190,20,89,0.0,112,11609
13,14/3/2020,676753,5249,5412,5547,13,0,1382,25,110,0.0,137,12991
14,15/3/2020,675385,5379,5842,6351,17,0,1368,17,115,0.0,154,14359
15,16/3/2020,673837,5621,6279,7217,20,0,1549,25,132,0.0,179,15908
16,17/3/2020,672574,5494,6751,8133,22,0,1263,31,157,0.0,210,17171
17,18/3/2020,671269,5397,7061,9220,27,0,1305,36,179,0.0,246,18476
18,19/3/2020,669899,5479,7215,10347,34,0,1370,48,211,0.0,294,19846
19,20/3/2020,668503,5495,7422,11516,38,0,1397,58,257,0.0,352,21243
20,21/3/2020,667436,5174,7570,12748,46,0,1067,41,278,0.0,393,22310
21,22/3/2020,666369,4882,7641,14030,52,0,1067,51,308,0.0,444,23377
22,23/3/2020,665251,4714,7600,15351,58,0,1118,57,339,0.0,501,24495
23,24/3/2020,664699,4061,7468,16681,65,0,552,53,362,0.0,554,25047
24,25/3/2020,664128,3455,7356,17960,75,0,571,65,392,0.0,619,25618
25,26/3/2020,663651,2977,7025,19237,84,0,477,64,417,0.0,683,26095
26,27/3/2020,663140,2612,6642,20489,91,0,511,81,463,0.0,764,26606
27,28/3/2020,662636,2342,6240,21654,102,0,504,85,506,0.0,849,27110
28,29/3/2020,662164,2141,5756,22795,118,0,472,66,511,0.0,915,27582
29,30/3/2020,661773,1984,5148,23933,136,0,391,71,515,0.0,986,27973
30,31/3/2020,661372,1834,4695,24914,159,0,401,69,518,0.0,1055,28374
31,1/4/2020,661004,1693,4274,25832,171,0,368,76,539,0.0,1131,28742
32,2/4/2020,660679,1542,3960,26604,189,0,326,62,539,0.0,1193,29068
