#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
1,2/3/2020,687390,1602,1285,819,0,0,457,2,18,0.0,2,457
2,3/3/2020,686828,1813,1476,979,0,0,562,5,21,0.0,7,1019
3,4/3/2020,686251,1965,1693,1187,0,0,577,8,27,0.0,15,1596
4,5/3/2020,685588,2204,1879,1424,1,0,663,8,31,0.0,23,2259
5,6/3/2020,684815,2453,2141,1685,2,0,773,10,38,0.0,33,3032
6,7/3/2020,683896,2842,2360,1996,2,0,919,8,46,0.0,41,3951
7,8/3/2020,682942,3152,2658,2340,4,0,954,11,54,0.0,52,4905
8,9/3/2020,681855,3553,2957,2726,5,0,1087,14,65,0.0,66,5992
9,10/3/2020,680652,4002,3290,3145,7,0,1203,14,77,0.0,80,7195
10,11/3/2020,679327,4398,3769,3595,7,0,1325,26,99,0.0,106,8520
11,12/3/2020,677781,4948,4219,4138,10,0,1546,21,110,0.0,127,10066
12,13/3/2020,676729,4884,4708,4761,14,0,1052,23,120,0.0,150,11118
13,14/3/2020,675459,4977,5197,5445,18,0,1270,19,128,0.0,169,12388
14,15/3/2020,674116,5057,5736,6165,22,0,1343,23,138,0.0,192,13731
15,16/3/2020,672670,5220,6182,6997,27,0,1447,17,143,0.0,209,15178
16,17/3/2020,671478,5126,6492,7968,32,0,1192,36,163,0.0,245,16370
17,18/3/2020,670199,5180,6731,8950,36,0,1279,38,185,0.0,283,17649
18,19/3/2020,668948,5142,6938,10029,39,0,1252,32,197,0.0,315,18901
19,20/3/2020,667620,5207,7121,11103,45,0,1328,47,230,0.0,362,20229
20,21/3/2020,666604,4884,7243,12317,48,0,1017,41,248,0.0,403,21246
21,22/3/2020,665523,4714,7227,13578,54,0,1082,50,278,0.0,453,22328
22,23/3/2020,664491,4521,7192,14832,60,0,1032,55,308,0.0,508,23360
23,24/3/2020,663951,3873,7178,16027,67,0,540,66,345,0.0,574,23900
24,25/3/2020,663400,3344,7027,17251,74,0,551,75,390,0.0,649,24451
25,26/3/2020,662914,2870,6746,18484,82,0,486,65,420,0.0,714,24937
26,27/3/2020,662434,2466,6408,19697,91,0,480,62,445,0.0,776,25417
27,28/3/2020,661957,2280,5872,20881,106,0,477,65,457,0.0,841,25894
28,29/3/2020,661553,2058,5395,21975,115,0,404,79,500,0.0,920,26298
29,30/3/2020,661131,1879,4913,23047,126,0,422,61,506,0.0,981,26720
30,31/3/2020,660771,1738,4435,24012,140,0,360,64,514,0.0,1045,27080
31,1/4/2020,660434,1595,4023,24882,162,0,337,69,524,0.0,1114,27417
32,2/4/2020,660172,1392,3694,25659,179,0,262,60,512,0.0,1174,27679
33,3/4/2020,659913,1286,3386,26315,196,0,259,46,508,0.0,1220,27938
34,4/4/2020,659686,1168,3048,26980,214,0,227,60,489,0.0,1280,28165
35,5/4/2020,659448,1089,2835,27493,231,0,239,60,488,0.0,1340,28404
36,6/4/2020,659242,990,2606,28009,249,0,207,52,481,0.0,1392,28611
37,7/4/2020,659029,947,2407,28446,267,0,214,31,444,0.0,1423,28825
38,8/4/2020,658866,851,2223,28866,290,0,164,46,428,0.0,1469,28989
39,9/4/2020,658686,818,2059,29229,304,0,180,30,406,0.0,1499,29169
40,10/4/2020,658511,752,1908,29606,319,0,175,35,385,0.0,1534,29344
41,11/4/2020,658371,671,1791,29929,334,0,140,29,365,0.0,1563,29484
42,12/4/2020,658247,622,1636,30241,350,0,125,27,337,0.0,1590,29609
43,13/4/2020,658121,573,1500,30532,370,0,126,25,298,0.0,1615,29735
44,14/4/2020,658011,525,1393,30778,389,0,111,23,268,0.0,1638,29846
45,15/4/2020,657891,516,1271,31013,405,0,120,15,239,0.0,1653,29966
46,16/4/2020,657777,518,1168,31212,421,0,114,19,215,0.0,1672,30080
47,17/4/2020,657696,469,1078,31420,433,0,81,14,194,0.0,1686,30161
48,18/4/2020,657610,439,991,31618,438,0,87,10,174,0.0,1696,30248
49,19/4/2020,657534,399,907,31811,445,0,76,15,152,0.0,1711,30324
50,20/4/2020,657444,382,849,31964,457,0,90,19,143,0.0,1730,30414
51,21/4/2020,657363,361,783,32124,465,0,81,16,136,0.0,1746,30495
52,22/4/2020,657304,323,712,32283,474,0,59,10,117,0.0,1756,30554
53,23/4/2020,657254,283,668,32411,480,0,50,5,104,0.0,1761,30604
54,24/4/2020,657214,235,625,32537,485,0,41,6,92,0.0,1767,30645
55,25/4/2020,657174,211,585,32637,489,0,40,8,92,0.0,1775,30685
56,26/4/2020,657136,183,557,32728,492,0,38,16,93,0.0,1791,30723
57,27/4/2020,657096,172,507,32824,497,0,40,11,88,0.0,1802,30763
58,28/4/2020,657060,158,435,32944,499,0,37,4,81,0.0,1806,30800
59,29/4/2020,657026,153,388,33026,503,0,34,6,75,0.0,1812,30834
60,30/4/2020,656996,139,350,33101,510,0,31,4,65,0.0,1816,30865
61,1/5/2020,656975,121,313,33176,511,0,21,6,64,0.0,1822,30886
62,2/5/2020,656955,98,299,33229,515,0,20,4,58,0.0,1826,30906
63,3/5/2020,656938,87,266,33288,517,0,17,3,53,0.0,1829,30923
64,4/5/2020,656922,90,239,33323,522,0,16,5,51,0.0,1834,30939
65,5/5/2020,656905,82,220,33364,525,0,17,7,54,0.0,1841,30956
66,6/5/2020,656886,80,191,33414,525,0,20,1,44,0.0,1842,30976
67,7/5/2020,656869,73,186,33439,529,0,18,3,40,0.0,1845,30994
68,8/5/2020,656856,73,167,33468,532,0,13,2,36,0.0,1847,31007
69,9/5/2020,656843,71,155,33494,533,0,13,6,36,0.0,1853,31020
70,10/5/2020,656825,70,144,33523,534,0,18,3,36,0.0,1856,31038
71,11/5/2020,656807,72,130,33549,538,0,18,1,30,0.0,1857,31056
72,12/5/2020,656796,62,130,33568,540,0,11,3,28,0.0,1860,31067
73,13/5/2020,656782,53,122,33599,540,0,14,0,23,0.0,1860,31081
74,14/5/2020,656773,45,113,33623,542,0,9,1,19,0.0,1861,31090
75,15/5/2020,656762,47,97,33648,542,0,11,1,16,0.0,1862,31101
76,16/5/2020,656744,55,90,33665,542,0,18,1,17,0.0,1863,31119
77,17/5/2020,656733,56,88,33676,543,0,11,0,14,0.0,1863,31130
78,18/5/2020,656723,50,85,33694,544,0,10,2,14,0.0,1865,31140
79,19/5/2020,656714,48,81,33707,546,0,9,4,15,0.0,1869,31149
80,20/5/2020,656706,41,88,33715,546,0,8,0,12,0.0,1869,31157
81,21/5/2020,656698,36,80,33736,546,0,8,0,11,0.0,1869,31165
82,22/5/2020,656689,30,83,33748,546,0,9,1,11,0.0,1870,31174
83,23/5/2020,656681,32,72,33765,546,0,9,2,11,0.0,1872,31183
84,24/5/2020,656674,34,63,33778,547,0,8,1,11,0.0,1873,31191
85,25/5/2020,656661,36,69,33783,547,0,13,1,12,0.0,1874,31204
86,26/5/2020,656652,41,61,33794,548,0,9,1,11,0.0,1875,31213
87,27/5/2020,656645,38,62,33803,548,0,7,1,11,0.0,1876,31220
88,28/5/2020,656634,39,60,33814,549,0,12,2,12,0.0,1878,31232
89,29/5/2020,656621,49,58,33817,551,0,14,1,11,0.0,1879,31246
90,30/5/2020,656616,44,61,33824,551,0,5,0,11,0.0,1879,31251
91,31/5/2020,656610,41,63,33831,551,0,7,0,9,0.0,1879,31258
92,1/6/2020,656604,37,65,33839,551,0,6,1,8,0.0,1880,31264
93,2/6/2020,656598,33,62,33851,552,0,6,1,8,0.0,1881,31270
94,3/6/2020,656593,30,56,33865,552,0,5,0,6,0.0,1881,31275
95,4/6/2020,656589,28,45,33881,553,0,4,1,5,0.0,1882,31279
96,5/6/2020,656585,23,44,33891,553,0,4,0,5,0.0,1882,31283
97,6/6/2020,656578,20,47,33898,553,0,7,1,5,0.0,1883,31290
98,7/6/2020,656574,21,42,33906,553,0,4,0,5,0.0,1883,31294
99,8/6/2020,656571,18,43,33911,553,0,5,2,7,0.0,1885,31299
100,9/6/2020,656566,22,39,33916,553,0,6,2,9,0.0,1887,31305
101,10/6/2020,656559,25,39,33920,553,0,7,1,9,0.0,1888,31312
102,11/6/2020,656554,21,45,33923,553,0,5,1,10,0.0,1889,31317
103,12/6/2020,656551,20,43,33927,555,0,5,0,8,0.0,1889,31322
104,13/6/2020,656543,24,40,33933,556,0,9,0,6,0.0,1889,31331
105,14/6/2020,656540,25,36,33939,556,0,5,2,6,0.0,1891,31336
106,15/6/2020,656535,22,41,33942,556,0,6,0,6,0.0,1891,31342
107,16/6/2020,656529,26,42,33943,556,0,6,2,8,0.0,1893,31348
108,17/6/2020,656527,22,39,33952,556,0,3,1,8,0.0,1894,31351
109,18/6/2020,656521,21,36,33961,557,0,6,0,5,0.0,1894,31357
110,19/6/2020,656517,18,38,33966,557,0,5,0,5,0.0,1894,31362
111,20/6/2020,656512,16,41,33970,557,0,6,1,6,0.0,1895,31368
112,21/6/2020,656508,21,37,33973,557,0,7,2,8,0.0,1897,31375
113,22/6/2020,656503,27,32,33977,557,0,8,0,7,0.0,1897,31383
114,23/6/2020,656502,26,27,33983,558,0,3,0,5,0.0,1897,31386
115,24/6/2020,656496,27,31,33984,558,0,7,0,5,0.0,1897,31393
116,25/6/2020,656494,23,37,33984,558,0,5,0,4,0.0,1897,31398
117,26/6/2020,656487,25,34,33992,558,0,8,0,4,0.0,1897,31406
118,27/6/2020,656480,31,36,33991,558,0,13,0,3,0.0,1897,31419
119,28/6/2020,656474,38,33,33993,558,0,11,1,4,0.0,1898,31430
120,29/6/2020,656474,33,35,33996,558,0,6,1,4,0.0,1899,31436
121,30/6/2020,656470,34,36,33998,558,0,8,0,4,0.0,1899,31444
122,1/7/2020,656462,36,40,34000,558,0,9,0,4,0.0,1899,31453
123,2/7/2020,656457,37,42,34001,559,0,11,0,2,0.0,1899,31464
124,3/7/2020,656456,37,40,34004,559,0,5,0,2,0.0,1899,31469
125,4/7/2020,656456,28,49,34004,559,0,6,0,1,0.0,1899,31475
126,5/7/2020,656445,31,54,34007,559,0,14,0,1,0.0,1899,31489
127,6/7/2020,656441,35,48,34013,559,0,11,0,1,0.0,1899,31500
128,7/7/2020,656436,43,44,34014,559,0,11,0,1,0.0,1899,31511
129,8/7/2020,656428,53,40,34016,559,0,16,1,2,0.0,1900,31527
130,9/7/2020,656426,55,43,34013,559,0,15,1,3,0.0,1901,31542
131,10/7/2020,656426,44,55,34012,559,0,7,0,3,0.0,1901,31549
132,11/7/2020,656420,47,58,34012,559,0,12,0,3,0.0,1901,31561
133,12/7/2020,656413,52,55,34017,559,0,12,1,4,0.0,1902,31573
134,13/7/2020,656404,51,61,34021,559,0,16,1,5,0.0,1903,31589
135,14/7/2020,656398,49,66,34024,559,0,12,0,5,0.0,1903,31601
136,15/7/2020,656392,45,81,34019,559,0,14,0,5,0.0,1903,31615
137,16/7/2020,656374,62,80,34021,559,0,26,0,3,0.0,1903,31641
138,17/7/2020,656368,70,79,34020,559,0,19,0,3,0.0,1903,31660
139,18/7/2020,656352,88,68,34029,559,0,29,0,1,0.0,1903,31689
140,19/7/2020,656350,79,76,34032,559,0,11,0,1,0.0,1903,31700
141,20/7/2020,656342,79,85,34031,559,0,19,0,1,0.0,1903,31719
142,21/7/2020,656331,81,92,34033,559,0,23,0,1,0.0,1903,31742
143,22/7/2020,656319,82,102,34034,559,0,21,2,3,0.0,1905,31763
144,23/7/2020,656311,76,109,34041,559,0,22,2,5,0.0,1907,31785
145,24/7/2020,656298,87,109,34043,559,0,28,2,7,0.0,1909,31813
146,25/7/2020,656291,96,110,34040,559,0,29,1,8,0.0,1910,31842
147,26/7/2020,656288,103,107,34039,559,0,27,0,8,0.0,1910,31869
148,27/7/2020,656277,106,119,34035,559,0,26,1,9,0.0,1911,31895
149,28/7/2020,656264,113,128,34032,559,0,33,2,11,0.0,1913,31928
150,29/7/2020,656258,108,131,34040,559,0,21,2,13,0.0,1915,31949
151,30/7/2020,656258,102,133,34043,560,0,20,1,13,0.0,1916,31969
152,31/7/2020,656260,86,151,34038,561,0,21,1,12,0.0,1917,31990
153,1/8/2020,656248,97,141,34049,561,0,34,0,10,0.0,1917,32024
154,2/8/2020,656244,106,139,34046,561,0,29,0,10,0.0,1917,32053
155,3/8/2020,656236,114,141,34044,561,0,29,2,11,0.0,1919,32082
156,4/8/2020,656231,117,141,34045,562,0,31,2,11,0.0,1921,32113
157,5/8/2020,656222,117,149,34045,563,0,29,2,12,0.0,1923,32142
158,6/8/2020,656209,123,154,34047,563,0,38,3,13,0.0,1926,32180
159,7/8/2020,656209,124,151,34048,564,0,25,0,12,0.0,1926,32205
160,8/8/2020,656204,127,155,34046,564,0,35,0,10,0.0,1926,32240
161,9/8/2020,656205,119,167,34041,564,0,26,0,10,0.0,1926,32266
162,10/8/2020,656202,121,167,34040,566,0,34,2,9,0.0,1928,32300
163,11/8/2020,656220,107,183,34020,566,0,25,2,10,0.0,1930,32325
164,12/8/2020,656227,116,165,34021,567,0,30,0,8,0.0,1930,32355
165,13/8/2020,656226,124,162,34017,567,0,35,0,7,0.0,1930,32390
166,14/8/2020,656219,143,158,34009,567,0,41,2,9,0.0,1932,32431
167,15/8/2020,656207,157,166,33999,567,0,49,0,9,0.0,1932,32480
168,16/8/2020,656196,177,173,33983,567,0,52,2,11,0.0,1934,32532
169,17/8/2020,656172,190,189,33978,567,0,54,3,12,0.0,1937,32586
170,18/8/2020,656153,205,187,33984,567,0,51,3,12,0.0,1940,32637
171,19/8/2020,656149,203,207,33970,567,0,45,1,13,0.0,1941,32682
172,20/8/2020,656129,205,229,33967,566,0,57,1,14,0.0,1942,32739
173,21/8/2020,656121,205,244,33960,566,0,46,1,14,0.0,1943,32785
174,22/8/2020,656098,211,265,33956,566,0,65,0,12,0.0,1943,32850
175,23/8/2020,656062,239,269,33960,566,0,76,0,11,0.0,1943,32926
176,24/8/2020,656037,249,286,33958,566,0,74,1,10,0.0,1944,33000
177,25/8/2020,656009,265,295,33961,566,0,68,3,13,0.0,1947,33068
178,26/8/2020,655998,265,317,33950,566,0,59,3,14,0.0,1950,33127
179,27/8/2020,655990,265,323,33951,567,0,62,2,15,0.0,1952,33189
180,28/8/2020,655975,258,346,33950,567,0,66,1,13,0.0,1953,33255
181,29/8/2020,655962,274,346,33947,567,0,76,1,13,0.0,1954,33331
182,30/8/2020,655939,286,367,33936,568,0,83,3,15,0.0,1957,33414
183,31/8/2020,655912,289,370,33957,568,0,73,2,17,0.0,1959,33487
184,1/9/2020,655891,305,388,33944,568,0,81,2,19,0.0,1961,33568
185,2/9/2020,655883,302,391,33950,570,0,69,3,19,0.0,1964,33637
186,3/9/2020,655888,284,408,33946,570,0,62,3,20,0.0,1967,33699
187,4/9/2020,655894,275,412,33943,572,0,63,4,21,0.0,1971,33762
188,5/9/2020,655906,266,420,33930,574,0,73,5,22,0.0,1976,33835
189,6/9/2020,655922,257,417,33926,574,0,61,2,24,0.0,1978,33896
190,7/9/2020,655915,261,422,33923,575,0,67,5,26,0.0,1983,33963
191,8/9/2020,655917,262,410,33930,577,0,70,0,16,0.0,1983,34033
192,9/9/2020,655920,269,396,33933,578,0,67,3,18,0.0,1986,34100
193,10/9/2020,655916,274,392,33936,578,0,71,3,20,0.0,1989,34171
194,11/9/2020,655915,293,389,33921,578,0,78,5,24,0.0,1994,34249
195,12/9/2020,655927,289,414,33886,580,0,76,7,27,0.0,2001,34325
196,13/9/2020,655934,295,423,33863,581,0,77,5,31,0.0,2006,34402
197,14/9/2020,655937,297,448,33832,582,0,81,8,35,0.0,2014,34483
198,15/9/2020,655942,313,424,33835,582,0,78,7,37,0.0,2021,34561
