#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
1,2/3/2020,689553,1525,1223,860,3,0,449,5,21,0.0,5,449
2,3/3/2020,689014,1719,1422,1006,3,0,539,8,29,0.0,13,988
3,4/3/2020,688422,1932,1599,1206,5,0,592,3,30,0.0,16,1580
4,5/3/2020,687722,2216,1778,1442,6,0,700,13,40,0.0,29,2280
5,6/3/2020,686959,2503,2010,1686,6,0,763,11,49,0.0,40,3043
6,7/3/2020,686135,2792,2247,1983,7,0,824,8,56,0.0,48,3867
7,8/3/2020,685215,3082,2548,2312,7,0,920,9,62,0.0,57,4787
8,9/3/2020,684115,3515,2840,2686,8,0,1100,14,66,0.0,71,5887
9,10/3/2020,682973,3872,3229,3080,10,0,1142,18,81,0.0,89,7029
10,11/3/2020,681709,4273,3609,3561,12,0,1264,11,80,0.0,100,8293
11,12/3/2020,680272,4742,4064,4073,13,0,1437,17,89,0.0,117,9730
12,13/3/2020,679193,4769,4506,4682,14,0,1079,20,106,0.0,137,10809
13,14/3/2020,677986,4796,5021,5341,20,0,1207,22,116,0.0,159,12016
14,15/3/2020,676675,4978,5415,6073,23,0,1311,28,132,0.0,187,13327
15,16/3/2020,675318,5095,5845,6881,25,0,1358,26,147,0.0,213,14685
16,17/3/2020,674101,5062,6205,7768,28,0,1217,32,164,0.0,245,15902
17,18/3/2020,672909,5012,6463,8749,31,0,1192,45,194,0.0,290,17094
18,19/3/2020,671660,5047,6672,9751,34,0,1250,38,217,0.0,328,18344
19,20/3/2020,670426,5009,6820,10871,38,0,1235,50,249,0.0,378,19579
20,21/3/2020,669429,4708,6980,12006,41,0,997,60,289,0.0,438,20576
21,22/3/2020,668496,4433,7022,13166,47,0,933,50,319,0.0,488,21509
22,23/3/2020,667576,4178,7032,14320,58,0,920,53,346,0.0,541,22429
23,24/3/2020,667036,3578,7036,15452,62,0,541,56,376,0.0,597,22970
24,25/3/2020,666483,3133,6844,16635,69,0,553,59,400,0.0,656,23523
25,26/3/2020,666016,2705,6566,17796,81,0,467,58,423,0.0,714,23990
26,27/3/2020,665577,2349,6132,19015,91,0,440,77,457,0.0,791,24430
27,28/3/2020,665178,2083,5643,20154,106,0,401,54,459,0.0,845,24831
28,29/3/2020,664802,1876,5146,21224,116,0,378,61,475,0.0,906,25209
29,30/3/2020,664438,1718,4654,22224,130,0,364,77,498,0.0,983,25573
30,31/3/2020,664130,1581,4151,23166,136,0,308,58,512,0.0,1041,25881
31,1/4/2020,663791,1497,3730,23991,155,0,340,65,511,0.0,1106,26221
32,2/4/2020,663525,1356,3386,24723,174,0,266,66,506,0.0,1172,26487
33,3/4/2020,663268,1252,3112,25348,184,0,257,60,516,0.0,1232,26744
34,4/4/2020,663043,1141,2871,25909,200,0,225,49,510,0.0,1281,26969
35,5/4/2020,662830,1047,2671,26404,212,0,213,31,483,0.0,1312,27182
36,6/4/2020,662642,966,2450,26877,229,0,188,32,444,0.0,1344,27370
37,7/4/2020,662459,853,2289,27316,247,0,184,38,428,0.0,1382,27554
38,8/4/2020,662290,794,2112,27705,263,0,169,44,405,0.0,1426,27723
39,9/4/2020,662130,742,1934,28079,279,0,160,38,377,0.0,1464,27883
40,10/4/2020,661954,740,1751,28425,294,0,176,23,334,0.0,1487,28059
41,11/4/2020,661827,664,1621,28743,309,0,127,21,303,0.0,1508,28186
42,12/4/2020,661698,624,1473,29047,322,0,129,21,278,0.0,1529,28315
43,13/4/2020,661583,575,1361,29313,332,0,115,18,252,0.0,1547,28430
44,14/4/2020,661490,496,1270,29567,341,0,94,20,225,0.0,1567,28524
45,15/4/2020,661398,444,1171,29793,358,0,92,18,207,0.0,1585,28616
46,16/4/2020,661307,413,1100,29981,363,0,91,16,192,0.0,1601,28707
47,17/4/2020,661209,385,993,30200,377,0,98,11,162,0.0,1612,28805
48,18/4/2020,661130,364,917,30370,383,0,79,17,154,0.0,1629,28884
49,19/4/2020,661054,347,836,30537,390,0,77,14,142,0.0,1643,28961
50,20/4/2020,660963,336,784,30688,393,0,91,11,137,0.0,1654,29052
51,21/4/2020,660906,303,739,30817,399,0,57,11,128,0.0,1665,29109
52,22/4/2020,660835,287,688,30946,408,0,71,5,105,0.0,1670,29180
53,23/4/2020,660783,272,652,31045,412,0,52,9,102,0.0,1679,29232
54,24/4/2020,660738,242,613,31155,416,0,45,15,101,0.0,1694,29277
55,25/4/2020,660685,226,571,31260,422,0,53,10,97,0.0,1704,29330
56,26/4/2020,660652,204,514,31367,427,0,33,8,88,0.0,1712,29363
57,27/4/2020,660618,178,482,31455,431,0,35,7,89,0.0,1719,29398
58,28/4/2020,660581,172,443,31533,435,0,37,7,84,0.0,1726,29435
59,29/4/2020,660543,157,422,31602,440,0,38,8,77,0.0,1734,29473
60,30/4/2020,660517,140,381,31682,444,0,26,7,70,0.0,1741,29499
61,1/5/2020,660491,131,339,31754,449,0,27,8,67,0.0,1749,29526
62,2/5/2020,660470,118,309,31813,454,0,21,6,62,0.0,1755,29547
63,3/5/2020,660449,111,279,31871,454,0,21,2,57,0.0,1757,29568
64,4/5/2020,660423,109,257,31920,455,0,27,4,53,0.0,1761,29595
65,5/5/2020,660410,84,246,31961,463,0,13,5,45,0.0,1766,29608
66,6/5/2020,660389,83,218,32006,468,0,21,2,37,0.0,1768,29629
67,7/5/2020,660367,79,201,32045,472,0,22,2,30,0.0,1770,29651
68,8/5/2020,660353,79,182,32076,474,0,14,3,28,0.0,1773,29665
69,9/5/2020,660336,77,162,32112,477,0,17,2,21,0.0,1775,29682
70,10/5/2020,660321,73,145,32148,477,0,15,0,20,0.0,1775,29697
71,11/5/2020,660306,69,139,32173,477,0,15,2,21,0.0,1777,29712
72,12/5/2020,660290,63,133,32200,478,0,16,1,16,0.0,1778,29728
73,13/5/2020,660275,69,120,32221,479,0,15,3,17,0.0,1781,29743
74,14/5/2020,660268,64,111,32239,482,0,7,1,14,0.0,1782,29750
75,15/5/2020,660260,51,109,32261,483,0,8,1,13,0.0,1783,29758
76,16/5/2020,660254,43,106,32278,483,0,6,1,13,0.0,1784,29764
77,17/5/2020,660244,38,101,32298,483,0,10,0,11,0.0,1784,29774
78,18/5/2020,660233,35,98,32314,484,0,11,3,12,0.0,1787,29785
79,19/5/2020,660223,37,86,32331,487,0,10,1,10,0.0,1788,29795
80,20/5/2020,660216,33,85,32343,487,0,7,0,10,0.0,1788,29802
81,21/5/2020,660202,37,86,32350,489,0,16,3,10,0.0,1791,29818
82,22/5/2020,660197,37,75,32365,490,0,5,2,11,0.0,1793,29823
83,23/5/2020,660189,37,69,32378,491,0,8,0,10,0.0,1793,29831
84,24/5/2020,660179,35,65,32393,492,0,10,2,11,0.0,1795,29841
85,25/5/2020,660173,35,60,32404,492,0,6,0,10,0.0,1795,29847
86,26/5/2020,660169,30,61,32412,492,0,4,0,10,0.0,1795,29851
87,27/5/2020,660162,29,60,32421,492,0,7,1,11,0.0,1796,29858
88,28/5/2020,660152,30,60,32430,492,0,10,1,12,0.0,1797,29868
89,29/5/2020,660143,33,53,32443,492,0,9,0,8,0.0,1797,29877
90,30/5/2020,660137,28,56,32451,492,0,6,1,8,0.0,1798,29883
91,31/5/2020,660124,34,51,32462,493,0,13,1,6,0.0,1799,29896
92,1/6/2020,660114,37,51,32469,493,0,10,0,5,0.0,1799,29906
93,2/6/2020,660108,33,47,32483,493,0,6,1,6,0.0,1800,29912
94,3/6/2020,660103,32,44,32492,493,0,6,1,6,0.0,1801,29918
95,4/6/2020,660099,31,41,32500,493,0,4,0,6,0.0,1801,29922
96,5/6/2020,660093,28,46,32504,493,0,6,2,8,0.0,1803,29928
97,6/6/2020,660090,23,47,32510,494,0,3,0,5,0.0,1803,29931
98,7/6/2020,660076,32,46,32516,494,0,15,2,7,0.0,1805,29946
99,8/6/2020,660069,36,45,32520,494,0,7,0,7,0.0,1805,29953
100,9/6/2020,660065,32,43,32530,494,0,5,0,4,0.0,1805,29958
101,10/6/2020,660058,32,45,32535,494,0,8,1,5,0.0,1806,29966
102,11/6/2020,660050,29,47,32544,494,0,8,0,4,0.0,1806,29974
103,12/6/2020,660047,25,49,32549,494,0,4,1,5,0.0,1807,29978
104,13/6/2020,660045,20,50,32554,495,0,4,0,3,0.0,1807,29982
105,14/6/2020,660040,19,46,32564,495,0,7,0,2,0.0,1807,29989
106,15/6/2020,660034,20,46,32569,495,0,7,0,2,0.0,1807,29996
107,16/6/2020,660026,25,43,32575,495,0,9,0,2,0.0,1807,30005
108,17/6/2020,660011,34,43,32581,495,0,15,0,2,0.0,1807,30020
109,18/6/2020,660004,29,46,32589,496,0,7,0,1,0.0,1807,30027
110,19/6/2020,659996,35,44,32593,496,0,10,0,1,0.0,1807,30037
111,20/6/2020,659988,34,44,32602,496,0,8,0,0,0.0,1807,30045
112,21/6/2020,659985,34,48,32601,496,0,6,2,2,0.0,1809,30051
113,22/6/2020,659981,30,49,32608,496,0,5,1,3,0.0,1810,30056
114,23/6/2020,659974,29,50,32615,496,0,8,0,3,0.0,1810,30064
115,24/6/2020,659968,31,49,32620,496,0,10,0,3,0.0,1810,30074
116,25/6/2020,659959,33,51,32625,496,0,11,2,5,0.0,1812,30085
117,26/6/2020,659956,24,60,32628,496,0,5,0,5,0.0,1812,30090
118,27/6/2020,659953,27,56,32632,496,0,6,1,6,0.0,1813,30096
119,28/6/2020,659948,26,58,32636,496,0,9,1,7,0.0,1814,30105
120,29/6/2020,659942,30,53,32643,496,0,10,0,5,0.0,1814,30115
121,30/6/2020,659933,39,51,32645,496,0,14,2,7,0.0,1816,30129
122,1/7/2020,659929,40,49,32649,497,0,10,1,7,0.0,1817,30139
123,2/7/2020,659928,30,58,32651,497,0,5,0,7,0.0,1817,30144
124,3/7/2020,659921,36,56,32654,497,0,13,1,7,0.0,1818,30157
125,4/7/2020,659915,34,59,32659,497,0,8,0,7,0.0,1818,30165
126,5/7/2020,659911,35,64,32656,498,0,11,0,6,0.0,1818,30176
127,6/7/2020,659906,40,67,32653,498,0,14,0,6,0.0,1818,30190
128,7/7/2020,659896,50,64,32656,498,0,17,0,5,0.0,1818,30207
129,8/7/2020,659887,55,64,32660,498,0,14,0,5,0.0,1818,30221
130,9/7/2020,659879,53,70,32663,499,0,11,0,4,0.0,1818,30232
131,10/7/2020,659873,49,75,32668,499,0,11,0,3,0.0,1818,30243
132,11/7/2020,659865,53,71,32676,499,0,14,1,2,0.0,1819,30257
133,12/7/2020,659853,57,72,32683,499,0,17,1,3,0.0,1820,30274
134,13/7/2020,659850,52,71,32692,499,0,10,2,4,0.0,1822,30284
135,14/7/2020,659841,56,75,32693,499,0,16,1,5,0.0,1823,30300
136,15/7/2020,659842,54,67,32702,499,0,6,0,5,0.0,1823,30306
137,16/7/2020,659824,66,68,32707,499,0,23,1,6,0.0,1824,30329
138,17/7/2020,659817,58,81,32709,499,0,16,1,6,0.0,1825,30345
139,18/7/2020,659802,71,77,32715,499,0,22,0,6,0.0,1825,30367
140,19/7/2020,659792,70,80,32723,499,0,18,0,6,0.0,1825,30385
141,20/7/2020,659788,65,89,32723,499,0,15,0,6,0.0,1825,30400
142,21/7/2020,659773,72,97,32723,499,0,26,0,5,0.0,1825,30426
143,22/7/2020,659765,82,94,32723,500,0,22,2,6,0.0,1827,30448
144,23/7/2020,659751,97,89,32726,501,0,27,1,4,0.0,1828,30475
145,24/7/2020,659753,89,92,32729,501,0,14,1,4,0.0,1829,30489
146,25/7/2020,659748,91,99,32725,501,0,27,2,6,0.0,1831,30516
147,26/7/2020,659732,104,109,32718,501,0,31,0,5,0.0,1831,30547
148,27/7/2020,659722,99,128,32714,501,0,21,1,6,0.0,1832,30568
149,28/7/2020,659710,98,135,32720,501,0,25,2,7,0.0,1834,30593
150,29/7/2020,659690,104,135,32734,501,0,34,0,6,0.0,1834,30627
151,30/7/2020,659687,96,144,32736,501,0,18,1,7,0.0,1835,30645
152,31/7/2020,659674,103,138,32748,501,0,30,2,8,0.0,1837,30675
153,1/8/2020,659664,101,142,32756,501,0,24,0,8,0.0,1837,30699
154,2/8/2020,659665,97,144,32757,501,0,26,2,9,0.0,1839,30725
155,3/8/2020,659663,94,144,32762,501,0,21,2,9,0.0,1841,30746
156,4/8/2020,659663,89,156,32754,502,0,23,4,12,0.0,1845,30769
157,5/8/2020,659657,94,153,32758,502,0,25,3,14,0.0,1848,30794
158,6/8/2020,659659,90,157,32755,503,0,18,2,15,0.0,1850,30812
159,7/8/2020,659651,104,147,32759,503,0,33,0,14,0.0,1850,30845
160,8/8/2020,659646,104,155,32754,505,0,30,3,13,0.0,1853,30875
